# Kangxi Radicals 2F00 - 2FDF
2F00	kngx-kangxiradicalone	KANGXI RADICAL ONE
2F01	kngx-kangxiradicalline	KANGXI RADICAL LINE
2F02	kngx-kangxiradicaldot	KANGXI RADICAL DOT
2F03	kngx-kangxiradicalslash	KANGXI RADICAL SLASH
2F04	kngx-kangxiradicalsecond	KANGXI RADICAL SECOND
2F05	kngx-kangxiradicalhook	KANGXI RADICAL HOOK
2F06	kngx-kangxiradicaltwo	KANGXI RADICAL TWO
2F07	kngx-kangxiradicallid	KANGXI RADICAL LID
2F08	kngx-kangxiradicalman	KANGXI RADICAL MAN
2F09	kngx-kangxiradicallegs	KANGXI RADICAL LEGS
2F0A	kngx-kangxiradicalenter	KANGXI RADICAL ENTER
2F0B	kngx-kangxiradicaleight	KANGXI RADICAL EIGHT
2F0C	kngx-kangxiradicaldownbox	KANGXI RADICAL DOWN BOX
2F0D	kngx-kangxiradicalcover	KANGXI RADICAL COVER
2F0E	kngx-kangxiradicalice	KANGXI RADICAL ICE
2F0F	kngx-kangxiradicaltable	KANGXI RADICAL TABLE
2F10	kngx-kangxiradicalopenbox	KANGXI RADICAL OPEN BOX
2F11	kngx-kangxiradicalknife	KANGXI RADICAL KNIFE
2F12	kngx-kangxiradicalpower	KANGXI RADICAL POWER
2F13	kngx-kangxiradicalwrap	KANGXI RADICAL WRAP
2F14	kngx-kangxiradicalspoon	KANGXI RADICAL SPOON
2F15	kngx-kangxiradicalrightopenbox	KANGXI RADICAL RIGHT OPEN BOX
2F16	kngx-kangxiradicalhidingenclosure	KANGXI RADICAL HIDING ENCLOSURE
2F17	kngx-kangxiradicalten	KANGXI RADICAL TEN
2F18	kngx-kangxiradicaldivination	KANGXI RADICAL DIVINATION
2F19	kngx-kangxiradicalseal	KANGXI RADICAL SEAL
2F1A	kngx-kangxiradicalcliff	KANGXI RADICAL CLIFF
2F1B	kngx-kangxiradicalprivate	KANGXI RADICAL PRIVATE
2F1C	kngx-kangxiradicalagain	KANGXI RADICAL AGAIN
2F1D	kngx-kangxiradicalmouth	KANGXI RADICAL MOUTH
2F1E	kngx-kangxiradicalenclosure	KANGXI RADICAL ENCLOSURE
2F1F	kngx-kangxiradicalearth	KANGXI RADICAL EARTH
2F20	kngx-kangxiradicalscholar	KANGXI RADICAL SCHOLAR
2F21	kngx-kangxiradicalgo	KANGXI RADICAL GO
2F22	kngx-kangxiradicalgoslowly	KANGXI RADICAL GO SLOWLY
2F23	kngx-kangxiradicalevening	KANGXI RADICAL EVENING
2F24	kngx-kangxiradicalbig	KANGXI RADICAL BIG
2F25	kngx-kangxiradicalwoman	KANGXI RADICAL WOMAN
2F26	kngx-kangxiradicalchild	KANGXI RADICAL CHILD
