# Kannada 0C80 - 0CFF
0C82	anusvara	KANNADA SIGN ANUSVARA
0C83	visarga	KANNADA SIGN VISARGA
0C85	a	KANNADA LETTER A
0C86	aa	KANNADA LETTER AA
0C87	i	KANNADA LETTER I
0C88	ii	KANNADA LETTER II
0C89	u	KANNADA LETTER U
0C8A	uu	KANNADA LETTER UU
0C8B	rvocal	KANNADA LETTER VOCALIC R
0C8C	lvocal	KANNADA LETTER VOCALIC L
0C8E	e	KANNADA LETTER E
0C8F	ee	KANNADA LETTER EE
0C90	ai	KANNADA LETTER AI
0C92	o	KANNADA LETTER O
0C93	oo	KANNADA LETTER OO
0C94	au	KANNADA LETTER AU
0C95	ka	KANNADA LETTER KA
0C96	kha	KANNADA LETTER KHA
0C97	ga	KANNADA LETTER GA
0C98	gha	KANNADA LETTER GHA
0C99	nga	KANNADA LETTER NGA
0C9A	ca	KANNADA LETTER CA
0C9B	cha	KANNADA LETTER CHA
0C9C	ja	KANNADA LETTER JA
0C9D	jha	KANNADA LETTER JHA
0C9E	nya	KANNADA LETTER NYA
0C9F	tta	KANNADA LETTER TTA
0CA0	ttha	KANNADA LETTER TTHA
0CA1	dda	KANNADA LETTER DDA
0CA2	ddha	KANNADA LETTER DDHA
0CA3	nna	KANNADA LETTER NNA
0CA4	ta	KANNADA LETTER TA
0CA5	tha	KANNADA LETTER THA
0CA6	da	KANNADA LETTER DA
0CA7	dha	KANNADA LETTER DHA
0CA8	na	KANNADA LETTER NA
0CAA	pa	KANNADA LETTER PA
0CAB	pha	KANNADA LETTER PHA
0CAC	ba	KANNADA LETTER BA
0CAD	bha	KANNADA LETTER BHA
0CAE	ma	KANNADA LETTER MA
0CAF	ya	KANNADA LETTER YA
0CB0	ra	KANNADA LETTER RA
0CB1	rra	KANNADA LETTER RRA
0CB2	la	KANNADA LETTER LA
0CB3	lla	KANNADA LETTER LLA
0CB5	va	KANNADA LETTER VA
0CB6	sha	KANNADA LETTER SHA
0CB7	ssa	KANNADA LETTER SSA
0CB8	sa	KANNADA LETTER SA
0CB9	ha	KANNADA LETTER HA
0CBC	nukta	KANNADA SIGN NUKTA
0CBD	avagraha	KANNADA SIGN AVAGRAHA
0CBE	aasign	KANNADA VOWEL SIGN AA
0CBF	isign	KANNADA VOWEL SIGN I
0CC0	iisign	KANNADA VOWEL SIGN II
0CC1	usign	KANNADA VOWEL SIGN U
0CC2	uusign	KANNADA VOWEL SIGN UU
0CC3	rvocalsign	KANNADA VOWEL SIGN VOCALIC R
0CC4	rrvocalsign	KANNADA VOWEL SIGN VOCALIC RR
0CC6	esign	KANNADA VOWEL SIGN E
0CC7	eesign	KANNADA VOWEL SIGN EE
0CC8	aisign	KANNADA VOWEL SIGN AI
0CCA	osign	KANNADA VOWEL SIGN O
0CCB	oosign	KANNADA VOWEL SIGN OO
0CCC	ausign	KANNADA VOWEL SIGN AU
0CCD	virama	KANNADA SIGN VIRAMA
0CD5	length	KANNADA LENGTH MARK
0CD6	ailength	KANNADA AI LENGTH MARK
0CDE	fa	KANNADA LETTER FA
0CE0	rrvocal	KANNADA LETTER VOCALIC RR
0CE1	llvocal	KANNADA LETTER VOCALIC LL
0CE2	lvocalsign	KANNADA VOWEL SIGN VOCALIC L
0CE3	llvocalsign	KANNADA VOWEL SIGN VOCALIC LL
0CE6	zero	KANNADA DIGIT ZERO
0CE7	one	KANNADA DIGIT ONE
0CE8	two	KANNADA DIGIT TWO
0CE9	three	KANNADA DIGIT THREE
0CEA	four	KANNADA DIGIT FOUR
0CEB	five	KANNADA DIGIT FIVE
0CEC	six	KANNADA DIGIT SIX
0CED	seven	KANNADA DIGIT SEVEN
0CEE	eight	KANNADA DIGIT EIGHT
0CEF	nine	KANNADA DIGIT NINE
0CF1	jihvamuliya	KANNADA SIGN JIHVAMULIYA
0CF2	upadhmaniya	KANNADA SIGN UPADHMANIYA
