# Katakana Phonetic Extensions 31F0 - 31FF
31F0	ka-katakanalettersmallku	KATAKANA LETTER SMALL KU
31F1	ka-katakanalettersmallsi	KATAKANA LETTER SMALL SI
31F2	ka-katakanalettersmallsu	KATAKANA LETTER SMALL SU
31F3	ka-katakanalettersmallto	KATAKANA LETTER SMALL TO
31F4	ka-katakanalettersmallnu	KATAKANA LETTER SMALL NU
31F5	ka-katakanalettersmallha	KATAKANA LETTER SMALL HA
31F6	ka-katakanalettersmallhi	KATAKANA LETTER SMALL HI
31F7	ka-katakanalettersmallhu	KATAKANA LETTER SMALL HU
31F8	ka-katakanalettersmallhe	KATAKANA LETTER SMALL HE
31F9	ka-katakanalettersmallho	KATAKANA LETTER SMALL HO
31FA	ka-katakanalettersmallmu	KATAKANA LETTER SMALL MU
31FB	ka-katakanalettersmallra	KATAKANA LETTER SMALL RA
31FC	ka-katakanalettersmallri	KATAKANA LETTER SMALL RI
31FD	ka-katakanalettersmallru	KATAKANA LETTER SMALL RU
31FE	ka-katakanalettersmallre	KATAKANA LETTER SMALL RE
31FF	ka-katakanalettersmallro	KATAKANA LETTER SMALL RO
