# Kayah Li A900 - A92F
A900	kyhl-kayahlidigitzero	KAYAH LI DIGIT ZERO
A901	kyhl-kayahlidigitone	KAYAH LI DIGIT ONE
A902	kyhl-kayahlidigittwo	KAYAH LI DIGIT TWO
A903	kyhl-kayahlidigitthree	KAYAH LI DIGIT THREE
A904	kyhl-kayahlidigitfour	KAYAH LI DIGIT FOUR
A905	kyhl-kayahlidigitfive	KAYAH LI DIGIT FIVE
A906	kyhl-kayahlidigitsix	KAYAH LI DIGIT SIX
A907	kyhl-kayahlidigitseven	KAYAH LI DIGIT SEVEN
A908	kyhl-kayahlidigiteight	KAYAH LI DIGIT EIGHT
A909	kyhl-kayahlidigitnine	KAYAH LI DIGIT NINE
A90A	kyhl-kayahliletterka	KAYAH LI LETTER KA
A90B	kyhl-kayahliletterkha	KAYAH LI LETTER KHA
A90C	kyhl-kayahliletterga	KAYAH LI LETTER GA
A90D	kyhl-kayahliletternga	KAYAH LI LETTER NGA
A90E	kyhl-kayahlilettersa	KAYAH LI LETTER SA
A90F	kyhl-kayahlilettersha	KAYAH LI LETTER SHA
A910	kyhl-kayahliletterza	KAYAH LI LETTER ZA
A911	kyhl-kayahliletternya	KAYAH LI LETTER NYA
A912	kyhl-kayahliletterta	KAYAH LI LETTER TA
A913	kyhl-kayahliletterhta	KAYAH LI LETTER HTA
A914	kyhl-kayahliletterna	KAYAH LI LETTER NA
A915	kyhl-kayahliletterpa	KAYAH LI LETTER PA
A916	kyhl-kayahliletterpha	KAYAH LI LETTER PHA
A917	kyhl-kayahliletterma	KAYAH LI LETTER MA
A918	kyhl-kayahliletterda	KAYAH LI LETTER DA
A919	kyhl-kayahliletterba	KAYAH LI LETTER BA
A91A	kyhl-kayahliletterra	KAYAH LI LETTER RA
A91B	kyhl-kayahliletterya	KAYAH LI LETTER YA
A91C	kyhl-kayahliletterla	KAYAH LI LETTER LA
A91D	kyhl-kayahliletterwa	KAYAH LI LETTER WA
A91E	kyhl-kayahlilettertha	KAYAH LI LETTER THA
A91F	kyhl-kayahliletterha	KAYAH LI LETTER HA
A920	kyhl-kayahliletterva	KAYAH LI LETTER VA
A921	kyhl-kayahliletterca	KAYAH LI LETTER CA
A922	kyhl-kayahlilettera	KAYAH LI LETTER A
A923	kyhl-kayahliletteroe	KAYAH LI LETTER OE
A924	kyhl-kayahliletteri	KAYAH LI LETTER I
A925	kyhl-kayahliletteroo	KAYAH LI LETTER OO
A926	kyhl-kayahlivowelue	KAYAH LI VOWEL UE
A927	kyhl-kayahlivowele	KAYAH LI VOWEL E
A928	kyhl-kayahlivowelu	KAYAH LI VOWEL U
A929	kyhl-kayahlivowelee	KAYAH LI VOWEL EE
A92A	kyhl-kayahlivowelo	KAYAH LI VOWEL O
A92B	kyhl-kayahlitoneplophu	KAYAH LI TONE PLOPHU
A92C	kyhl-kayahlitonecalya	KAYAH LI TONE CALYA
A92D	kyhl-kayahlitonecalyaplophu	KAYAH LI TONE CALYA PLOPHU
A92E	kyhl-kayahlisigncwi	KAYAH LI SIGN CWI
A92F	kyhl-kayahlisignshya	KAYAH LI SIGN SHYA
