# Kharoshthi 10A00 - 10A5F
10A00	khrs-kharoshthilettera	KHAROSHTHI LETTER A
10A01	khrs-kharoshthivowelsigni	KHAROSHTHI VOWEL SIGN I
10A02	khrs-kharoshthivowelsignu	KHAROSHTHI VOWEL SIGN U
10A03	khrs-kharoshthivowelsignvocalicr	KHAROSHTHI VOWEL SIGN VOCALIC R
10A05	khrs-kharoshthivowelsigne	KHAROSHTHI VOWEL SIGN E
10A06	khrs-kharoshthivowelsigno	KHAROSHTHI VOWEL SIGN O
10A0C	khrs-kharoshthivowellengthmark	KHAROSHTHI VOWEL LENGTH MARK
10A0D	khrs-kharoshthisigndoubleringbelow	KHAROSHTHI SIGN DOUBLE RING BELOW
10A0E	khrs-kharoshthisignanusvara	KHAROSHTHI SIGN ANUSVARA
10A0F	khrs-kharoshthisignvisarga	KHAROSHTHI SIGN VISARGA
10A10	khrs-kharoshthiletterka	KHAROSHTHI LETTER KA
10A11	khrs-kharoshthiletterkha	KHAROSHTHI LETTER KHA
10A12	khrs-kharoshthiletterga	KHAROSHTHI LETTER GA
10A13	khrs-kharoshthilettergha	KHAROSHTHI LETTER GHA
10A15	khrs-kharoshthiletterca	KHAROSHTHI LETTER CA
10A16	khrs-kharoshthilettercha	KHAROSHTHI LETTER CHA
10A17	khrs-kharoshthiletterja	KHAROSHTHI LETTER JA
10A19	khrs-kharoshthiletternya	KHAROSHTHI LETTER NYA
10A1A	khrs-kharoshthilettertta	KHAROSHTHI LETTER TTA
10A1B	khrs-kharoshthiletterttha	KHAROSHTHI LETTER TTHA
10A1C	khrs-kharoshthiletterdda	KHAROSHTHI LETTER DDA
10A1D	khrs-kharoshthiletterddha	KHAROSHTHI LETTER DDHA
10A1E	khrs-kharoshthiletternna	KHAROSHTHI LETTER NNA
10A1F	khrs-kharoshthiletterta	KHAROSHTHI LETTER TA
10A20	khrs-kharoshthilettertha	KHAROSHTHI LETTER THA
10A21	khrs-kharoshthiletterda	KHAROSHTHI LETTER DA
10A22	khrs-kharoshthiletterdha	KHAROSHTHI LETTER DHA
10A23	khrs-kharoshthiletterna	KHAROSHTHI LETTER NA
10A24	khrs-kharoshthiletterpa	KHAROSHTHI LETTER PA
10A25	khrs-kharoshthiletterpha	KHAROSHTHI LETTER PHA
10A26	khrs-kharoshthiletterba	KHAROSHTHI LETTER BA
10A27	khrs-kharoshthiletterbha	KHAROSHTHI LETTER BHA
10A28	khrs-kharoshthiletterma	KHAROSHTHI LETTER MA
10A29	khrs-kharoshthiletterya	KHAROSHTHI LETTER YA
10A2A	khrs-kharoshthiletterra	KHAROSHTHI LETTER RA
10A2B	khrs-kharoshthiletterla	KHAROSHTHI LETTER LA
10A2C	khrs-kharoshthiletterva	KHAROSHTHI LETTER VA
10A2D	khrs-kharoshthilettersha	KHAROSHTHI LETTER SHA
10A2E	khrs-kharoshthiletterssa	KHAROSHTHI LETTER SSA
10A2F	khrs-kharoshthilettersa	KHAROSHTHI LETTER SA
10A30	khrs-kharoshthiletterza	KHAROSHTHI LETTER ZA
10A31	khrs-kharoshthiletterha	KHAROSHTHI LETTER HA
10A32	khrs-kharoshthiletterkka	KHAROSHTHI LETTER KKA
10A33	khrs-kharoshthilettertttha	KHAROSHTHI LETTER TTTHA
10A38	khrs-kharoshthisignbarabove	KHAROSHTHI SIGN BAR ABOVE
10A39	khrs-kharoshthisigncauda	KHAROSHTHI SIGN CAUDA
10A3A	khrs-kharoshthisigndotbelow	KHAROSHTHI SIGN DOT BELOW
10A3F	khrs-kharoshthivirama	KHAROSHTHI VIRAMA
10A40	khrs-kharoshthidigitone	KHAROSHTHI DIGIT ONE
10A41	khrs-kharoshthidigittwo	KHAROSHTHI DIGIT TWO
10A42	khrs-kharoshthidigitthree	KHAROSHTHI DIGIT THREE
10A43	khrs-kharoshthidigitfour	KHAROSHTHI DIGIT FOUR
10A44	khrs-kharoshthinumberten	KHAROSHTHI NUMBER TEN
10A45	khrs-kharoshthinumbertwenty	KHAROSHTHI NUMBER TWENTY
10A46	khrs-kharoshthinumberonehundred	KHAROSHTHI NUMBER ONE HUNDRED
10A47	khrs-kharoshthinumberonethousand	KHAROSHTHI NUMBER ONE THOUSAND
10A50	khrs-kharoshthipunctuationdot	KHAROSHTHI PUNCTUATION DOT
10A51	khrs-kharoshthipunctuationsmallcircle	KHAROSHTHI PUNCTUATION SMALL CIRCLE
10A52	khrs-kharoshthipunctuationcircle	KHAROSHTHI PUNCTUATION CIRCLE
10A53	khrs-kharoshthipunctuationcrescentbar	KHAROSHTHI PUNCTUATION CRESCENT BAR
10A54	khrs-kharoshthipunctuationmangalam	KHAROSHTHI PUNCTUATION MANGALAM
10A55	khrs-kharoshthipunctuationlotus	KHAROSHTHI PUNCTUATION LOTUS
10A56	khrs-kharoshthipunctuationdanda	KHAROSHTHI PUNCTUATION DANDA
10A57	khrs-kharoshthipunctuationdoubledanda	KHAROSHTHI PUNCTUATION DOUBLE DANDA
10A58	khrs-kharoshthipunctuationlines	KHAROSHTHI PUNCTUATION LINES
