# Khmer 1780 - 17FF
1780	khmr-khmerletterka	KHMER LETTER KA
1781	khmr-khmerletterkha	KHMER LETTER KHA
1782	khmr-khmerletterko	KHMER LETTER KO
1783	khmr-khmerletterkho	KHMER LETTER KHO
1784	khmr-khmerletterngo	KHMER LETTER NGO
1785	khmr-khmerletterca	KHMER LETTER CA
1786	khmr-khmerlettercha	KHMER LETTER CHA
1787	khmr-khmerletterco	KHMER LETTER CO
1788	khmr-khmerlettercho	KHMER LETTER CHO
1789	khmr-khmerletternyo	KHMER LETTER NYO
178A	khmr-khmerletterda	KHMER LETTER DA
178B	khmr-khmerletterttha	KHMER LETTER TTHA
178C	khmr-khmerletterdo	KHMER LETTER DO
178D	khmr-khmerletterttho	KHMER LETTER TTHO
178E	khmr-khmerletternno	KHMER LETTER NNO
178F	khmr-khmerletterta	KHMER LETTER TA
1790	khmr-khmerlettertha	KHMER LETTER THA
1791	khmr-khmerletterto	KHMER LETTER TO
1792	khmr-khmerlettertho	KHMER LETTER THO
1793	khmr-khmerletterno	KHMER LETTER NO
1794	khmr-khmerletterba	KHMER LETTER BA
1795	khmr-khmerletterpha	KHMER LETTER PHA
1796	khmr-khmerletterpo	KHMER LETTER PO
1797	khmr-khmerletterpho	KHMER LETTER PHO
1798	khmr-khmerlettermo	KHMER LETTER MO
1799	khmr-khmerletteryo	KHMER LETTER YO
179A	khmr-khmerletterro	KHMER LETTER RO
179B	khmr-khmerletterlo	KHMER LETTER LO
179C	khmr-khmerlettervo	KHMER LETTER VO
179D	khmr-khmerlettersha	KHMER LETTER SHA
179E	khmr-khmerlettersso	KHMER LETTER SSO
179F	khmr-khmerlettersa	KHMER LETTER SA
17A0	khmr-khmerletterha	KHMER LETTER HA
17A1	khmr-khmerletterla	KHMER LETTER LA
17A2	khmr-khmerletterqa	KHMER LETTER QA
17A3	khmr-khmerindependentvowelqaq	KHMER INDEPENDENT VOWEL QAQ
17A4	khmr-khmerindependentvowelqaa	KHMER INDEPENDENT VOWEL QAA
17A5	khmr-khmerindependentvowelqi	KHMER INDEPENDENT VOWEL QI
17A6	khmr-khmerindependentvowelqii	KHMER INDEPENDENT VOWEL QII
17A7	khmr-khmerindependentvowelqu	KHMER INDEPENDENT VOWEL QU
17A8	khmr-khmerindependentvowelquk	KHMER INDEPENDENT VOWEL QUK
17A9	khmr-khmerindependentvowelquu	KHMER INDEPENDENT VOWEL QUU
17AA	khmr-khmerindependentvowelquuv	KHMER INDEPENDENT VOWEL QUUV
17AB	khmr-khmerindependentvowelry	KHMER INDEPENDENT VOWEL RY
17AC	khmr-khmerindependentvowelryy	KHMER INDEPENDENT VOWEL RYY
17AD	khmr-khmerindependentvowelly	KHMER INDEPENDENT VOWEL LY
17AE	khmr-khmerindependentvowellyy	KHMER INDEPENDENT VOWEL LYY
17AF	khmr-khmerindependentvowelqe	KHMER INDEPENDENT VOWEL QE
17B0	khmr-khmerindependentvowelqai	KHMER INDEPENDENT VOWEL QAI
17B1	khmr-khmerindependentvowelqootypeone	KHMER INDEPENDENT VOWEL QOO TYPE ONE
17B2	khmr-khmerindependentvowelqootypetwo	KHMER INDEPENDENT VOWEL QOO TYPE TWO
17B3	khmr-khmerindependentvowelqau	KHMER INDEPENDENT VOWEL QAU
17B4	khmr-khmervowelinherentaq	KHMER VOWEL INHERENT AQ
17B5	khmr-khmervowelinherentaa	KHMER VOWEL INHERENT AA
17B6	khmr-khmervowelsignaa	KHMER VOWEL SIGN AA
17B7	khmr-khmervowelsigni	KHMER VOWEL SIGN I
17B8	khmr-khmervowelsignii	KHMER VOWEL SIGN II
17B9	khmr-khmervowelsigny	KHMER VOWEL SIGN Y
17BA	khmr-khmervowelsignyy	KHMER VOWEL SIGN YY
17BB	khmr-khmervowelsignu	KHMER VOWEL SIGN U
17BC	khmr-khmervowelsignuu	KHMER VOWEL SIGN UU
17BD	khmr-khmervowelsignua	KHMER VOWEL SIGN UA
17BE	khmr-khmervowelsignoe	KHMER VOWEL SIGN OE
17BF	khmr-khmervowelsignya	KHMER VOWEL SIGN YA
17C0	khmr-khmervowelsignie	KHMER VOWEL SIGN IE
17C1	khmr-khmervowelsigne	KHMER VOWEL SIGN E
17C2	khmr-khmervowelsignae	KHMER VOWEL SIGN AE
17C3	khmr-khmervowelsignai	KHMER VOWEL SIGN AI
17C4	khmr-khmervowelsignoo	KHMER VOWEL SIGN OO
17C5	khmr-khmervowelsignau	KHMER VOWEL SIGN AU
17C6	khmr-khmersignnikahit	KHMER SIGN NIKAHIT
17C7	khmr-khmersignreahmuk	KHMER SIGN REAHMUK
17C8	khmr-khmersignyuukaleapintu	KHMER SIGN YUUKALEAPINTU
17C9	khmr-khmersignmuusikatoan	KHMER SIGN MUUSIKATOAN
17CA	khmr-khmersigntriisap	KHMER SIGN TRIISAP
17CB	khmr-khmersignbantoc	KHMER SIGN BANTOC
17CC	khmr-khmersignrobat	KHMER SIGN ROBAT
17CD	khmr-khmersigntoandakhiat	KHMER SIGN TOANDAKHIAT
17CE	khmr-khmersignkakabat	KHMER SIGN KAKABAT
17CF	khmr-khmersignahsda	KHMER SIGN AHSDA
17D0	khmr-khmersignsamyoksannya	KHMER SIGN SAMYOK SANNYA
17D1	khmr-khmersignviriam	KHMER SIGN VIRIAM
17D2	khmr-khmersigncoeng	KHMER SIGN COENG
17D3	khmr-khmersignbathamasat	KHMER SIGN BATHAMASAT
17D4	khmr-khmersignkhan	KHMER SIGN KHAN
17D5	khmr-khmersignbariyoosan	KHMER SIGN BARIYOOSAN
17D6	khmr-khmersigncamnucpiikuuh	KHMER SIGN CAMNUC PII KUUH
17D7	khmr-khmersignlektoo	KHMER SIGN LEK TOO
17D8	khmr-khmersignbeyyal	KHMER SIGN BEYYAL
17D9	khmr-khmersignphnaekmuan	KHMER SIGN PHNAEK MUAN
17DA	khmr-khmersignkoomuut	KHMER SIGN KOOMUUT
17DB	khmr-khmercurrencysymbolriel	KHMER CURRENCY SYMBOL RIEL
17DC	khmr-khmersignavakrahasanya	KHMER SIGN AVAKRAHASANYA
17DD	khmr-khmersignatthacan	KHMER SIGN ATTHACAN
17E0	khmr-khmerdigitzero	KHMER DIGIT ZERO
17E1	khmr-khmerdigitone	KHMER DIGIT ONE
17E2	khmr-khmerdigittwo	KHMER DIGIT TWO
17E3	khmr-khmerdigitthree	KHMER DIGIT THREE
17E4	khmr-khmerdigitfour	KHMER DIGIT FOUR
17E5	khmr-khmerdigitfive	KHMER DIGIT FIVE
17E6	khmr-khmerdigitsix	KHMER DIGIT SIX
17E7	khmr-khmerdigitseven	KHMER DIGIT SEVEN
17E8	khmr-khmerdigiteight	KHMER DIGIT EIGHT
17E9	khmr-khmerdigitnine	KHMER DIGIT NINE
17F0	khmr-khmersymbollekattakson	KHMER SYMBOL LEK ATTAK SON
17F1	khmr-khmersymbollekattakmuoy	KHMER SYMBOL LEK ATTAK MUOY
17F2	khmr-khmersymbollekattakpii	KHMER SYMBOL LEK ATTAK PII
17F3	khmr-khmersymbollekattakbei	KHMER SYMBOL LEK ATTAK BEI
17F4	khmr-khmersymbollekattakbuon	KHMER SYMBOL LEK ATTAK BUON
17F5	khmr-khmersymbollekattakpram	KHMER SYMBOL LEK ATTAK PRAM
17F6	khmr-khmersymbollekattakprammuoy	KHMER SYMBOL LEK ATTAK PRAM-MUOY
17F7	khmr-khmersymbollekattakprampii	KHMER SYMBOL LEK ATTAK PRAM-PII
17F8	khmr-khmersymbollekattakprambei	KHMER SYMBOL LEK ATTAK PRAM-BEI
