# Khmer Symbols 19E0 - 19FF
19E0	khmr-khmersymbolpathamasat	KHMER SYMBOL PATHAMASAT
19E1	khmr-khmersymbolmuoykoet	KHMER SYMBOL MUOY KOET
19E2	khmr-khmersymbolpiikoet	KHMER SYMBOL PII KOET
19E3	khmr-khmersymbolbeikoet	KHMER SYMBOL BEI KOET
19E4	khmr-khmersymbolbuonkoet	KHMER SYMBOL BUON KOET
19E5	khmr-khmersymbolpramkoet	KHMER SYMBOL PRAM KOET
19E6	khmr-khmersymbolprammuoykoet	KHMER SYMBOL PRAM-MUOY KOET
19E7	khmr-khmersymbolprampiikoet	KHMER SYMBOL PRAM-PII KOET
19E8	khmr-khmersymbolprambeikoet	KHMER SYMBOL PRAM-BEI KOET
19E9	khmr-khmersymbolprambuonkoet	KHMER SYMBOL PRAM-BUON KOET
19EA	khmr-khmersymboldapkoet	KHMER SYMBOL DAP KOET
19EB	khmr-khmersymboldapmuoykoet	KHMER SYMBOL DAP-MUOY KOET
19EC	khmr-khmersymboldappiikoet	KHMER SYMBOL DAP-PII KOET
19ED	khmr-khmersymboldapbeikoet	KHMER SYMBOL DAP-BEI KOET
19EE	khmr-khmersymboldapbuonkoet	KHMER SYMBOL DAP-BUON KOET
19EF	khmr-khmersymboldappramkoet	KHMER SYMBOL DAP-PRAM KOET
19F0	khmr-khmersymboltuteyasat	KHMER SYMBOL TUTEYASAT
19F1	khmr-khmersymbolmuoyroc	KHMER SYMBOL MUOY ROC
19F2	khmr-khmersymbolpiiroc	KHMER SYMBOL PII ROC
19F3	khmr-khmersymbolbeiroc	KHMER SYMBOL BEI ROC
19F4	khmr-khmersymbolbuonroc	KHMER SYMBOL BUON ROC
19F5	khmr-khmersymbolpramroc	KHMER SYMBOL PRAM ROC
19F6	khmr-khmersymbolprammuoyroc	KHMER SYMBOL PRAM-MUOY ROC
19F7	khmr-khmersymbolprampiiroc	KHMER SYMBOL PRAM-PII ROC
19F8	khmr-khmersymbolprambeiroc	KHMER SYMBOL PRAM-BEI ROC
19F9	khmr-khmersymbolprambuonroc	KHMER SYMBOL PRAM-BUON ROC
19FA	khmr-khmersymboldaproc	KHMER SYMBOL DAP ROC
19FB	khmr-khmersymboldapmuoyroc	KHMER SYMBOL DAP-MUOY ROC
19FC	khmr-khmersymboldappiiroc	KHMER SYMBOL DAP-PII ROC
19FD	khmr-khmersymboldapbeiroc	KHMER SYMBOL DAP-BEI ROC
19FE	khmr-khmersymboldapbuonroc	KHMER SYMBOL DAP-BUON ROC
19FF	khmr-khmersymboldappramroc	KHMER SYMBOL DAP-PRAM ROC
