# Latin-1 Supplement 0080 - 00FF
00A0	lt-nbspace	NO-BREAK SPACE
00A1	lt-exclamdown	INVERTED EXCLAMATION MARK
00A2	lt-cent	CENT SIGN
00A3	lt-sterling	POUND SIGN
00A4	lt-currency	CURRENCY SIGN
00A5	lt-yen	YEN SIGN
00A6	lt-brokenbar	BROKEN BAR
00A7	lt-section	SECTION SIGN
00A8	lt-dieresis	DIAERESIS
00A9	lt-copyright	COPYRIGHT SIGN
00AA	lt-ordfeminine	FEMININE ORDINAL INDICATOR
00AB	lt-guillemetleft	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC	lt-logicalnot	NOT SIGN
00AD	lt-hyphensoft	SOFT HYPHEN
00AE	lt-registered	REGISTERED SIGN
00AF	lt-macron	MACRON
00B0	lt-degree	DEGREE SIGN
00B1	lt-plusminus	PLUS-MINUS SIGN
00B2	lt-twosuperior	SUPERSCRIPT TWO
00B3	lt-threesuperior	SUPERSCRIPT THREE
00B4	lt-acute	ACUTE ACCENT
00B5	lt-mu.math	MICRO SIGN
00B6	lt-paragraph	PILCROW SIGN
00B7	lt-periodcentered	MIDDLE DOT
00B8	lt-cedilla	CEDILLA
00B9	lt-onesuperior	SUPERSCRIPT ONE
00BA	lt-ordmasculine	MASCULINE ORDINAL INDICATOR
00BB	lt-guillemetright	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC	lt-onequarter	VULGAR FRACTION ONE QUARTER
00BD	lt-onehalf	VULGAR FRACTION ONE HALF
00BE	lt-threequarters	VULGAR FRACTION THREE QUARTERS
00BF	lt-questiondown	INVERTED QUESTION MARK
00C0	lt-Agrave	LATIN CAPITAL LETTER A WITH GRAVE
00C1	lt-Aacute	LATIN CAPITAL LETTER A WITH ACUTE
00C2	lt-Acircumflex	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3	lt-Atilde	LATIN CAPITAL LETTER A WITH TILDE
00C4	lt-Adieresis	LATIN CAPITAL LETTER A WITH DIAERESIS
00C5	lt-Aring	LATIN CAPITAL LETTER A WITH RING ABOVE
00C6	lt-AE	LATIN CAPITAL LETTER AE
00C7	lt-Ccedilla	LATIN CAPITAL LETTER C WITH CEDILLA
00C8	lt-Egrave	LATIN CAPITAL LETTER E WITH GRAVE
00C9	lt-Eacute	LATIN CAPITAL LETTER E WITH ACUTE
00CA	lt-Ecircumflex	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB	lt-Edieresis	LATIN CAPITAL LETTER E WITH DIAERESIS
00CC	lt-Igrave	LATIN CAPITAL LETTER I WITH GRAVE
00CD	lt-Iacute	LATIN CAPITAL LETTER I WITH ACUTE
00CE	lt-Icircumflex	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF	lt-Idieresis	LATIN CAPITAL LETTER I WITH DIAERESIS
00D0	lt-Eth	LATIN CAPITAL LETTER ETH
00D1	lt-Ntilde	LATIN CAPITAL LETTER N WITH TILDE
00D2	lt-Ograve	LATIN CAPITAL LETTER O WITH GRAVE
00D3	lt-Oacute	LATIN CAPITAL LETTER O WITH ACUTE
00D4	lt-Ocircumflex	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5	lt-Otilde	LATIN CAPITAL LETTER O WITH TILDE
00D6	lt-Odieresis	LATIN CAPITAL LETTER O WITH DIAERESIS
00D7	lt-multiply	MULTIPLICATION SIGN
00D8	lt-Oslash	LATIN CAPITAL LETTER O WITH STROKE
00D9	lt-Ugrave	LATIN CAPITAL LETTER U WITH GRAVE
00DA	lt-Uacute	LATIN CAPITAL LETTER U WITH ACUTE
00DB	lt-Ucircumflex	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC	lt-Udieresis	LATIN CAPITAL LETTER U WITH DIAERESIS
00DD	lt-Yacute	LATIN CAPITAL LETTER Y WITH ACUTE
00DE	lt-Thorn	LATIN CAPITAL LETTER THORN
00DF	lt-germandbls	LATIN SMALL LETTER SHARP S
00E0	lt-agrave	LATIN SMALL LETTER A WITH GRAVE
00E1	lt-aacute	LATIN SMALL LETTER A WITH ACUTE
00E2	lt-acircumflex	LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3	lt-atilde	LATIN SMALL LETTER A WITH TILDE
00E4	lt-adieresis	LATIN SMALL LETTER A WITH DIAERESIS
00E5	lt-aring	LATIN SMALL LETTER A WITH RING ABOVE
00E6	lt-ae	LATIN SMALL LETTER AE
00E7	lt-ccedilla	LATIN SMALL LETTER C WITH CEDILLA
00E8	lt-egrave	LATIN SMALL LETTER E WITH GRAVE
00E9	lt-eacute	LATIN SMALL LETTER E WITH ACUTE
00EA	lt-ecircumflex	LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB	lt-edieresis	LATIN SMALL LETTER E WITH DIAERESIS
00EC	lt-igrave	LATIN SMALL LETTER I WITH GRAVE
00ED	lt-iacute	LATIN SMALL LETTER I WITH ACUTE
00EE	lt-icircumflex	LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF	lt-idieresis	LATIN SMALL LETTER I WITH DIAERESIS
00F0	lt-eth	LATIN SMALL LETTER ETH
00F1	lt-ntilde	LATIN SMALL LETTER N WITH TILDE
00F2	lt-ograve	LATIN SMALL LETTER O WITH GRAVE
00F3	lt-oacute	LATIN SMALL LETTER O WITH ACUTE
00F4	lt-ocircumflex	LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5	lt-otilde	LATIN SMALL LETTER O WITH TILDE
00F6	lt-odieresis	LATIN SMALL LETTER O WITH DIAERESIS
00F7	lt-divide	DIVISION SIGN
00F8	lt-oslash	LATIN SMALL LETTER O WITH STROKE
00F9	lt-ugrave	LATIN SMALL LETTER U WITH GRAVE
00FA	lt-uacute	LATIN SMALL LETTER U WITH ACUTE
00FB	lt-ucircumflex	LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC	lt-udieresis	LATIN SMALL LETTER U WITH DIAERESIS
00FD	lt-yacute	LATIN SMALL LETTER Y WITH ACUTE
00FE	lt-thorn	LATIN SMALL LETTER THORN
00FF	lt-ydieresis	LATIN SMALL LETTER Y WITH DIAERESIS
