# Lepcha 1C00 - 1C4F
1C00	lpch-lepchaletterka	LEPCHA LETTER KA
1C01	lpch-lepchaletterkla	LEPCHA LETTER KLA
1C02	lpch-lepchaletterkha	LEPCHA LETTER KHA
1C03	lpch-lepchaletterga	LEPCHA LETTER GA
1C04	lpch-lepchalettergla	LEPCHA LETTER GLA
1C05	lpch-lepchaletternga	LEPCHA LETTER NGA
1C06	lpch-lepchaletterca	LEPCHA LETTER CA
1C07	lpch-lepchalettercha	LEPCHA LETTER CHA
1C08	lpch-lepchaletterja	LEPCHA LETTER JA
1C09	lpch-lepchaletternya	LEPCHA LETTER NYA
1C0A	lpch-lepchaletterta	LEPCHA LETTER TA
1C0B	lpch-lepchalettertha	LEPCHA LETTER THA
1C0C	lpch-lepchaletterda	LEPCHA LETTER DA
1C0D	lpch-lepchaletterna	LEPCHA LETTER NA
1C0E	lpch-lepchaletterpa	LEPCHA LETTER PA
1C0F	lpch-lepchaletterpla	LEPCHA LETTER PLA
1C10	lpch-lepchaletterpha	LEPCHA LETTER PHA
1C11	lpch-lepchaletterfa	LEPCHA LETTER FA
1C12	lpch-lepchaletterfla	LEPCHA LETTER FLA
1C13	lpch-lepchaletterba	LEPCHA LETTER BA
1C14	lpch-lepchaletterbla	LEPCHA LETTER BLA
1C15	lpch-lepchaletterma	LEPCHA LETTER MA
1C16	lpch-lepchalettermla	LEPCHA LETTER MLA
1C17	lpch-lepchalettertsa	LEPCHA LETTER TSA
1C18	lpch-lepchalettertsha	LEPCHA LETTER TSHA
1C19	lpch-lepchaletterdza	LEPCHA LETTER DZA
1C1A	lpch-lepchaletterya	LEPCHA LETTER YA
1C1B	lpch-lepchaletterra	LEPCHA LETTER RA
1C1C	lpch-lepchaletterla	LEPCHA LETTER LA
1C1D	lpch-lepchaletterha	LEPCHA LETTER HA
1C1E	lpch-lepchaletterhla	LEPCHA LETTER HLA
1C1F	lpch-lepchaletterva	LEPCHA LETTER VA
1C20	lpch-lepchalettersa	LEPCHA LETTER SA
1C21	lpch-lepchalettersha	LEPCHA LETTER SHA
1C22	lpch-lepchaletterwa	LEPCHA LETTER WA
1C23	lpch-lepchalettera	LEPCHA LETTER A
1C24	lpch-lepchasubjoinedletterya	LEPCHA SUBJOINED LETTER YA
1C25	lpch-lepchasubjoinedletterra	LEPCHA SUBJOINED LETTER RA
1C26	lpch-lepchavowelsignaa	LEPCHA VOWEL SIGN AA
1C27	lpch-lepchavowelsigni	LEPCHA VOWEL SIGN I
1C28	lpch-lepchavowelsigno	LEPCHA VOWEL SIGN O
1C29	lpch-lepchavowelsignoo	LEPCHA VOWEL SIGN OO
1C2A	lpch-lepchavowelsignu	LEPCHA VOWEL SIGN U
1C2B	lpch-lepchavowelsignuu	LEPCHA VOWEL SIGN UU
1C2C	lpch-lepchavowelsigne	LEPCHA VOWEL SIGN E
1C2D	lpch-lepchaconsonantsignk	LEPCHA CONSONANT SIGN K
1C2E	lpch-lepchaconsonantsignm	LEPCHA CONSONANT SIGN M
1C2F	lpch-lepchaconsonantsignl	LEPCHA CONSONANT SIGN L
1C30	lpch-lepchaconsonantsignn	LEPCHA CONSONANT SIGN N
1C31	lpch-lepchaconsonantsignp	LEPCHA CONSONANT SIGN P
1C32	lpch-lepchaconsonantsignr	LEPCHA CONSONANT SIGN R
1C33	lpch-lepchaconsonantsignt	LEPCHA CONSONANT SIGN T
1C34	lpch-lepchaconsonantsignnyindo	LEPCHA CONSONANT SIGN NYIN-DO
1C35	lpch-lepchaconsonantsignkang	LEPCHA CONSONANT SIGN KANG
1C36	lpch-lepchasignran	LEPCHA SIGN RAN
1C37	lpch-lepchasignnukta	LEPCHA SIGN NUKTA
1C3B	lpch-lepchapunctuationtarol	LEPCHA PUNCTUATION TA-ROL
1C3C	lpch-lepchapunctuationnyetthyoomtarol	LEPCHA PUNCTUATION NYET THYOOM TA-ROL
1C3D	lpch-lepchapunctuationcerwa	LEPCHA PUNCTUATION CER-WA
1C3E	lpch-lepchapunctuationtshookcerwa	LEPCHA PUNCTUATION TSHOOK CER-WA
1C3F	lpch-lepchapunctuationtshook	LEPCHA PUNCTUATION TSHOOK
1C40	lpch-lepchadigitzero	LEPCHA DIGIT ZERO
1C41	lpch-lepchadigitone	LEPCHA DIGIT ONE
1C42	lpch-lepchadigittwo	LEPCHA DIGIT TWO
1C43	lpch-lepchadigitthree	LEPCHA DIGIT THREE
1C44	lpch-lepchadigitfour	LEPCHA DIGIT FOUR
1C45	lpch-lepchadigitfive	LEPCHA DIGIT FIVE
1C46	lpch-lepchadigitsix	LEPCHA DIGIT SIX
1C47	lpch-lepchadigitseven	LEPCHA DIGIT SEVEN
1C48	lpch-lepchadigiteight	LEPCHA DIGIT EIGHT
1C49	lpch-lepchadigitnine	LEPCHA DIGIT NINE
1C4D	lpch-lepchalettertta	LEPCHA LETTER TTA
1C4E	lpch-lepchaletterttha	LEPCHA LETTER TTHA
1C4F	lpch-lepchaletterdda	LEPCHA LETTER DDA
