# Letterlike Symbols 2100 - 214F
2100	lttr-accountof	ACCOUNT OF
2101	lttr-addressedsubject	ADDRESSED TO THE SUBJECT
2102	lttr-Cdblstruck	DOUBLE-STRUCK CAPITAL C
2103	lttr-degreecelsius	DEGREE CELSIUS
2104	lttr-centreline	CENTRE LINE SYMBOL
2105	lttr-careof	CARE OF
2106	lttr-cadauna	CADA UNA
2107	lttr-euler	EULER CONSTANT
2108	lttr-scruple	SCRUPLE
2109	lttr-degreefahrenheit	DEGREE FAHRENHEIT
210A	lttr-gscript	SCRIPT SMALL G
210B	lttr-Hscript	SCRIPT CAPITAL H
210C	lttr-Hfraktur	BLACK-LETTER CAPITAL H
210D	lttr-Hdblstruck	DOUBLE-STRUCK CAPITAL H
210E	lttr-planck	PLANCK CONSTANT
210F	lttr-plancktwopi	PLANCK CONSTANT OVER TWO PI
2110	lttr-Iscript	SCRIPT CAPITAL I
2111	lttr-Ifraktur	BLACK-LETTER CAPITAL I
2112	lttr-Lscript	SCRIPT CAPITAL L
2113	lttr-litre	SCRIPT SMALL L
2114	lttr-lbbar	L B BAR SYMBOL
2115	lttr-Ndblstruck	DOUBLE-STRUCK CAPITAL N
2116	lttr-numero	NUMERO SIGN
2117	lttr-soundcopyright	SOUND RECORDING COPYRIGHT
2118	lttr-weierstrass	SCRIPT CAPITAL P
2119	lttr-Pdblstruck	DOUBLE-STRUCK CAPITAL P
211A	lttr-Qdblstruck	DOUBLE-STRUCK CAPITAL Q
211B	lttr-Rscript	SCRIPT CAPITAL R
211C	lttr-Rfraktur	BLACK-LETTER CAPITAL R
211D	lttr-Rdblstruck	DOUBLE-STRUCK CAPITAL R
211E	lttr-prescription	PRESCRIPTION TAKE
211F	lttr-response	RESPONSE
2120	lttr-servicemark	SERVICE MARK
2121	lttr-telephone	TELEPHONE SIGN
2122	lttr-trademark	TRADE MARK SIGN
2123	lttr-versicle	VERSICLE
2124	lttr-Zdblstruck	DOUBLE-STRUCK CAPITAL Z
2125	lttr-ounce	OUNCE SIGN
2126	lttr-ohm	OHM SIGN
2127	lttr-ohminverted	INVERTED OHM SIGN
2128	lttr-Zfraktur	BLACK-LETTER CAPITAL Z
2129	lttr-iotaturned	TURNED GREEK SMALL LETTER IOTA
212A	lttr-kelvin	KELVIN SIGN
212B	lttr-angstrom	ANGSTROM SIGN
212C	lttr-Bscript	SCRIPT CAPITAL B
212D	lttr-Cfraktur	BLACK-LETTER CAPITAL C
212E	lttr-estimated	ESTIMATED SYMBOL
212F	lttr-escript	SCRIPT SMALL E
2130	lttr-Escript	SCRIPT CAPITAL E
2131	lttr-Fscript	SCRIPT CAPITAL F
2132	lttr-Fturned	TURNED CAPITAL F
2133	lttr-Mscript	SCRIPT CAPITAL M
2134	lttr-oscript	SCRIPT SMALL O
2135	lttr-aleph	ALEF SYMBOL
2136	lttr-bet	BET SYMBOL
2137	lttr-gimel	GIMEL SYMBOL
2138	lttr-dalet	DALET SYMBOL
2139	lttr-information	INFORMATION SOURCE
213A	lttr-Qrotated	ROTATED CAPITAL Q
213B	lttr-facsimile	FACSIMILE SIGN
213C	lttr-pidblstruck	DOUBLE-STRUCK SMALL PI
213D	lttr-gammadblstruck	DOUBLE-STRUCK SMALL GAMMA
213E	lttr-Gammadblstruck	DOUBLE-STRUCK CAPITAL GAMMA
213F	lttr-Pidblstruck	DOUBLE-STRUCK CAPITAL PI
2140	lttr-summationdblstruck	DOUBLE-STRUCK N-ARY SUMMATION
2141	lttr-Gturnedsans	TURNED SANS-SERIF CAPITAL G
2142	lttr-Lturnedsans	TURNED SANS-SERIF CAPITAL L
2143	lttr-Lreversedsans	REVERSED SANS-SERIF CAPITAL L
2144	lttr-Yturnedsans	TURNED SANS-SERIF CAPITAL Y
2145	lttr-Ddblstruckitalic	DOUBLE-STRUCK ITALIC CAPITAL D
2146	lttr-ddblstruckitalic	DOUBLE-STRUCK ITALIC SMALL D
2147	lttr-edblstruckitalic	DOUBLE-STRUCK ITALIC SMALL E
2148	lttr-idblstruckitalic	DOUBLE-STRUCK ITALIC SMALL I
2149	lttr-jdblstruckitalic	DOUBLE-STRUCK ITALIC SMALL J
214A	lttr-propertyline	PROPERTY LINE
214B	lttr-ampersandturned	TURNED AMPERSAND
214C	lttr-per	PER SIGN
214D	lttr-aktieselskab	AKTIESELSKAB
214E	lttr-fturned	TURNED SMALL F
214F	lttr-forsamaritan	SYMBOL FOR SAMARITAN SOURCE
