# Limbu 1900 - 194F
1900	lmb-limbuvowelcarrierletter	LIMBU VOWEL-CARRIER LETTER
1901	lmb-limbuletterka	LIMBU LETTER KA
1902	lmb-limbuletterkha	LIMBU LETTER KHA
1903	lmb-limbuletterga	LIMBU LETTER GA
1904	lmb-limbulettergha	LIMBU LETTER GHA
1905	lmb-limbuletternga	LIMBU LETTER NGA
1906	lmb-limbuletterca	LIMBU LETTER CA
1907	lmb-limbulettercha	LIMBU LETTER CHA
1908	lmb-limbuletterja	LIMBU LETTER JA
1909	lmb-limbuletterjha	LIMBU LETTER JHA
190A	lmb-limbuletteryan	LIMBU LETTER YAN
190B	lmb-limbuletterta	LIMBU LETTER TA
190C	lmb-limbulettertha	LIMBU LETTER THA
190D	lmb-limbuletterda	LIMBU LETTER DA
190E	lmb-limbuletterdha	LIMBU LETTER DHA
190F	lmb-limbuletterna	LIMBU LETTER NA
1910	lmb-limbuletterpa	LIMBU LETTER PA
1911	lmb-limbuletterpha	LIMBU LETTER PHA
1912	lmb-limbuletterba	LIMBU LETTER BA
1913	lmb-limbuletterbha	LIMBU LETTER BHA
1914	lmb-limbuletterma	LIMBU LETTER MA
1915	lmb-limbuletterya	LIMBU LETTER YA
1916	lmb-limbuletterra	LIMBU LETTER RA
1917	lmb-limbuletterla	LIMBU LETTER LA
1918	lmb-limbuletterwa	LIMBU LETTER WA
1919	lmb-limbulettersha	LIMBU LETTER SHA
191A	lmb-limbuletterssa	LIMBU LETTER SSA
191B	lmb-limbulettersa	LIMBU LETTER SA
191C	lmb-limbuletterha	LIMBU LETTER HA
1920	lmb-limbuvowelsigna	LIMBU VOWEL SIGN A
1921	lmb-limbuvowelsigni	LIMBU VOWEL SIGN I
1922	lmb-limbuvowelsignu	LIMBU VOWEL SIGN U
1923	lmb-limbuvowelsignee	LIMBU VOWEL SIGN EE
1924	lmb-limbuvowelsignai	LIMBU VOWEL SIGN AI
1925	lmb-limbuvowelsignoo	LIMBU VOWEL SIGN OO
1926	lmb-limbuvowelsignau	LIMBU VOWEL SIGN AU
1927	lmb-limbuvowelsigne	LIMBU VOWEL SIGN E
1928	lmb-limbuvowelsigno	LIMBU VOWEL SIGN O
1929	lmb-limbusubjoinedletterya	LIMBU SUBJOINED LETTER YA
192A	lmb-limbusubjoinedletterra	LIMBU SUBJOINED LETTER RA
192B	lmb-limbusubjoinedletterwa	LIMBU SUBJOINED LETTER WA
1930	lmb-limbusmallletterka	LIMBU SMALL LETTER KA
1931	lmb-limbusmallletternga	LIMBU SMALL LETTER NGA
1932	lmb-limbusmallletteranusvara	LIMBU SMALL LETTER ANUSVARA
1933	lmb-limbusmallletterta	LIMBU SMALL LETTER TA
1934	lmb-limbusmallletterna	LIMBU SMALL LETTER NA
1935	lmb-limbusmallletterpa	LIMBU SMALL LETTER PA
1936	lmb-limbusmallletterma	LIMBU SMALL LETTER MA
1937	lmb-limbusmallletterra	LIMBU SMALL LETTER RA
1938	lmb-limbusmallletterla	LIMBU SMALL LETTER LA
1939	lmb-limbusignmukphreng	LIMBU SIGN MUKPHRENG
193A	lmb-limbusignkemphreng	LIMBU SIGN KEMPHRENG
193B	lmb-limbusignsai	LIMBU SIGN SA-I
1940	lmb-limbusignloo	LIMBU SIGN LOO
1944	lmb-limbuexclamationmark	LIMBU EXCLAMATION MARK
1945	lmb-limbuquestionmark	LIMBU QUESTION MARK
1946	lmb-limbudigitzero	LIMBU DIGIT ZERO
1947	lmb-limbudigitone	LIMBU DIGIT ONE
1948	lmb-limbudigittwo	LIMBU DIGIT TWO
1949	lmb-limbudigitthree	LIMBU DIGIT THREE
194A	lmb-limbudigitfour	LIMBU DIGIT FOUR
194B	lmb-limbudigitfive	LIMBU DIGIT FIVE
194C	lmb-limbudigitsix	LIMBU DIGIT SIX
194D	lmb-limbudigitseven	LIMBU DIGIT SEVEN
194E	lmb-limbudigiteight	LIMBU DIGIT EIGHT
194F	lmb-limbudigitnine	LIMBU DIGIT NINE
