# Lisu A4D0 - A4FF
A4D0	ls-lisuletterba	LISU LETTER BA
A4D1	ls-lisuletterpa	LISU LETTER PA
A4D2	ls-lisuletterpha	LISU LETTER PHA
A4D3	ls-lisuletterda	LISU LETTER DA
A4D4	ls-lisuletterta	LISU LETTER TA
A4D5	ls-lisulettertha	LISU LETTER THA
A4D6	ls-lisuletterga	LISU LETTER GA
A4D7	ls-lisuletterka	LISU LETTER KA
A4D8	ls-lisuletterkha	LISU LETTER KHA
A4D9	ls-lisuletterja	LISU LETTER JA
A4DA	ls-lisuletterca	LISU LETTER CA
A4DB	ls-lisulettercha	LISU LETTER CHA
A4DC	ls-lisuletterdza	LISU LETTER DZA
A4DD	ls-lisulettertsa	LISU LETTER TSA
A4DE	ls-lisulettertsha	LISU LETTER TSHA
A4DF	ls-lisuletterma	LISU LETTER MA
A4E0	ls-lisuletterna	LISU LETTER NA
A4E1	ls-lisuletterla	LISU LETTER LA
A4E2	ls-lisulettersa	LISU LETTER SA
A4E3	ls-lisuletterzha	LISU LETTER ZHA
A4E4	ls-lisuletterza	LISU LETTER ZA
A4E5	ls-lisuletternga	LISU LETTER NGA
A4E6	ls-lisuletterha	LISU LETTER HA
A4E7	ls-lisuletterxa	LISU LETTER XA
A4E8	ls-lisuletterhha	LISU LETTER HHA
A4E9	ls-lisuletterfa	LISU LETTER FA
A4EA	ls-lisuletterwa	LISU LETTER WA
A4EB	ls-lisulettersha	LISU LETTER SHA
A4EC	ls-lisuletterya	LISU LETTER YA
A4ED	ls-lisulettergha	LISU LETTER GHA
A4EE	ls-lisulettera	LISU LETTER A
A4EF	ls-lisuletterae	LISU LETTER AE
A4F0	ls-lisulettere	LISU LETTER E
A4F1	ls-lisulettereu	LISU LETTER EU
A4F2	ls-lisuletteri	LISU LETTER I
A4F3	ls-lisulettero	LISU LETTER O
A4F4	ls-lisuletteru	LISU LETTER U
A4F5	ls-lisuletterue	LISU LETTER UE
A4F6	ls-lisuletteruh	LISU LETTER UH
A4F7	ls-lisuletteroe	LISU LETTER OE
A4F8	ls-lisulettertonemyati	LISU LETTER TONE MYA TI
A4F9	ls-lisulettertonenapo	LISU LETTER TONE NA PO
A4FA	ls-lisulettertonemyacya	LISU LETTER TONE MYA CYA
A4FB	ls-lisulettertonemyabo	LISU LETTER TONE MYA BO
A4FC	ls-lisulettertonemyana	LISU LETTER TONE MYA NA
A4FD	ls-lisulettertonemyajeu	LISU LETTER TONE MYA JEU
A4FE	ls-lisupunctuationcomma	LISU PUNCTUATION COMMA
A4FF	ls-lisupunctuationfullstop	LISU PUNCTUATION FULL STOP
