# Lycian 10280 - 1029F
10280	lycn-lycianlettera	LYCIAN LETTER A
10281	lycn-lycianlettere	LYCIAN LETTER E
10282	lycn-lycianletterb	LYCIAN LETTER B
10283	lycn-lycianletterbh	LYCIAN LETTER BH
10284	lycn-lycianletterg	LYCIAN LETTER G
10285	lycn-lycianletterd	LYCIAN LETTER D
10286	lycn-lycianletteri	LYCIAN LETTER I
10287	lycn-lycianletterw	LYCIAN LETTER W
10288	lycn-lycianletterz	LYCIAN LETTER Z
10289	lycn-lycianletterth	LYCIAN LETTER TH
1028A	lycn-lycianletterj	LYCIAN LETTER J
1028B	lycn-lycianletterk	LYCIAN LETTER K
1028C	lycn-lycianletterq	LYCIAN LETTER Q
1028D	lycn-lycianletterl	LYCIAN LETTER L
1028E	lycn-lycianletterm	LYCIAN LETTER M
1028F	lycn-lycianlettern	LYCIAN LETTER N
10290	lycn-lycianlettermm	LYCIAN LETTER MM
10291	lycn-lycianletternn	LYCIAN LETTER NN
10292	lycn-lycianletteru	LYCIAN LETTER U
10293	lycn-lycianletterp	LYCIAN LETTER P
10294	lycn-lycianletterkk	LYCIAN LETTER KK
10295	lycn-lycianletterr	LYCIAN LETTER R
10296	lycn-lycianletters	LYCIAN LETTER S
10297	lycn-lycianlettert	LYCIAN LETTER T
10298	lycn-lycianlettertt	LYCIAN LETTER TT
10299	lycn-lycianletteran	LYCIAN LETTER AN
1029A	lycn-lycianletteren	LYCIAN LETTER EN
1029B	lycn-lycianletterh	LYCIAN LETTER H
1029C	lycn-lycianletterx	LYCIAN LETTER X
