# Lydian 10920 - 1093F
10920	lydn-lydianlettera	LYDIAN LETTER A
10921	lydn-lydianletterb	LYDIAN LETTER B
10922	lydn-lydianletterg	LYDIAN LETTER G
10923	lydn-lydianletterd	LYDIAN LETTER D
10924	lydn-lydianlettere	LYDIAN LETTER E
10925	lydn-lydianletterv	LYDIAN LETTER V
10926	lydn-lydianletteri	LYDIAN LETTER I
10927	lydn-lydianlettery	LYDIAN LETTER Y
10928	lydn-lydianletterk	LYDIAN LETTER K
10929	lydn-lydianletterl	LYDIAN LETTER L
1092A	lydn-lydianletterm	LYDIAN LETTER M
1092B	lydn-lydianlettern	LYDIAN LETTER N
1092C	lydn-lydianlettero	LYDIAN LETTER O
1092D	lydn-lydianletterr	LYDIAN LETTER R
1092E	lydn-lydianletterss	LYDIAN LETTER SS
1092F	lydn-lydianlettert	LYDIAN LETTER T
10930	lydn-lydianletteru	LYDIAN LETTER U
10931	lydn-lydianletterf	LYDIAN LETTER F
10932	lydn-lydianletterq	LYDIAN LETTER Q
10933	lydn-lydianletters	LYDIAN LETTER S
10934	lydn-lydianlettertt	LYDIAN LETTER TT
10935	lydn-lydianletteran	LYDIAN LETTER AN
10936	lydn-lydianletteren	LYDIAN LETTER EN
10937	lydn-lydianletterly	LYDIAN LETTER LY
10938	lydn-lydianletternn	LYDIAN LETTER NN
10939	lydn-lydianletterc	LYDIAN LETTER C
1093F	lydn-lydiantriangularmark	LYDIAN TRIANGULAR MARK
