# Mahjong Tiles 1F000 - 1F02F
1F000	mhjn-mahjongtileeastwind	MAHJONG TILE EAST WIND
1F001	mhjn-mahjongtilesouthwind	MAHJONG TILE SOUTH WIND
1F002	mhjn-mahjongtilewestwind	MAHJONG TILE WEST WIND
1F003	mhjn-mahjongtilenorthwind	MAHJONG TILE NORTH WIND
1F004	mhjn-mahjongtilereddragon	MAHJONG TILE RED DRAGON
1F005	mhjn-mahjongtilegreendragon	MAHJONG TILE GREEN DRAGON
1F006	mhjn-mahjongtilewhitedragon	MAHJONG TILE WHITE DRAGON
1F007	mhjn-mahjongtileoneofcharacters	MAHJONG TILE ONE OF CHARACTERS
1F008	mhjn-mahjongtiletwoofcharacters	MAHJONG TILE TWO OF CHARACTERS
1F009	mhjn-mahjongtilethreeofcharacters	MAHJONG TILE THREE OF CHARACTERS
1F00A	mhjn-mahjongtilefourofcharacters	MAHJONG TILE FOUR OF CHARACTERS
1F00B	mhjn-mahjongtilefiveofcharacters	MAHJONG TILE FIVE OF CHARACTERS
1F00C	mhjn-mahjongtilesixofcharacters	MAHJONG TILE SIX OF CHARACTERS
1F00D	mhjn-mahjongtilesevenofcharacters	MAHJONG TILE SEVEN OF CHARACTERS
1F00E	mhjn-mahjongtileeightofcharacters	MAHJONG TILE EIGHT OF CHARACTERS
1F00F	mhjn-mahjongtilenineofcharacters	MAHJONG TILE NINE OF CHARACTERS
1F010	mhjn-mahjongtileoneofbamboos	MAHJONG TILE ONE OF BAMBOOS
1F011	mhjn-mahjongtiletwoofbamboos	MAHJONG TILE TWO OF BAMBOOS
1F012	mhjn-mahjongtilethreeofbamboos	MAHJONG TILE THREE OF BAMBOOS
1F013	mhjn-mahjongtilefourofbamboos	MAHJONG TILE FOUR OF BAMBOOS
1F014	mhjn-mahjongtilefiveofbamboos	MAHJONG TILE FIVE OF BAMBOOS
1F015	mhjn-mahjongtilesixofbamboos	MAHJONG TILE SIX OF BAMBOOS
1F016	mhjn-mahjongtilesevenofbamboos	MAHJONG TILE SEVEN OF BAMBOOS
1F017	mhjn-mahjongtileeightofbamboos	MAHJONG TILE EIGHT OF BAMBOOS
1F018	mhjn-mahjongtilenineofbamboos	MAHJONG TILE NINE OF BAMBOOS
1F019	mhjn-mahjongtileoneofcircles	MAHJONG TILE ONE OF CIRCLES
1F01A	mhjn-mahjongtiletwoofcircles	MAHJONG TILE TWO OF CIRCLES
1F01B	mhjn-mahjongtilethreeofcircles	MAHJONG TILE THREE OF CIRCLES
1F01C	mhjn-mahjongtilefourofcircles	MAHJONG TILE FOUR OF CIRCLES
1F01D	mhjn-mahjongtilefiveofcircles	MAHJONG TILE FIVE OF CIRCLES
1F01E	mhjn-mahjongtilesixofcircles	MAHJONG TILE SIX OF CIRCLES
1F01F	mhjn-mahjongtilesevenofcircles	MAHJONG TILE SEVEN OF CIRCLES
1F020	mhjn-mahjongtileeightofcircles	MAHJONG TILE EIGHT OF CIRCLES
1F021	mhjn-mahjongtilenineofcircles	MAHJONG TILE NINE OF CIRCLES
1F022	mhjn-mahjongtileplum	MAHJONG TILE PLUM
1F023	mhjn-mahjongtileorchid	MAHJONG TILE ORCHID
1F024	mhjn-mahjongtilebamboo	MAHJONG TILE BAMBOO
1F025	mhjn-mahjongtilechrysanthemum	MAHJONG TILE CHRYSANTHEMUM
1F026	mhjn-mahjongtilespring	MAHJONG TILE SPRING
1F027	mhjn-mahjongtilesummer	MAHJONG TILE SUMMER
1F028	mhjn-mahjongtileautumn	MAHJONG TILE AUTUMN
1F029	mhjn-mahjongtilewinter	MAHJONG TILE WINTER
1F02A	mhjn-mahjongtilejoker	MAHJONG TILE JOKER
1F02B	mhjn-mahjongtileback	MAHJONG TILE BACK
