# Malayalam 0D00 - 0D7F
0D02	mlyl-malayalamsignanusvara	MALAYALAM SIGN ANUSVARA
0D03	mlyl-malayalamsignvisarga	MALAYALAM SIGN VISARGA
0D05	mlyl-malayalamlettera	MALAYALAM LETTER A
0D06	mlyl-malayalamletteraa	MALAYALAM LETTER AA
0D07	mlyl-malayalamletteri	MALAYALAM LETTER I
0D08	mlyl-malayalamletterii	MALAYALAM LETTER II
0D09	mlyl-malayalamletteru	MALAYALAM LETTER U
0D0A	mlyl-malayalamletteruu	MALAYALAM LETTER UU
0D0B	mlyl-malayalamlettervocalicr	MALAYALAM LETTER VOCALIC R
0D0C	mlyl-malayalamlettervocalicl	MALAYALAM LETTER VOCALIC L
0D0E	mlyl-malayalamlettere	MALAYALAM LETTER E
0D0F	mlyl-malayalamletteree	MALAYALAM LETTER EE
0D10	mlyl-malayalamletterai	MALAYALAM LETTER AI
0D12	mlyl-malayalamlettero	MALAYALAM LETTER O
0D13	mlyl-malayalamletteroo	MALAYALAM LETTER OO
0D14	mlyl-malayalamletterau	MALAYALAM LETTER AU
0D15	mlyl-malayalamletterka	MALAYALAM LETTER KA
0D16	mlyl-malayalamletterkha	MALAYALAM LETTER KHA
0D17	mlyl-malayalamletterga	MALAYALAM LETTER GA
0D18	mlyl-malayalamlettergha	MALAYALAM LETTER GHA
0D19	mlyl-malayalamletternga	MALAYALAM LETTER NGA
0D1A	mlyl-malayalamletterca	MALAYALAM LETTER CA
0D1B	mlyl-malayalamlettercha	MALAYALAM LETTER CHA
0D1C	mlyl-malayalamletterja	MALAYALAM LETTER JA
0D1D	mlyl-malayalamletterjha	MALAYALAM LETTER JHA
0D1E	mlyl-malayalamletternya	MALAYALAM LETTER NYA
0D1F	mlyl-malayalamlettertta	MALAYALAM LETTER TTA
0D20	mlyl-malayalamletterttha	MALAYALAM LETTER TTHA
0D21	mlyl-malayalamletterdda	MALAYALAM LETTER DDA
0D22	mlyl-malayalamletterddha	MALAYALAM LETTER DDHA
0D23	mlyl-malayalamletternna	MALAYALAM LETTER NNA
0D24	mlyl-malayalamletterta	MALAYALAM LETTER TA
0D25	mlyl-malayalamlettertha	MALAYALAM LETTER THA
0D26	mlyl-malayalamletterda	MALAYALAM LETTER DA
0D27	mlyl-malayalamletterdha	MALAYALAM LETTER DHA
0D28	mlyl-malayalamletterna	MALAYALAM LETTER NA
0D2A	mlyl-malayalamletterpa	MALAYALAM LETTER PA
0D2B	mlyl-malayalamletterpha	MALAYALAM LETTER PHA
0D2C	mlyl-malayalamletterba	MALAYALAM LETTER BA
0D2D	mlyl-malayalamletterbha	MALAYALAM LETTER BHA
0D2E	mlyl-malayalamletterma	MALAYALAM LETTER MA
0D2F	mlyl-malayalamletterya	MALAYALAM LETTER YA
0D30	mlyl-malayalamletterra	MALAYALAM LETTER RA
0D31	mlyl-malayalamletterrra	MALAYALAM LETTER RRA
0D32	mlyl-malayalamletterla	MALAYALAM LETTER LA
0D33	mlyl-malayalamletterlla	MALAYALAM LETTER LLA
0D34	mlyl-malayalamletterllla	MALAYALAM LETTER LLLA
0D35	mlyl-malayalamletterva	MALAYALAM LETTER VA
0D36	mlyl-malayalamlettersha	MALAYALAM LETTER SHA
0D37	mlyl-malayalamletterssa	MALAYALAM LETTER SSA
0D38	mlyl-malayalamlettersa	MALAYALAM LETTER SA
0D39	mlyl-malayalamletterha	MALAYALAM LETTER HA
0D3D	mlyl-malayalamsignavagraha	MALAYALAM SIGN AVAGRAHA
0D3E	mlyl-malayalamvowelsignaa	MALAYALAM VOWEL SIGN AA
0D3F	mlyl-malayalamvowelsigni	MALAYALAM VOWEL SIGN I
0D40	mlyl-malayalamvowelsignii	MALAYALAM VOWEL SIGN II
0D41	mlyl-malayalamvowelsignu	MALAYALAM VOWEL SIGN U
0D42	mlyl-malayalamvowelsignuu	MALAYALAM VOWEL SIGN UU
0D43	mlyl-malayalamvowelsignvocalicr	MALAYALAM VOWEL SIGN VOCALIC R
0D44	mlyl-malayalamvowelsignvocalicrr	MALAYALAM VOWEL SIGN VOCALIC RR
0D46	mlyl-malayalamvowelsigne	MALAYALAM VOWEL SIGN E
0D47	mlyl-malayalamvowelsignee	MALAYALAM VOWEL SIGN EE
0D48	mlyl-malayalamvowelsignai	MALAYALAM VOWEL SIGN AI
0D4A	mlyl-malayalamvowelsigno	MALAYALAM VOWEL SIGN O
0D4B	mlyl-malayalamvowelsignoo	MALAYALAM VOWEL SIGN OO
0D4C	mlyl-malayalamvowelsignau	MALAYALAM VOWEL SIGN AU
0D4D	mlyl-malayalamsignvirama	MALAYALAM SIGN VIRAMA
0D57	mlyl-malayalamaulengthmark	MALAYALAM AU LENGTH MARK
0D60	mlyl-malayalamlettervocalicrr	MALAYALAM LETTER VOCALIC RR
0D61	mlyl-malayalamlettervocalicll	MALAYALAM LETTER VOCALIC LL
0D62	mlyl-malayalamvowelsignvocalicl	MALAYALAM VOWEL SIGN VOCALIC L
0D63	mlyl-malayalamvowelsignvocalicll	MALAYALAM VOWEL SIGN VOCALIC LL
0D66	mlyl-malayalamdigitzero	MALAYALAM DIGIT ZERO
0D67	mlyl-malayalamdigitone	MALAYALAM DIGIT ONE
0D68	mlyl-malayalamdigittwo	MALAYALAM DIGIT TWO
0D69	mlyl-malayalamdigitthree	MALAYALAM DIGIT THREE
0D6A	mlyl-malayalamdigitfour	MALAYALAM DIGIT FOUR
0D6B	mlyl-malayalamdigitfive	MALAYALAM DIGIT FIVE
0D6C	mlyl-malayalamdigitsix	MALAYALAM DIGIT SIX
0D6D	mlyl-malayalamdigitseven	MALAYALAM DIGIT SEVEN
0D6E	mlyl-malayalamdigiteight	MALAYALAM DIGIT EIGHT
0D6F	mlyl-malayalamdigitnine	MALAYALAM DIGIT NINE
0D70	mlyl-malayalamnumberten	MALAYALAM NUMBER TEN
0D71	mlyl-malayalamnumberonehundred	MALAYALAM NUMBER ONE HUNDRED
0D72	mlyl-malayalamnumberonethousand	MALAYALAM NUMBER ONE THOUSAND
0D73	mlyl-malayalamfractiononequarter	MALAYALAM FRACTION ONE QUARTER
0D74	mlyl-malayalamfractiononehalf	MALAYALAM FRACTION ONE HALF
