# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	mthm-mathematicalboldcapitala	MATHEMATICAL BOLD CAPITAL A
1D401	mthm-mathematicalboldcapitalb	MATHEMATICAL BOLD CAPITAL B
1D402	mthm-mathematicalboldcapitalc	MATHEMATICAL BOLD CAPITAL C
1D403	mthm-mathematicalboldcapitald	MATHEMATICAL BOLD CAPITAL D
1D404	mthm-mathematicalboldcapitale	MATHEMATICAL BOLD CAPITAL E
1D405	mthm-mathematicalboldcapitalf	MATHEMATICAL BOLD CAPITAL F
1D406	mthm-mathematicalboldcapitalg	MATHEMATICAL BOLD CAPITAL G
1D407	mthm-mathematicalboldcapitalh	MATHEMATICAL BOLD CAPITAL H
1D408	mthm-mathematicalboldcapitali	MATHEMATICAL BOLD CAPITAL I
1D409	mthm-mathematicalboldcapitalj	MATHEMATICAL BOLD CAPITAL J
1D40A	mthm-mathematicalboldcapitalk	MATHEMATICAL BOLD CAPITAL K
1D40B	mthm-mathematicalboldcapitall	MATHEMATICAL BOLD CAPITAL L
1D40C	mthm-mathematicalboldcapitalm	MATHEMATICAL BOLD CAPITAL M
1D40D	mthm-mathematicalboldcapitaln	MATHEMATICAL BOLD CAPITAL N
1D40E	mthm-mathematicalboldcapitalo	MATHEMATICAL BOLD CAPITAL O
1D40F	mthm-mathematicalboldcapitalp	MATHEMATICAL BOLD CAPITAL P
1D410	mthm-mathematicalboldcapitalq	MATHEMATICAL BOLD CAPITAL Q
1D411	mthm-mathematicalboldcapitalr	MATHEMATICAL BOLD CAPITAL R
1D412	mthm-mathematicalboldcapitals	MATHEMATICAL BOLD CAPITAL S
1D413	mthm-mathematicalboldcapitalt	MATHEMATICAL BOLD CAPITAL T
1D414	mthm-mathematicalboldcapitalu	MATHEMATICAL BOLD CAPITAL U
1D415	mthm-mathematicalboldcapitalv	MATHEMATICAL BOLD CAPITAL V
1D416	mthm-mathematicalboldcapitalw	MATHEMATICAL BOLD CAPITAL W
1D417	mthm-mathematicalboldcapitalx	MATHEMATICAL BOLD CAPITAL X
1D418	mthm-mathematicalboldcapitaly	MATHEMATICAL BOLD CAPITAL Y
1D419	mthm-mathematicalboldcapitalz	MATHEMATICAL BOLD CAPITAL Z
1D41A	mthm-mathematicalboldsmalla	MATHEMATICAL BOLD SMALL A
1D41B	mthm-mathematicalboldsmallb	MATHEMATICAL BOLD SMALL B
1D41C	mthm-mathematicalboldsmallc	MATHEMATICAL BOLD SMALL C
1D41D	mthm-mathematicalboldsmalld	MATHEMATICAL BOLD SMALL D
1D41E	mthm-mathematicalboldsmalle	MATHEMATICAL BOLD SMALL E
1D41F	mthm-mathematicalboldsmallf	MATHEMATICAL BOLD SMALL F
1D420	mthm-mathematicalboldsmallg	MATHEMATICAL BOLD SMALL G
1D421	mthm-mathematicalboldsmallh	MATHEMATICAL BOLD SMALL H
1D422	mthm-mathematicalboldsmalli	MATHEMATICAL BOLD SMALL I
1D423	mthm-mathematicalboldsmallj	MATHEMATICAL BOLD SMALL J
1D424	mthm-mathematicalboldsmallk	MATHEMATICAL BOLD SMALL K
1D425	mthm-mathematicalboldsmalll	MATHEMATICAL BOLD SMALL L
1D426	mthm-mathematicalboldsmallm	MATHEMATICAL BOLD SMALL M
1D427	mthm-mathematicalboldsmalln	MATHEMATICAL BOLD SMALL N
1D428	mthm-mathematicalboldsmallo	MATHEMATICAL BOLD SMALL O
1D429	mthm-mathematicalboldsmallp	MATHEMATICAL BOLD SMALL P
1D42A	mthm-mathematicalboldsmallq	MATHEMATICAL BOLD SMALL Q
1D42B	mthm-mathematicalboldsmallr	MATHEMATICAL BOLD SMALL R
1D42C	mthm-mathematicalboldsmalls	MATHEMATICAL BOLD SMALL S
1D42D	mthm-mathematicalboldsmallt	MATHEMATICAL BOLD SMALL T
1D42E	mthm-mathematicalboldsmallu	MATHEMATICAL BOLD SMALL U
1D42F	mthm-mathematicalboldsmallv	MATHEMATICAL BOLD SMALL V
1D430	mthm-mathematicalboldsmallw	MATHEMATICAL BOLD SMALL W
1D431	mthm-mathematicalboldsmallx	MATHEMATICAL BOLD SMALL X
1D432	mthm-mathematicalboldsmally	MATHEMATICAL BOLD SMALL Y
1D433	mthm-mathematicalboldsmallz	MATHEMATICAL BOLD SMALL Z
1D434	mthm-mathematicalitaliccapitala	MATHEMATICAL ITALIC CAPITAL A
1D435	mthm-mathematicalitaliccapitalb	MATHEMATICAL ITALIC CAPITAL B
1D436	mthm-mathematicalitaliccapitalc	MATHEMATICAL ITALIC CAPITAL C
1D437	mthm-mathematicalitaliccapitald	MATHEMATICAL ITALIC CAPITAL D
