# Mathematical Operators 2200 - 22FF
2200	mthm-universal	FOR ALL
2201	mthm-complement	COMPLEMENT
2202	mthm-partialdiff	PARTIAL DIFFERENTIAL
2203	mthm-existential	THERE EXISTS
2204	mthm-notexistential	THERE DOES NOT EXIST
2205	mthm-emptyset	EMPTY SET
2206	mthm-increment	INCREMENT
2207	mthm-gradient	NABLA
2208	mthm-element	ELEMENT OF
2209	mthm-notelement	NOT AN ELEMENT OF
220A	mthm-elementsmall	SMALL ELEMENT OF
220B	mthm-suchthat	CONTAINS AS MEMBER
220C	mthm-notcontains	DOES NOT CONTAIN AS MEMBER
220D	mthm-containsasmembersmall	SMALL CONTAINS AS MEMBER
220E	mthm-endpro	END OF PROOF
220F	mthm-product	N-ARY PRODUCT
2210	mthm-coproductarray	N-ARY COPRODUCT
2211	mthm-summation	N-ARY SUMMATION
2212	mthm-minus	MINUS SIGN
2213	mthm-minusplus	MINUS-OR-PLUS SIGN
2214	mthm-dotplus	DOT PLUS
2215	mthm-divisionslash	DIVISION SLASH
2216	mthm-setminus	SET MINUS
2217	mthm-asteriskmath	ASTERISK OPERATOR
2218	mthm-ringoperator	RING OPERATOR
2219	mthm-bulletoperator	BULLET OPERATOR
221A	mthm-radical	SQUARE ROOT
221B	mthm-cuberoot	CUBE ROOT
221C	mthm-fourthroot	FOURTH ROOT
221D	mthm-proportional	PROPORTIONAL TO
221E	mthm-infinity	INFINITY
221F	mthm-orthogonal	RIGHT ANGLE
2220	mthm-angle	ANGLE
2221	mthm-measuredangle	MEASURED ANGLE
2222	mthm-sphericalangle	SPHERICAL ANGLE
2223	mthm-divides	DIVIDES
2224	mthm-doesnotdivide	DOES NOT DIVIDE
2225	mthm-parallel	PARALLEL TO
2226	mthm-notparallel	NOT PARALLEL TO
2227	mthm-logicaland	LOGICAL AND
2228	mthm-logicalor	LOGICAL OR
2229	mthm-intersection	INTERSECTION
222A	mthm-union	UNION
222B	mthm-integral	INTEGRAL
222C	mthm-integraldbl	DOUBLE INTEGRAL
222D	mthm-integraltpl	TRIPLE INTEGRAL
222E	mthm-integralcontour	CONTOUR INTEGRAL
222F	mthm-integralsurface	SURFACE INTEGRAL
2230	mthm-integralvolume	VOLUME INTEGRAL
2231	mthm-integralclockwise	CLOCKWISE INTEGRAL
2232	mthm-integralcontourclockwise	CLOCKWISE CONTOUR INTEGRAL
2233	mthm-integralcontouranticlockwise	ANTICLOCKWISE CONTOUR INTEGRAL
2234	mthm-therefore	THEREFORE
2235	mthm-because	BECAUSE
2236	mthm-ratio	RATIO
2237	mthm-proportion	PROPORTION
2238	mthm-dotminus	DOT MINUS
2239	mthm-excess	EXCESS
223A	mthm-geometricproportion	GEOMETRIC PROPORTION
223B	mthm-homotic	HOMOTHETIC
223C	mthm-similar	TILDE OPERATOR
223D	mthm-tildereversed	REVERSED TILDE
223E	mthm-lazysinverted	INVERTED LAZY S
223F	mthm-sinewave	SINE WAVE
2240	mthm-wreathproduct	WREATH PRODUCT
2241	mthm-nottilde	NOT TILDE
2242	mthm-minustilde	MINUS TILDE
2243	mthm-asympticallyequal	ASYMPTOTICALLY EQUAL TO
2244	mthm-notasympticallyequal	NOT ASYMPTOTICALLY EQUAL TO
2245	mthm-congruent	APPROXIMATELY EQUAL TO
2246	mthm-approximatelybutnotactuallyequal	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
2247	mthm-neirapproximatelynoractuallyequal	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
2248	mthm-approxequal	ALMOST EQUAL TO
2249	mthm-notalmostequal	NOT ALMOST EQUAL TO
224A	mthm-almostequalorequal	ALMOST EQUAL OR EQUAL TO
224B	mthm-tildetpl	TRIPLE TILDE
224C	mthm-allequal	ALL EQUAL TO
224D	mthm-equivalent	EQUIVALENT TO
224E	mthm-geometricallyequivalent	GEOMETRICALLY EQUIVALENT TO
224F	mthm-differencebetween	DIFFERENCE BETWEEN
2250	mthm-approacheslimit	APPROACHES THE LIMIT
2251	mthm-geometricallyequal	GEOMETRICALLY EQUAL TO
2252	mthm-approximatelyequalorimage	APPROXIMATELY EQUAL TO OR THE IMAGE OF
2253	mthm-imageorapproximatelyequal	IMAGE OF OR APPROXIMATELY EQUAL TO
2254	mthm-colonequals	COLON EQUALS
2255	mthm-equalscolon	EQUALS COLON
2256	mthm-ringinequal	RING IN EQUAL TO
2257	mthm-ringequal	RING EQUAL TO
2258	mthm-corresponds	CORRESPONDS TO
2259	mthm-estimates	ESTIMATES
225A	mthm-equiangular	EQUIANGULAR TO
225B	mthm-starequals	STAR EQUALS
225C	mthm-deltaequal	DELTA EQUAL TO
225D	mthm-equalbydefinition	EQUAL TO BY DEFINITION
225E	mthm-measuredby	MEASURED BY
225F	mthm-questionedequal	QUESTIONED EQUAL TO
2260	mthm-notequal	NOT EQUAL TO
2261	mthm-equivalence	IDENTICAL TO
2262	mthm-notidentical	NOT IDENTICAL TO
2263	mthm-strictlyequivalent	STRICTLY EQUIVALENT TO
2264	mthm-lessequal	LESS-THAN OR EQUAL TO
2265	mthm-greaterequal	GREATER-THAN OR EQUAL TO
2266	mthm-lessoverequal	LESS-THAN OVER EQUAL TO
2267	mthm-greateroverequal	GREATER-THAN OVER EQUAL TO
2268	mthm-lessbutnotequal	LESS-THAN BUT NOT EQUAL TO
2269	mthm-greaterbutnotequal	GREATER-THAN BUT NOT EQUAL TO
226A	mthm-muchless	MUCH LESS-THAN
226B	mthm-muchgreater	MUCH GREATER-THAN
226C	mthm-between	BETWEEN
226D	mthm-notequivalent	NOT EQUIVALENT TO
226E	mthm-notless	NOT LESS-THAN
226F	mthm-notgreater	NOT GREATER-THAN
2270	mthm-neirlessnorequal	NEITHER LESS-THAN NOR EQUAL TO
2271	mthm-neirgreaternorequal	NEITHER GREATER-THAN NOR EQUAL TO
2272	mthm-lessorequivalent	LESS-THAN OR EQUIVALENT TO
2273	mthm-greaterorequivalent	GREATER-THAN OR EQUIVALENT TO
2274	mthm-neirlessnorequivalent	NEITHER LESS-THAN NOR EQUIVALENT TO
2275	mthm-neirgreaternorequivalent	NEITHER GREATER-THAN NOR EQUIVALENT TO
2276	mthm-lessorgreater	LESS-THAN OR GREATER-THAN
2277	mthm-greaterorless	GREATER-THAN OR LESS-THAN
2278	mthm-neirlessnorgreater	NEITHER LESS-THAN NOR GREATER-THAN
2279	mthm-neirgreaternorless	NEITHER GREATER-THAN NOR LESS-THAN
227A	mthm-precedes	PRECEDES
227B	mthm-succeeds	SUCCEEDS
227C	mthm-precedesorequal	PRECEDES OR EQUAL TO
227D	mthm-succeedsorequal	SUCCEEDS OR EQUAL TO
227E	mthm-precedesorequivalent	PRECEDES OR EQUIVALENT TO
227F	mthm-succeedsorequivalent	SUCCEEDS OR EQUIVALENT TO
2280	mthm-doesnotprecede	DOES NOT PRECEDE
2281	mthm-doesnotsucceed	DOES NOT SUCCEED
2282	mthm-propersubset	SUBSET OF
2283	mthm-propersuperset	SUPERSET OF
2284	mthm-notsubset	NOT A SUBSET OF
2285	mthm-notasersetup	NOT A SUPERSET OF
2286	mthm-reflexsubset	SUBSET OF OR EQUAL TO
2287	mthm-reflexsuperset	SUPERSET OF OR EQUAL TO
2288	mthm-neirasubsetnorequal	NEITHER A SUBSET OF NOR EQUAL TO
2289	mthm-neirasersetnorequalup	NEITHER A SUPERSET OF NOR EQUAL TO
228A	mthm-subsetnotequal	SUBSET OF WITH NOT EQUAL TO
228B	mthm-sersetnotequalup	SUPERSET OF WITH NOT EQUAL TO
228C	mthm-multiset	MULTISET
228D	mthm-multisetmultiplication	MULTISET MULTIPLICATION
228E	mthm-multisetunion	MULTISET UNION
228F	mthm-squareimage	SQUARE IMAGE OF
2290	mthm-squareoriginal	SQUARE ORIGINAL OF
2291	mthm-squareimageorequal	SQUARE IMAGE OF OR EQUAL TO
2292	mthm-squareoriginalorequal	SQUARE ORIGINAL OF OR EQUAL TO
2293	mthm-squarecap	SQUARE CAP
2294	mthm-squarecup	SQUARE CUP
2295	mthm-circleplus	CIRCLED PLUS
2296	mthm-circledminus	CIRCLED MINUS
2297	mthm-circlemultiply	CIRCLED TIMES
2298	mthm-circleddivisionslash	CIRCLED DIVISION SLASH
2299	mthm-circleddotoperator	CIRCLED DOT OPERATOR
229A	mthm-circledringoperator	CIRCLED RING OPERATOR
229B	mthm-circledasteriskoperator	CIRCLED ASTERISK OPERATOR
229C	mthm-circledequals	CIRCLED EQUALS
229D	mthm-circleddash	CIRCLED DASH
229E	mthm-squaredplus	SQUARED PLUS
229F	mthm-squaredminus	SQUARED MINUS
22A0	mthm-squaredtimes	SQUARED TIMES
22A1	mthm-squareddotoperator	SQUARED DOT OPERATOR
22A2	mthm-tackright	RIGHT TACK
22A3	mthm-tackleft	LEFT TACK
22A4	mthm-tackdown	DOWN TACK
22A5	mthm-perpendicular	UP TACK
22A6	mthm-assertion	ASSERTION
22A7	mthm-models	MODELS
22A8	mthm-true	TRUE
22A9	mthm-forces	FORCES
22AA	mthm-turnstiletplverticalbarright	TRIPLE VERTICAL BAR RIGHT TURNSTILE
22AB	mthm-turnstiledblverticalbarright	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22AC	mthm-doesnotprove	DOES NOT PROVE
22AD	mthm-nottrue	NOT TRUE
22AE	mthm-doesnotforce	DOES NOT FORCE
22AF	mthm-negatedturnstiledblverticalbarright	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
