# Meetei Mayek ABC0 - ABFF
ABC0	mtmy-meeteimayekletterkok	MEETEI MAYEK LETTER KOK
ABC1	mtmy-meeteimayeklettersam	MEETEI MAYEK LETTER SAM
ABC2	mtmy-meeteimayekletterlai	MEETEI MAYEK LETTER LAI
ABC3	mtmy-meeteimayeklettermit	MEETEI MAYEK LETTER MIT
ABC4	mtmy-meeteimayekletterpa	MEETEI MAYEK LETTER PA
ABC5	mtmy-meeteimayekletterna	MEETEI MAYEK LETTER NA
ABC6	mtmy-meeteimayekletterchil	MEETEI MAYEK LETTER CHIL
ABC7	mtmy-meeteimayeklettertil	MEETEI MAYEK LETTER TIL
ABC8	mtmy-meeteimayekletterkhou	MEETEI MAYEK LETTER KHOU
ABC9	mtmy-meeteimayekletterngou	MEETEI MAYEK LETTER NGOU
ABCA	mtmy-meeteimayekletterthou	MEETEI MAYEK LETTER THOU
ABCB	mtmy-meeteimayekletterwai	MEETEI MAYEK LETTER WAI
ABCC	mtmy-meeteimayekletteryang	MEETEI MAYEK LETTER YANG
ABCD	mtmy-meeteimayekletterhuk	MEETEI MAYEK LETTER HUK
ABCE	mtmy-meeteimayekletterun	MEETEI MAYEK LETTER UN
ABCF	mtmy-meeteimayekletteri	MEETEI MAYEK LETTER I
ABD0	mtmy-meeteimayekletterpham	MEETEI MAYEK LETTER PHAM
ABD1	mtmy-meeteimayekletteratiya	MEETEI MAYEK LETTER ATIYA
ABD2	mtmy-meeteimayeklettergok	MEETEI MAYEK LETTER GOK
ABD3	mtmy-meeteimayekletterjham	MEETEI MAYEK LETTER JHAM
ABD4	mtmy-meeteimayekletterrai	MEETEI MAYEK LETTER RAI
ABD5	mtmy-meeteimayekletterba	MEETEI MAYEK LETTER BA
ABD6	mtmy-meeteimayekletterjil	MEETEI MAYEK LETTER JIL
ABD7	mtmy-meeteimayekletterdil	MEETEI MAYEK LETTER DIL
ABD8	mtmy-meeteimayekletterghou	MEETEI MAYEK LETTER GHOU
ABD9	mtmy-meeteimayekletterdhou	MEETEI MAYEK LETTER DHOU
ABDA	mtmy-meeteimayekletterbham	MEETEI MAYEK LETTER BHAM
ABDB	mtmy-meeteimayekletterkoklonsum	MEETEI MAYEK LETTER KOK LONSUM
ABDC	mtmy-meeteimayekletterlailonsum	MEETEI MAYEK LETTER LAI LONSUM
ABDD	mtmy-meeteimayeklettermitlonsum	MEETEI MAYEK LETTER MIT LONSUM
ABDE	mtmy-meeteimayekletterpalonsum	MEETEI MAYEK LETTER PA LONSUM
ABDF	mtmy-meeteimayekletternalonsum	MEETEI MAYEK LETTER NA LONSUM
ABE0	mtmy-meeteimayeklettertillonsum	MEETEI MAYEK LETTER TIL LONSUM
ABE1	mtmy-meeteimayekletterngoulonsum	MEETEI MAYEK LETTER NGOU LONSUM
ABE2	mtmy-meeteimayekletterilonsum	MEETEI MAYEK LETTER I LONSUM
ABE3	mtmy-meeteimayekvowelsignonap	MEETEI MAYEK VOWEL SIGN ONAP
ABE4	mtmy-meeteimayekvowelsigninap	MEETEI MAYEK VOWEL SIGN INAP
ABE5	mtmy-meeteimayekvowelsignanap	MEETEI MAYEK VOWEL SIGN ANAP
ABE6	mtmy-meeteimayekvowelsignyenap	MEETEI MAYEK VOWEL SIGN YENAP
ABE7	mtmy-meeteimayekvowelsignsounap	MEETEI MAYEK VOWEL SIGN SOUNAP
ABE8	mtmy-meeteimayekvowelsignunap	MEETEI MAYEK VOWEL SIGN UNAP
ABE9	mtmy-meeteimayekvowelsigncheinap	MEETEI MAYEK VOWEL SIGN CHEINAP
ABEA	mtmy-meeteimayekvowelsignnung	MEETEI MAYEK VOWEL SIGN NUNG
ABEB	mtmy-meeteimayekcheikhei	MEETEI MAYEK CHEIKHEI
ABEC	mtmy-meeteimayeklumiyek	MEETEI MAYEK LUM IYEK
ABED	mtmy-meeteimayekapuniyek	MEETEI MAYEK APUN IYEK
ABF0	mtmy-meeteimayekdigitzero	MEETEI MAYEK DIGIT ZERO
ABF1	mtmy-meeteimayekdigitone	MEETEI MAYEK DIGIT ONE
ABF2	mtmy-meeteimayekdigittwo	MEETEI MAYEK DIGIT TWO
ABF3	mtmy-meeteimayekdigitthree	MEETEI MAYEK DIGIT THREE
ABF4	mtmy-meeteimayekdigitfour	MEETEI MAYEK DIGIT FOUR
ABF5	mtmy-meeteimayekdigitfive	MEETEI MAYEK DIGIT FIVE
ABF6	mtmy-meeteimayekdigitsix	MEETEI MAYEK DIGIT SIX
ABF7	mtmy-meeteimayekdigitseven	MEETEI MAYEK DIGIT SEVEN
ABF8	mtmy-meeteimayekdigiteight	MEETEI MAYEK DIGIT EIGHT
ABF9	mtmy-meeteimayekdigitnine	MEETEI MAYEK DIGIT NINE
