# Miscellaneous Mathematical Symbols-A 27C0 - 27EF
27C0	threedimensionalangle	THREE DIMENSIONAL ANGLE
27C1	whitetrianglecontainingsmallwhitetriangle	WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE
27C2	misc-perpendicular	PERPENDICULAR
27C3	opensubset	OPEN SUBSET
27C4	opensuperset	OPEN SUPERSET
27C5	leftsshapedbagdelimiter	LEFT S-SHAPED BAG DELIMITER
27C6	rightsshapedbagdelimiter	RIGHT S-SHAPED BAG DELIMITER
27C7	orwithdotinside	OR WITH DOT INSIDE
27C8	reversesolidusprecedingsubset	REVERSE SOLIDUS PRECEDING SUBSET
27C9	supersetprecedingsolidus	SUPERSET PRECEDING SOLIDUS
27CA	verticalbarwithhorizontalstroke	VERTICAL BAR WITH HORIZONTAL STROKE
27CC	longdivision	LONG DIVISION
27D0	whitediamondwithcentreddot	WHITE DIAMOND WITH CENTRED DOT
27D1	andwithdot	AND WITH DOT
27D2	elementofopeningupwards	ELEMENT OF OPENING UPWARDS
27D3	lowerrightcornerwithdot	LOWER RIGHT CORNER WITH DOT
27D4	upperleftcornerwithdot	UPPER LEFT CORNER WITH DOT
27D5	leftouterjoin	LEFT OUTER JOIN
27D6	rightouterjoin	RIGHT OUTER JOIN
27D7	fullouterjoin	FULL OUTER JOIN
27D8	largeuptack	LARGE UP TACK
27D9	largedowntack	LARGE DOWN TACK
27DA	leftandrightdoubleturnstile	LEFT AND RIGHT DOUBLE TURNSTILE
27DB	leftandrighttack	LEFT AND RIGHT TACK
27DC	leftmultimap	LEFT MULTIMAP
27DD	longrighttack	LONG RIGHT TACK
27DE	longlefttack	LONG LEFT TACK
27DF	uptackwithcircleabove	UP TACK WITH CIRCLE ABOVE
27E0	lozengedividedbyhorizontalrule	LOZENGE DIVIDED BY HORIZONTAL RULE
27E1	whiteconcavesideddiamond	WHITE CONCAVE-SIDED DIAMOND
27E2	whiteconcavesideddiamondwithleftwardstick	WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK
27E3	whiteconcavesideddiamondwithrightwardstick	WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK
27E4	whitesquarewithleftwardstick	WHITE SQUARE WITH LEFTWARDS TICK
27E5	whitesquarewithrightwardstick	WHITE SQUARE WITH RIGHTWARDS TICK
27E6	mathematicalleftwhitesquarebracket	MATHEMATICAL LEFT WHITE SQUARE BRACKET
27E7	mathematicalrightwhitesquarebracket	MATHEMATICAL RIGHT WHITE SQUARE BRACKET
27E8	mathematicalleftanglebracket	MATHEMATICAL LEFT ANGLE BRACKET
27E9	mathematicalrightanglebracket	MATHEMATICAL RIGHT ANGLE BRACKET
27EA	mathematicalleftdoubleanglebracket	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
27EB	mathematicalrightdoubleanglebracket	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27EC	mathematicalleftwhitetortoiseshellbracket	MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
27ED	mathematicalrightwhitetortoiseshellbracket	MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
27EE	mathematicalleftflattenedparenthesis	MATHEMATICAL LEFT FLATTENED PARENTHESIS
27EF	mathematicalrightflattenedparenthesis	MATHEMATICAL RIGHT FLATTENED PARENTHESIS
