# Miscellaneous Mathematical Symbols-B 2980 - 29FF
2980	mscl-tripleverticalbardelimiter	TRIPLE VERTICAL BAR DELIMITER
2981	mscl-znotationspot	Z NOTATION SPOT
2982	mscl-znotationtypecolon	Z NOTATION TYPE COLON
2983	mscl-leftwhitecurlybracket	LEFT WHITE CURLY BRACKET
2984	mscl-rightwhitecurlybracket	RIGHT WHITE CURLY BRACKET
2985	mscl-leftwhiteparenthesis	LEFT WHITE PARENTHESIS
2986	mscl-rightwhiteparenthesis	RIGHT WHITE PARENTHESIS
2987	mscl-znotationleftimagebracket	Z NOTATION LEFT IMAGE BRACKET
2988	mscl-znotationrightimagebracket	Z NOTATION RIGHT IMAGE BRACKET
2989	mscl-znotationleftbindingbracket	Z NOTATION LEFT BINDING BRACKET
298A	mscl-znotationrightbindingbracket	Z NOTATION RIGHT BINDING BRACKET
298B	mscl-leftsquarebracketwithunderbar	LEFT SQUARE BRACKET WITH UNDERBAR
298C	mscl-rightsquarebracketwithunderbar	RIGHT SQUARE BRACKET WITH UNDERBAR
298D	mscl-leftsquarebracketwithtickintopcorner	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E	mscl-rightsquarebracketwithtickinbottomcorner	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F	mscl-leftsquarebracketwithtickinbottomcorner	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990	mscl-rightsquarebracketwithtickintopcorner	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991	mscl-leftanglebracketwithdot	LEFT ANGLE BRACKET WITH DOT
2992	mscl-rightanglebracketwithdot	RIGHT ANGLE BRACKET WITH DOT
2993	mscl-leftarclessthanbracket	LEFT ARC LESS-THAN BRACKET
2994	mscl-rightarcgreaterthanbracket	RIGHT ARC GREATER-THAN BRACKET
2995	mscl-doubleleftarcgreaterthanbracket	DOUBLE LEFT ARC GREATER-THAN BRACKET
2996	mscl-doublerightarclessthanbracket	DOUBLE RIGHT ARC LESS-THAN BRACKET
2997	mscl-leftblacktortoiseshellbracket	LEFT BLACK TORTOISE SHELL BRACKET
2998	mscl-rightblacktortoiseshellbracket	RIGHT BLACK TORTOISE SHELL BRACKET
2999	mscl-dottedfence	DOTTED FENCE
299A	mscl-verticalzigzagline	VERTICAL ZIGZAG LINE
299B	mscl-measuredangleopeningleft	MEASURED ANGLE OPENING LEFT
299C	mscl-rightanglevariantwithsquare	RIGHT ANGLE VARIANT WITH SQUARE
299D	mscl-measuredrightanglewithdot	MEASURED RIGHT ANGLE WITH DOT
299E	mscl-anglewithsinside	ANGLE WITH S INSIDE
299F	mscl-acuteangle	ACUTE ANGLE
