# Miscellaneous Symbols 2600 - 26FF
2600	mscl-sunraysblack	BLACK SUN WITH RAYS
2601	mscl-cloud	CLOUD
2602	mscl-umbrella	UMBRELLA
2603	mscl-snowman	SNOWMAN
2604	mscl-comet	COMET
2605	mscl-starblack	BLACK STAR
2606	mscl-starwhite	WHITE STAR
2607	mscl-lightning	LIGHTNING
2608	mscl-thunderstorm	THUNDERSTORM
2609	mscl-sun	SUN
260A	mscl-nodeascending	ASCENDING NODE
260B	mscl-nodedescending	DESCENDING NODE
260C	mscl-conjunction	CONJUNCTION
260D	mscl-opposition	OPPOSITION
260E	mscl-telephoneblack	BLACK TELEPHONE
260F	mscl-telephonewhite	WHITE TELEPHONE
2610	mscl-checkbox	BALLOT BOX
2611	mscl-checkboxchekced	BALLOT BOX WITH CHECK
2612	mscl-checkboxx	BALLOT BOX WITH X
2613	mscl-saltire	SALTIRE
2614	mscl-umbrellaraindrops	UMBRELLA WITH RAIN DROPS
2615	mscl-hotbeverage	HOT BEVERAGE
2616	mscl-shogipiecewhite	WHITE SHOGI PIECE
2617	mscl-shogipieceblack	BLACK SHOGI PIECE
2618	mscl-shamrock	SHAMROCK
2619	mscl-floralheartbulletreversedrotated	REVERSED ROTATED FLORAL HEART BULLET
261A	mscl-pointingindexleftblack	BLACK LEFT POINTING INDEX
261B	mscl-pointingindexrightblack	BLACK RIGHT POINTING INDEX
261C	mscl-pointingindexleftwhite	WHITE LEFT POINTING INDEX
261D	mscl-pointingindexupwhite	WHITE UP POINTING INDEX
261E	mscl-pointingindexrightwhite	WHITE RIGHT POINTING INDEX
261F	mscl-pointingindexdownwhite	WHITE DOWN POINTING INDEX
2620	mscl-skullcrossbones	SKULL AND CROSSBONES
2621	mscl-caution	CAUTION SIGN
2622	mscl-radioactive	RADIOACTIVE SIGN
2623	mscl-biohazard	BIOHAZARD SIGN
2624	mscl-caduceus	CADUCEUS
2625	mscl-ankh	ANKH
2626	mscl-orthodoxcross	ORTHODOX CROSS
2627	mscl-chirho	CHI RHO
2628	mscl-crossoflorraine	CROSS OF LORRAINE
2629	mscl-crossofjerusalem	CROSS OF JERUSALEM
262A	mscl-starcrescent	STAR AND CRESCENT
262B	mscl-farsi	FARSI SYMBOL
262C	mscl-adishakti	ADI SHAKTI
262D	mscl-hammersickle	HAMMER AND SICKLE
262E	mscl-peace	PEACE SYMBOL
262F	mscl-yinyang	YIN YANG
2630	mscl-trigramheaven	TRIGRAM FOR HEAVEN
2631	mscl-trigramlake	TRIGRAM FOR LAKE
2632	mscl-trigramfire	TRIGRAM FOR FIRE
2633	mscl-trigramthunder	TRIGRAM FOR THUNDER
2634	mscl-trigramwind	TRIGRAM FOR WIND
2635	mscl-trigramwater	TRIGRAM FOR WATER
2636	mscl-trigrammountain	TRIGRAM FOR MOUNTAIN
2637	mscl-trigramearth	TRIGRAM FOR EARTH
2638	mscl-wheelofdharma	WHEEL OF DHARMA
2639	mscl-frowningfacewhite	WHITE FROWNING FACE
263A	mscl-smilingfacewhite	WHITE SMILING FACE
263B	mscl-smilingfaceblack	BLACK SMILING FACE
263C	mscl-sunrayswhite	WHITE SUN WITH RAYS
263D	mscl-firstquartermoon	FIRST QUARTER MOON
263E	mscl-lastquartermoon	LAST QUARTER MOON
263F	mscl-mercury	MERCURY
2640	mscl-female	FEMALE SIGN
2641	mscl-earth	EARTH
2642	mscl-male	MALE SIGN
2643	mscl-jiterup	JUPITER
2644	mscl-saturn	SATURN
2645	mscl-uranus	URANUS
2646	mscl-neptune	NEPTUNE
2647	mscl-pluto	PLUTO
2648	mscl-aries	ARIES
2649	mscl-taurus	TAURUS
264A	mscl-gemini	GEMINI
264B	mscl-cancer	CANCER
264C	mscl-leo	LEO
264D	mscl-virgo	VIRGO
264E	mscl-libra	LIBRA
264F	mscl-scorpius	SCORPIUS
2650	mscl-sagittarius	SAGITTARIUS
2651	mscl-capricorn	CAPRICORN
2652	mscl-aquarius	AQUARIUS
2653	mscl-pisces	PISCES
2654	mscl-kingwhite	WHITE CHESS KING
2655	mscl-queenwhite	WHITE CHESS QUEEN
2656	mscl-rookwhite	WHITE CHESS ROOK
2657	mscl-bishopwhite	WHITE CHESS BISHOP
2658	mscl-knightwhite	WHITE CHESS KNIGHT
2659	mscl-pawnwhite	WHITE CHESS PAWN
265A	mscl-kingblack	BLACK CHESS KING
265B	mscl-queenblack	BLACK CHESS QUEEN
265C	mscl-rookblack	BLACK CHESS ROOK
265D	mscl-bishopblack	BLACK CHESS BISHOP
265E	mscl-knightblack	BLACK CHESS KNIGHT
