# Miscellaneous Symbols and Arrows 2B00 - 2BFF
2B00	mscl-northeastwhitearrow	NORTH EAST WHITE ARROW
2B01	mscl-northwestwhitearrow	NORTH WEST WHITE ARROW
2B02	mscl-southeastwhitearrow	SOUTH EAST WHITE ARROW
2B03	mscl-southwestwhitearrow	SOUTH WEST WHITE ARROW
2B04	mscl-leftrightwhitearrow	LEFT RIGHT WHITE ARROW
2B05	mscl-leftwardsblackarrow	LEFTWARDS BLACK ARROW
2B06	mscl-upwardsblackarrow	UPWARDS BLACK ARROW
2B07	mscl-downwardsblackarrow	DOWNWARDS BLACK ARROW
2B08	mscl-northeastblackarrow	NORTH EAST BLACK ARROW
2B09	mscl-northwestblackarrow	NORTH WEST BLACK ARROW
2B0A	mscl-southeastblackarrow	SOUTH EAST BLACK ARROW
2B0B	mscl-southwestblackarrow	SOUTH WEST BLACK ARROW
2B0C	mscl-leftrightblackarrow	LEFT RIGHT BLACK ARROW
2B0D	mscl-updownblackarrow	UP DOWN BLACK ARROW
2B0E	mscl-rightwardsarrowwithtipdownwards	RIGHTWARDS ARROW WITH TIP DOWNWARDS
2B0F	mscl-rightwardsarrowwithtipupwards	RIGHTWARDS ARROW WITH TIP UPWARDS
2B10	mscl-leftwardsarrowwithtipdownwards	LEFTWARDS ARROW WITH TIP DOWNWARDS
2B11	mscl-leftwardsarrowwithtipupwards	LEFTWARDS ARROW WITH TIP UPWARDS
2B12	mscl-squarewithtophalfblack	SQUARE WITH TOP HALF BLACK
2B13	mscl-squarewithbottomhalfblack	SQUARE WITH BOTTOM HALF BLACK
2B14	mscl-squarewithupperrightdiagonalhalfblack	SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK
2B15	mscl-squarewithlowerleftdiagonalhalfblack	SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK
2B16	mscl-diamondwithlefthalfblack	DIAMOND WITH LEFT HALF BLACK
2B17	mscl-diamondwithrighthalfblack	DIAMOND WITH RIGHT HALF BLACK
2B18	mscl-diamondwithtophalfblack	DIAMOND WITH TOP HALF BLACK
2B19	mscl-diamondwithbottomhalfblack	DIAMOND WITH BOTTOM HALF BLACK
2B1A	mscl-dottedsquare	DOTTED SQUARE
2B1B	mscl-blacklargesquare	BLACK LARGE SQUARE
2B1C	mscl-whitelargesquare	WHITE LARGE SQUARE
2B1D	mscl-blackverysmallsquare	BLACK VERY SMALL SQUARE
2B1E	mscl-whiteverysmallsquare	WHITE VERY SMALL SQUARE
2B1F	mscl-blackpentagon	BLACK PENTAGON
2B20	mscl-whitepentagon	WHITE PENTAGON
2B21	mscl-whitehexagon	WHITE HEXAGON
2B22	mscl-blackhexagon	BLACK HEXAGON
2B23	mscl-horizontalblackhexagon	HORIZONTAL BLACK HEXAGON
2B24	mscl-blacklargecircle	BLACK LARGE CIRCLE
2B25	mscl-blackmediumdiamond	BLACK MEDIUM DIAMOND
2B26	mscl-whitemediumdiamond	WHITE MEDIUM DIAMOND
2B27	mscl-blackmediumlozenge	BLACK MEDIUM LOZENGE
2B28	mscl-whitemediumlozenge	WHITE MEDIUM LOZENGE
2B29	mscl-blacksmalldiamond	BLACK SMALL DIAMOND
2B2A	mscl-blacksmalllozenge	BLACK SMALL LOZENGE
2B2B	mscl-whitesmalllozenge	WHITE SMALL LOZENGE
2B2C	mscl-blackhorizontalellipse	BLACK HORIZONTAL ELLIPSE
2B2D	mscl-whitehorizontalellipse	WHITE HORIZONTAL ELLIPSE
2B2E	mscl-blackverticalellipse	BLACK VERTICAL ELLIPSE
2B2F	mscl-whiteverticalellipse	WHITE VERTICAL ELLIPSE
2B30	mscl-leftarrowwithsmallcircle	LEFT ARROW WITH SMALL CIRCLE
2B31	mscl-threeleftwardsarrows	THREE LEFTWARDS ARROWS
2B32	mscl-leftarrowwithcircledplus	LEFT ARROW WITH CIRCLED PLUS
2B33	mscl-longleftwardssquigglearrow	LONG LEFTWARDS SQUIGGLE ARROW
2B34	mscl-leftwardstwoheadedarrowwithverticalstroke	LEFTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE
2B35	mscl-leftwardstwoheadedarrowwithdoubleverticalstroke	LEFTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE
2B36	mscl-leftwardstwoheadedarrowfrombar	LEFTWARDS TWO-HEADED ARROW FROM BAR
2B37	mscl-leftwardstwoheadedtripledasharrow	LEFTWARDS TWO-HEADED TRIPLE DASH ARROW
2B38	mscl-leftwardsarrowwithdottedstem	LEFTWARDS ARROW WITH DOTTED STEM
2B39	mscl-leftwardsarrowwithtailwithverticalstroke	LEFTWARDS ARROW WITH TAIL WITH VERTICAL STROKE
2B3A	mscl-leftwardsarrowwithtailwithdoubleverticalstroke	LEFTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3B	mscl-leftwardstwoheadedarrowwithtail	LEFTWARDS TWO-HEADED ARROW WITH TAIL
2B3C	mscl-leftwardstwoheadedarrowwithtailwithverticalstroke	LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE
2B3D	mscl-leftwardstwoheadedarrowwithtailwithdoubleverticalstroke	LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3E	mscl-leftwardsarrowthroughx	LEFTWARDS ARROW THROUGH X
2B3F	mscl-wavearrowpointingdirectlyleft	WAVE ARROW POINTING DIRECTLY LEFT
2B40	mscl-equalssignaboveleftwardsarrow	EQUALS SIGN ABOVE LEFTWARDS ARROW
2B41	mscl-reversetildeoperatoraboveleftwardsarrow	REVERSE TILDE OPERATOR ABOVE LEFTWARDS ARROW
2B42	mscl-leftwardsarrowabovereversealmostequalto	LEFTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B43	mscl-rightwardsarrowthroughgreaterthan	RIGHTWARDS ARROW THROUGH GREATER-THAN
2B44	mscl-rightwardsarrowthroughsuperset	RIGHTWARDS ARROW THROUGH SUPERSET
2B45	mscl-leftwardsquadruplearrow	LEFTWARDS QUADRUPLE ARROW
2B46	mscl-rightwardsquadruplearrow	RIGHTWARDS QUADRUPLE ARROW
2B47	mscl-reversetildeoperatoraboverightwardsarrow	REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW
2B48	mscl-rightwardsarrowabovereversealmostequalto	RIGHTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B49	mscl-tildeoperatoraboveleftwardsarrow	TILDE OPERATOR ABOVE LEFTWARDS ARROW
2B4A	mscl-leftwardsarrowabovealmostequalto	LEFTWARDS ARROW ABOVE ALMOST EQUAL TO
2B4B	mscl-leftwardsarrowabovereversetildeoperator	LEFTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4C	mscl-rightwardsarrowabovereversetildeoperator	RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B50	mscl-whitemediumstar	WHITE MEDIUM STAR
2B51	mscl-blacksmallstar	BLACK SMALL STAR
2B52	mscl-whitesmallstar	WHITE SMALL STAR
2B53	mscl-blackrightpointingpentagon	BLACK RIGHT-POINTING PENTAGON
2B54	mscl-whiterightpointingpentagon	WHITE RIGHT-POINTING PENTAGON
2B55	mscl-heavylargecircle	HEAVY LARGE CIRCLE
2B56	mscl-heavyovalwithovalinside	HEAVY OVAL WITH OVAL INSIDE
2B57	mscl-heavycirclewithcircleinside	HEAVY CIRCLE WITH CIRCLE INSIDE
2B58	mscl-heavycircle	HEAVY CIRCLE
2B59	mscl-heavycircledsaltire	HEAVY CIRCLED SALTIRE
