# Miscellaneous Technical 2300 - 23FF
2300	diametersign	DIAMETER SIGN
2301	electricarrow	ELECTRIC ARROW
2302	house	HOUSE
2303	uparrowhead	UP ARROWHEAD
2304	downarrowhead	DOWN ARROWHEAD
2305	projective	PROJECTIVE
2306	perspective	PERSPECTIVE
2307	wavyline	WAVY LINE
2308	leftceiling	LEFT CEILING
2309	rightceiling	RIGHT CEILING
230A	leftfloor	LEFT FLOOR
230B	rightfloor	RIGHT FLOOR
230C	bottomrightcrop	BOTTOM RIGHT CROP
230D	bottomleftcrop	BOTTOM LEFT CROP
230E	toprightcrop	TOP RIGHT CROP
230F	topleftcrop	TOP LEFT CROP
2310	revlogicalnot	REVERSED NOT SIGN
2311	squarelozenge	SQUARE LOZENGE
2312	arc	ARC
2313	segment	SEGMENT
2314	sector	SECTOR
2315	telephonerecorder	TELEPHONE RECORDER
2316	positionindicator	POSITION INDICATOR
2317	viewdatasquare	VIEWDATA SQUARE
2318	placeofinterestsign	PLACE OF INTEREST SIGN
2319	turnednotsign	TURNED NOT SIGN
231A	watch	WATCH
231B	hourglass	HOURGLASS
231C	topleftcorner	TOP LEFT CORNER
231D	toprightcorner	TOP RIGHT CORNER
231E	bottomleftcorner	BOTTOM LEFT CORNER
231F	bottomrightcorner	BOTTOM RIGHT CORNER
2320	integraltp	TOP HALF INTEGRAL
2321	integralbt	BOTTOM HALF INTEGRAL
2322	frown	FROWN
2323	smile	SMILE
2324	uparrowheadbetweentwohorizontalbars	UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS
2325	optionkey	OPTION KEY
2326	erasetotheright	ERASE TO THE RIGHT
2327	xinarectanglebox	X IN A RECTANGLE BOX
2328	keyboard	KEYBOARD
2329	angleleft	LEFT-POINTING ANGLE BRACKET
232A	angleright	RIGHT-POINTING ANGLE BRACKET
232B	erasetotheleft	ERASE TO THE LEFT
232C	benzenering	BENZENE RING
232D	cylindricity	CYLINDRICITY
232E	allaroundprofile	ALL AROUND-PROFILE
232F	symmetry	SYMMETRY
2330	totalrunout	TOTAL RUNOUT
2331	dimensionorigin	DIMENSION ORIGIN
2332	conicaltaper	CONICAL TAPER
2333	slope	SLOPE
2334	counterbore	COUNTERBORE
2335	countersink	COUNTERSINK
2336	aplfunctionalsymbolibeam	APL FUNCTIONAL SYMBOL I-BEAM
2337	aplfunctionalsymbolsquishquad	APL FUNCTIONAL SYMBOL SQUISH QUAD
2338	aplfunctionalsymbolquadequal	APL FUNCTIONAL SYMBOL QUAD EQUAL
2339	aplfunctionalsymbolquaddivide	APL FUNCTIONAL SYMBOL QUAD DIVIDE
233A	aplfunctionalsymbolquaddiamond	APL FUNCTIONAL SYMBOL QUAD DIAMOND
233B	aplfunctionalsymbolquadjot	APL FUNCTIONAL SYMBOL QUAD JOT
233C	aplfunctionalsymbolquadcircle	APL FUNCTIONAL SYMBOL QUAD CIRCLE
233D	aplfunctionalsymbolcirclestile	APL FUNCTIONAL SYMBOL CIRCLE STILE
