# Mongolian 1800 - 18AF
1800	BIRGA	MONGOLIAN BIRGA
1801	ELLIPSIS	MONGOLIAN ELLIPSIS
1802	COMMA	MONGOLIAN COMMA
1803	FULLSTOP	MONGOLIAN FULL STOP
1804	COLON	MONGOLIAN COLON
1805	FOURDOTS	MONGOLIAN FOUR DOTS
1806	TODOSOFTHYPHEN	MONGOLIAN TODO SOFT HYPHEN
1807	SIBESYLLABLEBOUNDARYMARKER	MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER
1808	MANCHUCOMMA	MONGOLIAN MANCHU COMMA
1809	MANCHUFULLSTOP	MONGOLIAN MANCHU FULL STOP
180A	NIRUGU	MONGOLIAN NIRUGU
180B	FREEVARIATIONSELECTORONE	MONGOLIAN FREE VARIATION SELECTOR ONE
180C	FREEVARIATIONSELECTORTWO	MONGOLIAN FREE VARIATION SELECTOR TWO
180D	FREEVARIATIONSELECTORTHREE	MONGOLIAN FREE VARIATION SELECTOR THREE
180E	VOWELSEPARATOR	MONGOLIAN VOWEL SEPARATOR
1810	DIGITZERO	MONGOLIAN DIGIT ZERO
1811	DIGITONE	MONGOLIAN DIGIT ONE
1812	DIGITTWO	MONGOLIAN DIGIT TWO
1813	DIGITTHREE	MONGOLIAN DIGIT THREE
1814	DIGITFOUR	MONGOLIAN DIGIT FOUR
1815	DIGITFIVE	MONGOLIAN DIGIT FIVE
1816	DIGITSIX	MONGOLIAN DIGIT SIX
1817	DIGITSEVEN	MONGOLIAN DIGIT SEVEN
1818	DIGITEIGHT	MONGOLIAN DIGIT EIGHT
1819	DIGITNINE	MONGOLIAN DIGIT NINE
1820	A	MONGOLIAN LETTER A
1821	E	MONGOLIAN LETTER E
1822	I	MONGOLIAN LETTER I
1823	O	MONGOLIAN LETTER O
1824	U	MONGOLIAN LETTER U
1825	OE	MONGOLIAN LETTER OE
1826	UE	MONGOLIAN LETTER UE
1827	EE	MONGOLIAN LETTER EE
1828	NA	MONGOLIAN LETTER NA
1829	ANG	MONGOLIAN LETTER ANG
182A	BA	MONGOLIAN LETTER BA
182B	PA	MONGOLIAN LETTER PA
182C	QA	MONGOLIAN LETTER QA
182D	GA	MONGOLIAN LETTER GA
182E	MA	MONGOLIAN LETTER MA
182F	LA	MONGOLIAN LETTER LA
1830	SA	MONGOLIAN LETTER SA
1831	SHA	MONGOLIAN LETTER SHA
1832	TA	MONGOLIAN LETTER TA
1833	DA	MONGOLIAN LETTER DA
1834	CHA	MONGOLIAN LETTER CHA
1835	JA	MONGOLIAN LETTER JA
1836	YA	MONGOLIAN LETTER YA
1837	RA	MONGOLIAN LETTER RA
1838	WA	MONGOLIAN LETTER WA
1839	FA	MONGOLIAN LETTER FA
183A	KA	MONGOLIAN LETTER KA
183B	KHA	MONGOLIAN LETTER KHA
183C	TSA	MONGOLIAN LETTER TSA
183D	ZA	MONGOLIAN LETTER ZA
183E	HAA	MONGOLIAN LETTER HAA
183F	ZRA	MONGOLIAN LETTER ZRA
1840	LHA	MONGOLIAN LETTER LHA
1841	ZHI	MONGOLIAN LETTER ZHI
1842	CHI	MONGOLIAN LETTER CHI
1843	TODOLONGVOWELSIGN	MONGOLIAN LETTER TODO LONG VOWEL SIGN
1844	TODOE	MONGOLIAN LETTER TODO E
1845	TODOI	MONGOLIAN LETTER TODO I
1846	TODOO	MONGOLIAN LETTER TODO O
1847	TODOU	MONGOLIAN LETTER TODO U
1848	TODOOE	MONGOLIAN LETTER TODO OE
1849	TODOUE	MONGOLIAN LETTER TODO UE
184A	TODOANG	MONGOLIAN LETTER TODO ANG
184B	TODOBA	MONGOLIAN LETTER TODO BA
184C	TODOPA	MONGOLIAN LETTER TODO PA
184D	TODOQA	MONGOLIAN LETTER TODO QA
184E	TODOGA	MONGOLIAN LETTER TODO GA
184F	TODOMA	MONGOLIAN LETTER TODO MA
1850	TODOTA	MONGOLIAN LETTER TODO TA
1851	TODODA	MONGOLIAN LETTER TODO DA
1852	TODOCHA	MONGOLIAN LETTER TODO CHA
1853	TODOJA	MONGOLIAN LETTER TODO JA
1854	TODOTSA	MONGOLIAN LETTER TODO TSA
1855	TODOYA	MONGOLIAN LETTER TODO YA
1856	TODOWA	MONGOLIAN LETTER TODO WA
1857	TODOKA	MONGOLIAN LETTER TODO KA
1858	TODOGAA	MONGOLIAN LETTER TODO GAA
1859	TODOHAA	MONGOLIAN LETTER TODO HAA
185A	TODOJIA	MONGOLIAN LETTER TODO JIA
185B	TODONIA	MONGOLIAN LETTER TODO NIA
185C	TODODZA	MONGOLIAN LETTER TODO DZA
185D	SIBEE	MONGOLIAN LETTER SIBE E
185E	SIBEI	MONGOLIAN LETTER SIBE I
185F	SIBEIY	MONGOLIAN LETTER SIBE IY
1860	SIBEUE	MONGOLIAN LETTER SIBE UE
1861	SIBEU	MONGOLIAN LETTER SIBE U
1862	SIBEANG	MONGOLIAN LETTER SIBE ANG
1863	SIBEKA	MONGOLIAN LETTER SIBE KA
1864	SIBEGA	MONGOLIAN LETTER SIBE GA
1865	SIBEHA	MONGOLIAN LETTER SIBE HA
1866	SIBEPA	MONGOLIAN LETTER SIBE PA
1867	SIBESHA	MONGOLIAN LETTER SIBE SHA
1868	SIBETA	MONGOLIAN LETTER SIBE TA
1869	SIBEDA	MONGOLIAN LETTER SIBE DA
186A	SIBEJA	MONGOLIAN LETTER SIBE JA
186B	SIBEFA	MONGOLIAN LETTER SIBE FA
186C	SIBEGAA	MONGOLIAN LETTER SIBE GAA
186D	SIBEHAA	MONGOLIAN LETTER SIBE HAA
186E	SIBETSA	MONGOLIAN LETTER SIBE TSA
186F	SIBEZA	MONGOLIAN LETTER SIBE ZA
1870	SIBERAA	MONGOLIAN LETTER SIBE RAA
1871	SIBECHA	MONGOLIAN LETTER SIBE CHA
1872	SIBEZHA	MONGOLIAN LETTER SIBE ZHA
1873	MANCHUI	MONGOLIAN LETTER MANCHU I
1874	MANCHUKA	MONGOLIAN LETTER MANCHU KA
1875	MANCHURA	MONGOLIAN LETTER MANCHU RA
1876	MANCHUFA	MONGOLIAN LETTER MANCHU FA
1877	MANCHUZHA	MONGOLIAN LETTER MANCHU ZHA
1880	ALIGALIANUSVARAONE	MONGOLIAN LETTER ALI GALI ANUSVARA ONE
1881	ALIGALIVISARGAONE	MONGOLIAN LETTER ALI GALI VISARGA ONE
1882	ALIGALIDAMARU	MONGOLIAN LETTER ALI GALI DAMARU
1883	ALIGALIUBADAMA	MONGOLIAN LETTER ALI GALI UBADAMA
1884	ALIGALIINVERTEDUBADAMA	MONGOLIAN LETTER ALI GALI INVERTED UBADAMA
1885	ALIGALIBALUDA	MONGOLIAN LETTER ALI GALI BALUDA
1886	ALIGALITHREEBALUDA	MONGOLIAN LETTER ALI GALI THREE BALUDA
