# Musical Symbols 1D100 - 1D1FF
1D100	mscl-musicalsymbolsinglebarline	MUSICAL SYMBOL SINGLE BARLINE
1D101	mscl-musicalsymboldoublebarline	MUSICAL SYMBOL DOUBLE BARLINE
1D102	mscl-musicalsymbolfinalbarline	MUSICAL SYMBOL FINAL BARLINE
1D103	mscl-musicalsymbolreversefinalbarline	MUSICAL SYMBOL REVERSE FINAL BARLINE
1D104	mscl-musicalsymboldashedbarline	MUSICAL SYMBOL DASHED BARLINE
1D105	mscl-musicalsymbolshortbarline	MUSICAL SYMBOL SHORT BARLINE
1D106	mscl-musicalsymbolleftrepeatsign	MUSICAL SYMBOL LEFT REPEAT SIGN
1D107	mscl-musicalsymbolrightrepeatsign	MUSICAL SYMBOL RIGHT REPEAT SIGN
1D108	mscl-musicalsymbolrepeatdots	MUSICAL SYMBOL REPEAT DOTS
1D109	mscl-musicalsymboldalsegno	MUSICAL SYMBOL DAL SEGNO
1D10A	mscl-musicalsymboldacapo	MUSICAL SYMBOL DA CAPO
1D10B	mscl-musicalsymbolsegno	MUSICAL SYMBOL SEGNO
1D10C	mscl-musicalsymbolcoda	MUSICAL SYMBOL CODA
1D10D	mscl-musicalsymbolrepeatedfigure1	MUSICAL SYMBOL REPEATED FIGURE-1
1D10E	mscl-musicalsymbolrepeatedfigure2	MUSICAL SYMBOL REPEATED FIGURE-2
1D10F	mscl-musicalsymbolrepeatedfigure3	MUSICAL SYMBOL REPEATED FIGURE-3
1D110	mscl-musicalsymbolfermata	MUSICAL SYMBOL FERMATA
1D111	mscl-musicalsymbolfermatabelow	MUSICAL SYMBOL FERMATA BELOW
1D112	mscl-musicalsymbolbreathmark	MUSICAL SYMBOL BREATH MARK
1D113	mscl-musicalsymbolcaesura	MUSICAL SYMBOL CAESURA
1D114	mscl-musicalsymbolbrace	MUSICAL SYMBOL BRACE
1D115	mscl-musicalsymbolbracket	MUSICAL SYMBOL BRACKET
