# Myanmar 1000 - 109F
1000	mynm-myanmarletterka	MYANMAR LETTER KA
1001	mynm-myanmarletterkha	MYANMAR LETTER KHA
1002	mynm-myanmarletterga	MYANMAR LETTER GA
1003	mynm-myanmarlettergha	MYANMAR LETTER GHA
1004	mynm-myanmarletternga	MYANMAR LETTER NGA
1005	mynm-myanmarletterca	MYANMAR LETTER CA
1006	mynm-myanmarlettercha	MYANMAR LETTER CHA
1007	mynm-myanmarletterja	MYANMAR LETTER JA
1008	mynm-myanmarletterjha	MYANMAR LETTER JHA
1009	mynm-myanmarletternya	MYANMAR LETTER NYA
100A	mynm-myanmarletternnya	MYANMAR LETTER NNYA
100B	mynm-myanmarlettertta	MYANMAR LETTER TTA
100C	mynm-myanmarletterttha	MYANMAR LETTER TTHA
100D	mynm-myanmarletterdda	MYANMAR LETTER DDA
100E	mynm-myanmarletterddha	MYANMAR LETTER DDHA
100F	mynm-myanmarletternna	MYANMAR LETTER NNA
1010	mynm-myanmarletterta	MYANMAR LETTER TA
1011	mynm-myanmarlettertha	MYANMAR LETTER THA
1012	mynm-myanmarletterda	MYANMAR LETTER DA
1013	mynm-myanmarletterdha	MYANMAR LETTER DHA
1014	mynm-myanmarletterna	MYANMAR LETTER NA
1015	mynm-myanmarletterpa	MYANMAR LETTER PA
1016	mynm-myanmarletterpha	MYANMAR LETTER PHA
1017	mynm-myanmarletterba	MYANMAR LETTER BA
1018	mynm-myanmarletterbha	MYANMAR LETTER BHA
1019	mynm-myanmarletterma	MYANMAR LETTER MA
101A	mynm-myanmarletterya	MYANMAR LETTER YA
101B	mynm-myanmarletterra	MYANMAR LETTER RA
101C	mynm-myanmarletterla	MYANMAR LETTER LA
101D	mynm-myanmarletterwa	MYANMAR LETTER WA
101E	mynm-myanmarlettersa	MYANMAR LETTER SA
101F	mynm-myanmarletterha	MYANMAR LETTER HA
1020	mynm-myanmarletterlla	MYANMAR LETTER LLA
1021	mynm-myanmarlettera	MYANMAR LETTER A
1022	mynm-myanmarlettershana	MYANMAR LETTER SHAN A
1023	mynm-myanmarletteri	MYANMAR LETTER I
1024	mynm-myanmarletterii	MYANMAR LETTER II
1025	mynm-myanmarletteru	MYANMAR LETTER U
1026	mynm-myanmarletteruu	MYANMAR LETTER UU
1027	mynm-myanmarlettere	MYANMAR LETTER E
1028	mynm-myanmarlettermone	MYANMAR LETTER MON E
1029	mynm-myanmarlettero	MYANMAR LETTER O
102A	mynm-myanmarletterau	MYANMAR LETTER AU
102B	mynm-myanmarvowelsigntallaa	MYANMAR VOWEL SIGN TALL AA
102C	mynm-myanmarvowelsignaa	MYANMAR VOWEL SIGN AA
102D	mynm-myanmarvowelsigni	MYANMAR VOWEL SIGN I
