# NKo 07C0 - 07FF
07C0	nk-nkodigitzero	NKO DIGIT ZERO
07C1	nk-nkodigitone	NKO DIGIT ONE
07C2	nk-nkodigittwo	NKO DIGIT TWO
07C3	nk-nkodigitthree	NKO DIGIT THREE
07C4	nk-nkodigitfour	NKO DIGIT FOUR
07C5	nk-nkodigitfive	NKO DIGIT FIVE
07C6	nk-nkodigitsix	NKO DIGIT SIX
07C7	nk-nkodigitseven	NKO DIGIT SEVEN
07C8	nk-nkodigiteight	NKO DIGIT EIGHT
07C9	nk-nkodigitnine	NKO DIGIT NINE
07CA	nk-nkolettera	NKO LETTER A
07CB	nk-nkoletteree	NKO LETTER EE
07CC	nk-nkoletteri	NKO LETTER I
07CD	nk-nkolettere	NKO LETTER E
07CE	nk-nkoletteru	NKO LETTER U
07CF	nk-nkoletteroo	NKO LETTER OO
07D0	nk-nkolettero	NKO LETTER O
07D1	nk-nkoletterdagbasinna	NKO LETTER DAGBASINNA
07D2	nk-nkolettern	NKO LETTER N
07D3	nk-nkoletterba	NKO LETTER BA
07D4	nk-nkoletterpa	NKO LETTER PA
07D5	nk-nkoletterta	NKO LETTER TA
07D6	nk-nkoletterja	NKO LETTER JA
07D7	nk-nkolettercha	NKO LETTER CHA
07D8	nk-nkoletterda	NKO LETTER DA
07D9	nk-nkoletterra	NKO LETTER RA
07DA	nk-nkoletterrra	NKO LETTER RRA
07DB	nk-nkolettersa	NKO LETTER SA
07DC	nk-nkolettergba	NKO LETTER GBA
07DD	nk-nkoletterfa	NKO LETTER FA
07DE	nk-nkoletterka	NKO LETTER KA
07DF	nk-nkoletterla	NKO LETTER LA
07E0	nk-nkoletternawoloso	NKO LETTER NA WOLOSO
07E1	nk-nkoletterma	NKO LETTER MA
07E2	nk-nkoletternya	NKO LETTER NYA
07E3	nk-nkoletterna	NKO LETTER NA
07E4	nk-nkoletterha	NKO LETTER HA
07E5	nk-nkoletterwa	NKO LETTER WA
07E6	nk-nkoletterya	NKO LETTER YA
07E7	nk-nkoletternyawoloso	NKO LETTER NYA WOLOSO
07E8	nk-nkoletterjonaja	NKO LETTER JONA JA
07E9	nk-nkoletterjonacha	NKO LETTER JONA CHA
07EA	nk-nkoletterjonara	NKO LETTER JONA RA
07EB	nk-nkocombiningshorthightone	NKO COMBINING SHORT HIGH TONE
07EC	nk-nkocombiningshortlowtone	NKO COMBINING SHORT LOW TONE
07ED	nk-nkocombiningshortrisingtone	NKO COMBINING SHORT RISING TONE
07EE	nk-nkocombininglongdescendingtone	NKO COMBINING LONG DESCENDING TONE
07EF	nk-nkocombininglonghightone	NKO COMBINING LONG HIGH TONE
07F0	nk-nkocombininglonglowtone	NKO COMBINING LONG LOW TONE
07F1	nk-nkocombininglongrisingtone	NKO COMBINING LONG RISING TONE
07F2	nk-nkocombiningnasalizationmark	NKO COMBINING NASALIZATION MARK
07F3	nk-nkocombiningdoubledotabove	NKO COMBINING DOUBLE DOT ABOVE
07F4	nk-nkohightoneapostrophe	NKO HIGH TONE APOSTROPHE
07F5	nk-nkolowtoneapostrophe	NKO LOW TONE APOSTROPHE
07F6	nk-nkosymboloodennen	NKO SYMBOL OO DENNEN
07F7	nk-nkosymbolgbakurunen	NKO SYMBOL GBAKURUNEN
07F8	nk-nkocomma	NKO COMMA
07F9	nk-nkoexclamationmark	NKO EXCLAMATION MARK
07FA	nk-nkolajanyalan	NKO LAJANYALAN
