# Number Forms 2150 - 218F
2150	nmbr-oneseventh	VULGAR FRACTION ONE SEVENTH
2151	nmbr-oneninth	VULGAR FRACTION ONE NINTH
2152	nmbr-onetenth	VULGAR FRACTION ONE TENTH
2153	nmbr-onethird	VULGAR FRACTION ONE THIRD
2154	nmbr-twothirds	VULGAR FRACTION TWO THIRDS
2155	nmbr-onefifth	VULGAR FRACTION ONE FIFTH
2156	nmbr-twofifths	VULGAR FRACTION TWO FIFTHS
2157	nmbr-threefifths	VULGAR FRACTION THREE FIFTHS
2158	nmbr-fourfifths	VULGAR FRACTION FOUR FIFTHS
2159	nmbr-onesixth	VULGAR FRACTION ONE SIXTH
215A	nmbr-fivesixths	VULGAR FRACTION FIVE SIXTHS
215B	nmbr-oneeighth	VULGAR FRACTION ONE EIGHTH
215C	nmbr-threeeighths	VULGAR FRACTION THREE EIGHTHS
215D	nmbr-fiveeighths	VULGAR FRACTION FIVE EIGHTHS
215E	nmbr-seveneighths	VULGAR FRACTION SEVEN EIGHTHS
215F	nmbr-onefraction	FRACTION NUMERATOR ONE
2160	nmbr-one.roman	ROMAN NUMERAL ONE
2161	nmbr-two.roman	ROMAN NUMERAL TWO
2162	nmbr-three.roman	ROMAN NUMERAL THREE
2163	nmbr-four.roman	ROMAN NUMERAL FOUR
2164	nmbr-five.roman	ROMAN NUMERAL FIVE
2165	nmbr-six.roman	ROMAN NUMERAL SIX
2166	nmbr-seven.roman	ROMAN NUMERAL SEVEN
2167	nmbr-eight.roman	ROMAN NUMERAL EIGHT
2168	nmbr-nine.roman	ROMAN NUMERAL NINE
2169	nmbr-ten.roman	ROMAN NUMERAL TEN
216A	nmbr-eleven.roman	ROMAN NUMERAL ELEVEN
216B	nmbr-twelve.roman	ROMAN NUMERAL TWELVE
216C	nmbr-fifty.roman	ROMAN NUMERAL FIFTY
216D	nmbr-onehundred.roman	ROMAN NUMERAL ONE HUNDRED
216E	nmbr-fivehundred.roman	ROMAN NUMERAL FIVE HUNDRED
216F	nmbr-onethousand.roman	ROMAN NUMERAL ONE THOUSAND
2170	nmbr-one.romansmall	SMALL ROMAN NUMERAL ONE
2171	nmbr-two.romansmall	SMALL ROMAN NUMERAL TWO
2172	nmbr-three.romansmall	SMALL ROMAN NUMERAL THREE
2173	nmbr-four.romansmall	SMALL ROMAN NUMERAL FOUR
2174	nmbr-five.romansmall	SMALL ROMAN NUMERAL FIVE
2175	nmbr-six.romansmall	SMALL ROMAN NUMERAL SIX
2176	nmbr-seven.romansmall	SMALL ROMAN NUMERAL SEVEN
2177	nmbr-eight.romansmall	SMALL ROMAN NUMERAL EIGHT
2178	nmbr-nine.romansmall	SMALL ROMAN NUMERAL NINE
2179	nmbr-ten.romansmall	SMALL ROMAN NUMERAL TEN
217A	nmbr-eleven.romansmall	SMALL ROMAN NUMERAL ELEVEN
217B	nmbr-twelve.romansmall	SMALL ROMAN NUMERAL TWELVE
217C	nmbr-fifty.romansmall	SMALL ROMAN NUMERAL FIFTY
217D	nmbr-onehundred.romansmall	SMALL ROMAN NUMERAL ONE HUNDRED
217E	nmbr-fivehundred.romansmall	SMALL ROMAN NUMERAL FIVE HUNDRED
217F	nmbr-onethousand.romansmall	SMALL ROMAN NUMERAL ONE THOUSAND
2180	nmbr-onethousandcd.roman	ROMAN NUMERAL ONE THOUSAND C D
2181	nmbr-fivethousand.roman	ROMAN NUMERAL FIVE THOUSAND
2182	nmbr-tenthousand.roman	ROMAN NUMERAL TEN THOUSAND
2183	nmbr-reversedonehundred.roman	ROMAN NUMERAL REVERSED ONE HUNDRED
2184	nmbr-creversed	LATIN SMALL LETTER REVERSED C
2185	nmbr-sixlateform.roman	ROMAN NUMERAL SIX LATE FORM
2186	nmbr-fiftyearlyform.roman	ROMAN NUMERAL FIFTY EARLY FORM
2187	nmbr-fiftythousand.roman	ROMAN NUMERAL FIFTY THOUSAND
2188	nmbr-onehundredthousand.roman	ROMAN NUMERAL ONE HUNDRED THOUSAND
2189	nmbr-zerothirds	VULGAR FRACTION ZERO THIRDS
