# Ogham 1680 - 169F
1680	ghm-oghamspacemark	OGHAM SPACE MARK
1681	ghm-oghamletterbeith	OGHAM LETTER BEITH
1682	ghm-oghamletterluis	OGHAM LETTER LUIS
1683	ghm-oghamletterfearn	OGHAM LETTER FEARN
1684	ghm-oghamlettersail	OGHAM LETTER SAIL
1685	ghm-oghamletternion	OGHAM LETTER NION
1686	ghm-oghamletteruath	OGHAM LETTER UATH
1687	ghm-oghamletterdair	OGHAM LETTER DAIR
1688	ghm-oghamlettertinne	OGHAM LETTER TINNE
1689	ghm-oghamlettercoll	OGHAM LETTER COLL
168A	ghm-oghamletterceirt	OGHAM LETTER CEIRT
168B	ghm-oghamlettermuin	OGHAM LETTER MUIN
168C	ghm-oghamlettergort	OGHAM LETTER GORT
168D	ghm-oghamletterngeadal	OGHAM LETTER NGEADAL
168E	ghm-oghamletterstraif	OGHAM LETTER STRAIF
168F	ghm-oghamletterruis	OGHAM LETTER RUIS
1690	ghm-oghamletterailm	OGHAM LETTER AILM
1691	ghm-oghamletteronn	OGHAM LETTER ONN
1692	ghm-oghamletterur	OGHAM LETTER UR
1693	ghm-oghamlettereadhadh	OGHAM LETTER EADHADH
1694	ghm-oghamletteriodhadh	OGHAM LETTER IODHADH
1695	ghm-oghamlettereabhadh	OGHAM LETTER EABHADH
1696	ghm-oghamletteror	OGHAM LETTER OR
1697	ghm-oghamletteruilleann	OGHAM LETTER UILLEANN
1698	ghm-oghamletterifin	OGHAM LETTER IFIN
1699	ghm-oghamlettereamhancholl	OGHAM LETTER EAMHANCHOLL
169A	ghm-oghamletterpeith	OGHAM LETTER PEITH
169B	ghm-oghamfeathermark	OGHAM FEATHER MARK
169C	ghm-oghamreversedfeathermark	OGHAM REVERSED FEATHER MARK
