# Ol Chiki 1C50 - 1C7F
1C50	lchk-olchikidigitzero	OL CHIKI DIGIT ZERO
1C51	lchk-olchikidigitone	OL CHIKI DIGIT ONE
1C52	lchk-olchikidigittwo	OL CHIKI DIGIT TWO
1C53	lchk-olchikidigitthree	OL CHIKI DIGIT THREE
1C54	lchk-olchikidigitfour	OL CHIKI DIGIT FOUR
1C55	lchk-olchikidigitfive	OL CHIKI DIGIT FIVE
1C56	lchk-olchikidigitsix	OL CHIKI DIGIT SIX
1C57	lchk-olchikidigitseven	OL CHIKI DIGIT SEVEN
1C58	lchk-olchikidigiteight	OL CHIKI DIGIT EIGHT
1C59	lchk-olchikidigitnine	OL CHIKI DIGIT NINE
1C5A	lchk-olchikiletterla	OL CHIKI LETTER LA
1C5B	lchk-olchikiletterat	OL CHIKI LETTER AT
1C5C	lchk-olchikiletterag	OL CHIKI LETTER AG
1C5D	lchk-olchikiletterang	OL CHIKI LETTER ANG
1C5E	lchk-olchikiletteral	OL CHIKI LETTER AL
1C5F	lchk-olchikiletterlaa	OL CHIKI LETTER LAA
1C60	lchk-olchikiletteraak	OL CHIKI LETTER AAK
1C61	lchk-olchikiletteraaj	OL CHIKI LETTER AAJ
1C62	lchk-olchikiletteraam	OL CHIKI LETTER AAM
1C63	lchk-olchikiletteraaw	OL CHIKI LETTER AAW
1C64	lchk-olchikiletterli	OL CHIKI LETTER LI
1C65	lchk-olchikiletteris	OL CHIKI LETTER IS
1C66	lchk-olchikiletterih	OL CHIKI LETTER IH
1C67	lchk-olchikiletteriny	OL CHIKI LETTER INY
1C68	lchk-olchikiletterir	OL CHIKI LETTER IR
1C69	lchk-olchikiletterlu	OL CHIKI LETTER LU
1C6A	lchk-olchikiletteruc	OL CHIKI LETTER UC
1C6B	lchk-olchikiletterud	OL CHIKI LETTER UD
1C6C	lchk-olchikiletterunn	OL CHIKI LETTER UNN
1C6D	lchk-olchikiletteruy	OL CHIKI LETTER UY
1C6E	lchk-olchikiletterle	OL CHIKI LETTER LE
1C6F	lchk-olchikiletterep	OL CHIKI LETTER EP
1C70	lchk-olchikiletteredd	OL CHIKI LETTER EDD
1C71	lchk-olchikiletteren	OL CHIKI LETTER EN
1C72	lchk-olchikilettererr	OL CHIKI LETTER ERR
1C73	lchk-olchikiletterlo	OL CHIKI LETTER LO
1C74	lchk-olchikiletterott	OL CHIKI LETTER OTT
1C75	lchk-olchikiletterob	OL CHIKI LETTER OB
1C76	lchk-olchikiletterov	OL CHIKI LETTER OV
1C77	lchk-olchikiletteroh	OL CHIKI LETTER OH
1C78	lchk-olchikimuttuddag	OL CHIKI MU TTUDDAG
1C79	lchk-olchikigaahlaattuddaag	OL CHIKI GAAHLAA TTUDDAAG
1C7A	lchk-olchikimugaahlaattuddaag	OL CHIKI MU-GAAHLAA TTUDDAAG
1C7B	lchk-olchikirelaa	OL CHIKI RELAA
1C7C	lchk-olchikiphaarkaa	OL CHIKI PHAARKAA
1C7D	lchk-olchikiahad	OL CHIKI AHAD
1C7E	lchk-olchikipunctuationmucaad	OL CHIKI PUNCTUATION MUCAAD
1C7F	lchk-olchikipunctuationdoublemucaad	OL CHIKI PUNCTUATION DOUBLE MUCAAD
