# Old Italic 10300 - 1032F
10300	ldtl-olditaliclettera	OLD ITALIC LETTER A
10301	ldtl-olditalicletterbe	OLD ITALIC LETTER BE
10302	ldtl-olditalicletterke	OLD ITALIC LETTER KE
10303	ldtl-olditalicletterde	OLD ITALIC LETTER DE
10304	ldtl-olditaliclettere	OLD ITALIC LETTER E
10305	ldtl-olditalicletterve	OLD ITALIC LETTER VE
10306	ldtl-olditalicletterze	OLD ITALIC LETTER ZE
10307	ldtl-olditalicletterhe	OLD ITALIC LETTER HE
10308	ldtl-olditalicletterthe	OLD ITALIC LETTER THE
10309	ldtl-olditalicletteri	OLD ITALIC LETTER I
1030A	ldtl-olditalicletterka	OLD ITALIC LETTER KA
1030B	ldtl-olditalicletterel	OLD ITALIC LETTER EL
1030C	ldtl-olditalicletterem	OLD ITALIC LETTER EM
1030D	ldtl-olditalicletteren	OLD ITALIC LETTER EN
1030E	ldtl-olditalicletteresh	OLD ITALIC LETTER ESH
1030F	ldtl-olditaliclettero	OLD ITALIC LETTER O
10310	ldtl-olditalicletterpe	OLD ITALIC LETTER PE
10311	ldtl-olditaliclettershe	OLD ITALIC LETTER SHE
10312	ldtl-olditalicletterku	OLD ITALIC LETTER KU
10313	ldtl-olditalicletterer	OLD ITALIC LETTER ER
10314	ldtl-olditalicletteres	OLD ITALIC LETTER ES
10315	ldtl-olditalicletterte	OLD ITALIC LETTER TE
10316	ldtl-olditalicletteru	OLD ITALIC LETTER U
10317	ldtl-olditaliclettereks	OLD ITALIC LETTER EKS
10318	ldtl-olditalicletterphe	OLD ITALIC LETTER PHE
10319	ldtl-olditalicletterkhe	OLD ITALIC LETTER KHE
1031A	ldtl-olditalicletteref	OLD ITALIC LETTER EF
1031B	ldtl-olditalicletterers	OLD ITALIC LETTER ERS
1031C	ldtl-olditalicletterche	OLD ITALIC LETTER CHE
1031D	ldtl-olditalicletterii	OLD ITALIC LETTER II
1031E	ldtl-olditalicletteruu	OLD ITALIC LETTER UU
10320	ldtl-olditalicnumeralone	OLD ITALIC NUMERAL ONE
10321	ldtl-olditalicnumeralfive	OLD ITALIC NUMERAL FIVE
10322	ldtl-olditalicnumeralten	OLD ITALIC NUMERAL TEN
10323	ldtl-olditalicnumeralfifty	OLD ITALIC NUMERAL FIFTY
