# Old Persian 103A0 - 103DF
103A0	ldpr-oldpersiansigna	OLD PERSIAN SIGN A
103A1	ldpr-oldpersiansigni	OLD PERSIAN SIGN I
103A2	ldpr-oldpersiansignu	OLD PERSIAN SIGN U
103A3	ldpr-oldpersiansignka	OLD PERSIAN SIGN KA
103A4	ldpr-oldpersiansignku	OLD PERSIAN SIGN KU
103A5	ldpr-oldpersiansignga	OLD PERSIAN SIGN GA
103A6	ldpr-oldpersiansigngu	OLD PERSIAN SIGN GU
103A7	ldpr-oldpersiansignxa	OLD PERSIAN SIGN XA
103A8	ldpr-oldpersiansignca	OLD PERSIAN SIGN CA
103A9	ldpr-oldpersiansignja	OLD PERSIAN SIGN JA
103AA	ldpr-oldpersiansignji	OLD PERSIAN SIGN JI
103AB	ldpr-oldpersiansignta	OLD PERSIAN SIGN TA
103AC	ldpr-oldpersiansigntu	OLD PERSIAN SIGN TU
103AD	ldpr-oldpersiansignda	OLD PERSIAN SIGN DA
103AE	ldpr-oldpersiansigndi	OLD PERSIAN SIGN DI
103AF	ldpr-oldpersiansigndu	OLD PERSIAN SIGN DU
103B0	ldpr-oldpersiansigntha	OLD PERSIAN SIGN THA
103B1	ldpr-oldpersiansignpa	OLD PERSIAN SIGN PA
103B2	ldpr-oldpersiansignba	OLD PERSIAN SIGN BA
103B3	ldpr-oldpersiansignfa	OLD PERSIAN SIGN FA
103B4	ldpr-oldpersiansignna	OLD PERSIAN SIGN NA
103B5	ldpr-oldpersiansignnu	OLD PERSIAN SIGN NU
103B6	ldpr-oldpersiansignma	OLD PERSIAN SIGN MA
103B7	ldpr-oldpersiansignmi	OLD PERSIAN SIGN MI
103B8	ldpr-oldpersiansignmu	OLD PERSIAN SIGN MU
103B9	ldpr-oldpersiansignya	OLD PERSIAN SIGN YA
103BA	ldpr-oldpersiansignva	OLD PERSIAN SIGN VA
103BB	ldpr-oldpersiansignvi	OLD PERSIAN SIGN VI
103BC	ldpr-oldpersiansignra	OLD PERSIAN SIGN RA
103BD	ldpr-oldpersiansignru	OLD PERSIAN SIGN RU
103BE	ldpr-oldpersiansignla	OLD PERSIAN SIGN LA
103BF	ldpr-oldpersiansignsa	OLD PERSIAN SIGN SA
103C0	ldpr-oldpersiansignza	OLD PERSIAN SIGN ZA
103C1	ldpr-oldpersiansignsha	OLD PERSIAN SIGN SHA
103C2	ldpr-oldpersiansignssa	OLD PERSIAN SIGN SSA
103C3	ldpr-oldpersiansignha	OLD PERSIAN SIGN HA
103C8	ldpr-oldpersiansignauramazdaa	OLD PERSIAN SIGN AURAMAZDAA
103C9	ldpr-oldpersiansignauramazdaa2	OLD PERSIAN SIGN AURAMAZDAA-2
103CA	ldpr-oldpersiansignauramazdaaha	OLD PERSIAN SIGN AURAMAZDAAHA
103CB	ldpr-oldpersiansignxshaayathiya	OLD PERSIAN SIGN XSHAAYATHIYA
103CC	ldpr-oldpersiansigndahyaaush	OLD PERSIAN SIGN DAHYAAUSH
103CD	ldpr-oldpersiansigndahyaaush2	OLD PERSIAN SIGN DAHYAAUSH-2
103CE	ldpr-oldpersiansignbaga	OLD PERSIAN SIGN BAGA
103CF	ldpr-oldpersiansignbuumish	OLD PERSIAN SIGN BUUMISH
103D0	ldpr-oldpersianworddivider	OLD PERSIAN WORD DIVIDER
103D1	ldpr-oldpersiannumberone	OLD PERSIAN NUMBER ONE
103D2	ldpr-oldpersiannumbertwo	OLD PERSIAN NUMBER TWO
103D3	ldpr-oldpersiannumberten	OLD PERSIAN NUMBER TEN
103D4	ldpr-oldpersiannumbertwenty	OLD PERSIAN NUMBER TWENTY
103D5	ldpr-oldpersiannumberhundred	OLD PERSIAN NUMBER HUNDRED
