# Oriya 0B00 - 0B7F
0B01	ry-oriyasigncandrabindu	ORIYA SIGN CANDRABINDU
0B02	ry-oriyasignanusvara	ORIYA SIGN ANUSVARA
0B03	ry-oriyasignvisarga	ORIYA SIGN VISARGA
0B05	ry-oriyalettera	ORIYA LETTER A
0B06	ry-oriyaletteraa	ORIYA LETTER AA
0B07	ry-oriyaletteri	ORIYA LETTER I
0B08	ry-oriyaletterii	ORIYA LETTER II
0B09	ry-oriyaletteru	ORIYA LETTER U
0B0A	ry-oriyaletteruu	ORIYA LETTER UU
0B0B	ry-oriyalettervocalicr	ORIYA LETTER VOCALIC R
0B0C	ry-oriyalettervocalicl	ORIYA LETTER VOCALIC L
0B0F	ry-oriyalettere	ORIYA LETTER E
0B10	ry-oriyaletterai	ORIYA LETTER AI
0B13	ry-oriyalettero	ORIYA LETTER O
0B14	ry-oriyaletterau	ORIYA LETTER AU
0B15	ry-oriyaletterka	ORIYA LETTER KA
0B16	ry-oriyaletterkha	ORIYA LETTER KHA
0B17	ry-oriyaletterga	ORIYA LETTER GA
0B18	ry-oriyalettergha	ORIYA LETTER GHA
0B19	ry-oriyaletternga	ORIYA LETTER NGA
0B1A	ry-oriyaletterca	ORIYA LETTER CA
0B1B	ry-oriyalettercha	ORIYA LETTER CHA
0B1C	ry-oriyaletterja	ORIYA LETTER JA
0B1D	ry-oriyaletterjha	ORIYA LETTER JHA
0B1E	ry-oriyaletternya	ORIYA LETTER NYA
0B1F	ry-oriyalettertta	ORIYA LETTER TTA
0B20	ry-oriyaletterttha	ORIYA LETTER TTHA
0B21	ry-oriyaletterdda	ORIYA LETTER DDA
0B22	ry-oriyaletterddha	ORIYA LETTER DDHA
0B23	ry-oriyaletternna	ORIYA LETTER NNA
0B24	ry-oriyaletterta	ORIYA LETTER TA
0B25	ry-oriyalettertha	ORIYA LETTER THA
0B26	ry-oriyaletterda	ORIYA LETTER DA
0B27	ry-oriyaletterdha	ORIYA LETTER DHA
0B28	ry-oriyaletterna	ORIYA LETTER NA
0B2A	ry-oriyaletterpa	ORIYA LETTER PA
0B2B	ry-oriyaletterpha	ORIYA LETTER PHA
0B2C	ry-oriyaletterba	ORIYA LETTER BA
0B2D	ry-oriyaletterbha	ORIYA LETTER BHA
0B2E	ry-oriyaletterma	ORIYA LETTER MA
0B2F	ry-oriyaletterya	ORIYA LETTER YA
0B30	ry-oriyaletterra	ORIYA LETTER RA
0B32	ry-oriyaletterla	ORIYA LETTER LA
0B33	ry-oriyaletterlla	ORIYA LETTER LLA
0B35	ry-oriyaletterva	ORIYA LETTER VA
0B36	ry-oriyalettersha	ORIYA LETTER SHA
0B37	ry-oriyaletterssa	ORIYA LETTER SSA
0B38	ry-oriyalettersa	ORIYA LETTER SA
0B39	ry-oriyaletterha	ORIYA LETTER HA
0B3C	ry-oriyasignnukta	ORIYA SIGN NUKTA
0B3D	ry-oriyasignavagraha	ORIYA SIGN AVAGRAHA
0B3E	ry-oriyavowelsignaa	ORIYA VOWEL SIGN AA
0B3F	ry-oriyavowelsigni	ORIYA VOWEL SIGN I
0B40	ry-oriyavowelsignii	ORIYA VOWEL SIGN II
0B41	ry-oriyavowelsignu	ORIYA VOWEL SIGN U
0B42	ry-oriyavowelsignuu	ORIYA VOWEL SIGN UU
0B43	ry-oriyavowelsignvocalicr	ORIYA VOWEL SIGN VOCALIC R
0B44	ry-oriyavowelsignvocalicrr	ORIYA VOWEL SIGN VOCALIC RR
0B47	ry-oriyavowelsigne	ORIYA VOWEL SIGN E
0B48	ry-oriyavowelsignai	ORIYA VOWEL SIGN AI
0B4B	ry-oriyavowelsigno	ORIYA VOWEL SIGN O
0B4C	ry-oriyavowelsignau	ORIYA VOWEL SIGN AU
0B4D	ry-oriyasignvirama	ORIYA SIGN VIRAMA
0B56	ry-oriyaailengthmark	ORIYA AI LENGTH MARK
0B57	ry-oriyaaulengthmark	ORIYA AU LENGTH MARK
0B5C	ry-oriyaletterrra	ORIYA LETTER RRA
0B5D	ry-oriyaletterrha	ORIYA LETTER RHA
0B5F	ry-oriyaletteryya	ORIYA LETTER YYA
0B60	ry-oriyalettervocalicrr	ORIYA LETTER VOCALIC RR
0B61	ry-oriyalettervocalicll	ORIYA LETTER VOCALIC LL
0B62	ry-oriyavowelsignvocalicl	ORIYA VOWEL SIGN VOCALIC L
0B63	ry-oriyavowelsignvocalicll	ORIYA VOWEL SIGN VOCALIC LL
0B66	ry-oriyadigitzero	ORIYA DIGIT ZERO
0B67	ry-oriyadigitone	ORIYA DIGIT ONE
0B68	ry-oriyadigittwo	ORIYA DIGIT TWO
0B69	ry-oriyadigitthree	ORIYA DIGIT THREE
0B6A	ry-oriyadigitfour	ORIYA DIGIT FOUR
0B6B	ry-oriyadigitfive	ORIYA DIGIT FIVE
0B6C	ry-oriyadigitsix	ORIYA DIGIT SIX
0B6D	ry-oriyadigitseven	ORIYA DIGIT SEVEN
0B6E	ry-oriyadigiteight	ORIYA DIGIT EIGHT
0B6F	ry-oriyadigitnine	ORIYA DIGIT NINE
0B70	ry-oriyaisshar	ORIYA ISSHAR
0B71	ry-oriyaletterwa	ORIYA LETTER WA
