# Osmanya 10480 - 104AF
10480	smny-osmanyaletteralef	OSMANYA LETTER ALEF
10481	smny-osmanyaletterba	OSMANYA LETTER BA
10482	smny-osmanyaletterta	OSMANYA LETTER TA
10483	smny-osmanyaletterja	OSMANYA LETTER JA
10484	smny-osmanyaletterxa	OSMANYA LETTER XA
10485	smny-osmanyaletterkha	OSMANYA LETTER KHA
10486	smny-osmanyaletterdeel	OSMANYA LETTER DEEL
10487	smny-osmanyaletterra	OSMANYA LETTER RA
10488	smny-osmanyalettersa	OSMANYA LETTER SA
10489	smny-osmanyalettershiin	OSMANYA LETTER SHIIN
1048A	smny-osmanyaletterdha	OSMANYA LETTER DHA
1048B	smny-osmanyalettercayn	OSMANYA LETTER CAYN
1048C	smny-osmanyaletterga	OSMANYA LETTER GA
1048D	smny-osmanyaletterfa	OSMANYA LETTER FA
1048E	smny-osmanyaletterqaaf	OSMANYA LETTER QAAF
1048F	smny-osmanyaletterkaaf	OSMANYA LETTER KAAF
10490	smny-osmanyaletterlaan	OSMANYA LETTER LAAN
10491	smny-osmanyalettermiin	OSMANYA LETTER MIIN
10492	smny-osmanyaletternuun	OSMANYA LETTER NUUN
10493	smny-osmanyaletterwaw	OSMANYA LETTER WAW
10494	smny-osmanyaletterha	OSMANYA LETTER HA
10495	smny-osmanyaletterya	OSMANYA LETTER YA
10496	smny-osmanyalettera	OSMANYA LETTER A
10497	smny-osmanyalettere	OSMANYA LETTER E
10498	smny-osmanyaletteri	OSMANYA LETTER I
10499	smny-osmanyalettero	OSMANYA LETTER O
1049A	smny-osmanyaletteru	OSMANYA LETTER U
1049B	smny-osmanyaletteraa	OSMANYA LETTER AA
1049C	smny-osmanyaletteree	OSMANYA LETTER EE
1049D	smny-osmanyaletteroo	OSMANYA LETTER OO
104A0	smny-osmanyadigitzero	OSMANYA DIGIT ZERO
104A1	smny-osmanyadigitone	OSMANYA DIGIT ONE
104A2	smny-osmanyadigittwo	OSMANYA DIGIT TWO
104A3	smny-osmanyadigitthree	OSMANYA DIGIT THREE
104A4	smny-osmanyadigitfour	OSMANYA DIGIT FOUR
104A5	smny-osmanyadigitfive	OSMANYA DIGIT FIVE
104A6	smny-osmanyadigitsix	OSMANYA DIGIT SIX
104A7	smny-osmanyadigitseven	OSMANYA DIGIT SEVEN
104A8	smny-osmanyadigiteight	OSMANYA DIGIT EIGHT
104A9	smny-osmanyadigitnine	OSMANYA DIGIT NINE
