# Phags-pa A840 - A87F
A840	phgs-phagspaletterka	PHAGS-PA LETTER KA
A841	phgs-phagspaletterkha	PHAGS-PA LETTER KHA
A842	phgs-phagspaletterga	PHAGS-PA LETTER GA
A843	phgs-phagspaletternga	PHAGS-PA LETTER NGA
A844	phgs-phagspaletterca	PHAGS-PA LETTER CA
A845	phgs-phagspalettercha	PHAGS-PA LETTER CHA
A846	phgs-phagspaletterja	PHAGS-PA LETTER JA
A847	phgs-phagspaletternya	PHAGS-PA LETTER NYA
A848	phgs-phagspaletterta	PHAGS-PA LETTER TA
A849	phgs-phagspalettertha	PHAGS-PA LETTER THA
A84A	phgs-phagspaletterda	PHAGS-PA LETTER DA
A84B	phgs-phagspaletterna	PHAGS-PA LETTER NA
A84C	phgs-phagspaletterpa	PHAGS-PA LETTER PA
A84D	phgs-phagspaletterpha	PHAGS-PA LETTER PHA
A84E	phgs-phagspaletterba	PHAGS-PA LETTER BA
A84F	phgs-phagspaletterma	PHAGS-PA LETTER MA
A850	phgs-phagspalettertsa	PHAGS-PA LETTER TSA
A851	phgs-phagspalettertsha	PHAGS-PA LETTER TSHA
A852	phgs-phagspaletterdza	PHAGS-PA LETTER DZA
A853	phgs-phagspaletterwa	PHAGS-PA LETTER WA
A854	phgs-phagspaletterzha	PHAGS-PA LETTER ZHA
A855	phgs-phagspaletterza	PHAGS-PA LETTER ZA
A856	phgs-phagspalettersmalla	PHAGS-PA LETTER SMALL A
A857	phgs-phagspaletterya	PHAGS-PA LETTER YA
A858	phgs-phagspaletterra	PHAGS-PA LETTER RA
A859	phgs-phagspaletterla	PHAGS-PA LETTER LA
A85A	phgs-phagspalettersha	PHAGS-PA LETTER SHA
A85B	phgs-phagspalettersa	PHAGS-PA LETTER SA
A85C	phgs-phagspaletterha	PHAGS-PA LETTER HA
A85D	phgs-phagspalettera	PHAGS-PA LETTER A
A85E	phgs-phagspaletteri	PHAGS-PA LETTER I
A85F	phgs-phagspaletteru	PHAGS-PA LETTER U
A860	phgs-phagspalettere	PHAGS-PA LETTER E
A861	phgs-phagspalettero	PHAGS-PA LETTER O
A862	phgs-phagspaletterqa	PHAGS-PA LETTER QA
A863	phgs-phagspaletterxa	PHAGS-PA LETTER XA
A864	phgs-phagspaletterfa	PHAGS-PA LETTER FA
A865	phgs-phagspalettergga	PHAGS-PA LETTER GGA
A866	phgs-phagspaletteree	PHAGS-PA LETTER EE
A867	phgs-phagspasubjoinedletterwa	PHAGS-PA SUBJOINED LETTER WA
A868	phgs-phagspasubjoinedletterya	PHAGS-PA SUBJOINED LETTER YA
A869	phgs-phagspalettertta	PHAGS-PA LETTER TTA
A86A	phgs-phagspaletterttha	PHAGS-PA LETTER TTHA
A86B	phgs-phagspaletterdda	PHAGS-PA LETTER DDA
A86C	phgs-phagspaletternna	PHAGS-PA LETTER NNA
A86D	phgs-phagspaletteralternateya	PHAGS-PA LETTER ALTERNATE YA
A86E	phgs-phagspalettervoicelesssha	PHAGS-PA LETTER VOICELESS SHA
A86F	phgs-phagspalettervoicedha	PHAGS-PA LETTER VOICED HA
A870	phgs-phagspaletteraspiratedfa	PHAGS-PA LETTER ASPIRATED FA
A871	phgs-phagspasubjoinedletterra	PHAGS-PA SUBJOINED LETTER RA
A872	phgs-phagspasuperfixedletterra	PHAGS-PA SUPERFIXED LETTER RA
A873	phgs-phagspalettercandrabindu	PHAGS-PA LETTER CANDRABINDU
A874	phgs-phagspasingleheadmark	PHAGS-PA SINGLE HEAD MARK
A875	phgs-phagspadoubleheadmark	PHAGS-PA DOUBLE HEAD MARK
A876	phgs-phagspamarkshad	PHAGS-PA MARK SHAD
A877	phgs-phagspamarkdoubleshad	PHAGS-PA MARK DOUBLE SHAD
