# Phaistos Disc 101D0 - 101FF
101D0	phst-phaistosdiscsignpedestrian	PHAISTOS DISC SIGN PEDESTRIAN
101D1	phst-phaistosdiscsignplumedhead	PHAISTOS DISC SIGN PLUMED HEAD
101D2	phst-phaistosdiscsigntattooedhead	PHAISTOS DISC SIGN TATTOOED HEAD
101D3	phst-phaistosdiscsigncaptive	PHAISTOS DISC SIGN CAPTIVE
101D4	phst-phaistosdiscsignchild	PHAISTOS DISC SIGN CHILD
101D5	phst-phaistosdiscsignwoman	PHAISTOS DISC SIGN WOMAN
101D6	phst-phaistosdiscsignhelmet	PHAISTOS DISC SIGN HELMET
101D7	phst-phaistosdiscsigngauntlet	PHAISTOS DISC SIGN GAUNTLET
101D8	phst-phaistosdiscsigntiara	PHAISTOS DISC SIGN TIARA
101D9	phst-phaistosdiscsignarrow	PHAISTOS DISC SIGN ARROW
101DA	phst-phaistosdiscsignbow	PHAISTOS DISC SIGN BOW
101DB	phst-phaistosdiscsignshield	PHAISTOS DISC SIGN SHIELD
101DC	phst-phaistosdiscsignclub	PHAISTOS DISC SIGN CLUB
101DD	phst-phaistosdiscsignmanacles	PHAISTOS DISC SIGN MANACLES
101DE	phst-phaistosdiscsignmattock	PHAISTOS DISC SIGN MATTOCK
101DF	phst-phaistosdiscsignsaw	PHAISTOS DISC SIGN SAW
101E0	phst-phaistosdiscsignlid	PHAISTOS DISC SIGN LID
101E1	phst-phaistosdiscsignboomerang	PHAISTOS DISC SIGN BOOMERANG
101E2	phst-phaistosdiscsigncarpentryplane	PHAISTOS DISC SIGN CARPENTRY PLANE
101E3	phst-phaistosdiscsigndolium	PHAISTOS DISC SIGN DOLIUM
101E4	phst-phaistosdiscsigncomb	PHAISTOS DISC SIGN COMB
101E5	phst-phaistosdiscsignsling	PHAISTOS DISC SIGN SLING
101E6	phst-phaistosdiscsigncolumn	PHAISTOS DISC SIGN COLUMN
101E7	phst-phaistosdiscsignbeehive	PHAISTOS DISC SIGN BEEHIVE
101E8	phst-phaistosdiscsignship	PHAISTOS DISC SIGN SHIP
101E9	phst-phaistosdiscsignhorn	PHAISTOS DISC SIGN HORN
101EA	phst-phaistosdiscsignhide	PHAISTOS DISC SIGN HIDE
101EB	phst-phaistosdiscsignbullsleg	PHAISTOS DISC SIGN BULLS LEG
101EC	phst-phaistosdiscsigncat	PHAISTOS DISC SIGN CAT
101ED	phst-phaistosdiscsignram	PHAISTOS DISC SIGN RAM
101EE	phst-phaistosdiscsigneagle	PHAISTOS DISC SIGN EAGLE
101EF	phst-phaistosdiscsigndove	PHAISTOS DISC SIGN DOVE
101F0	phst-phaistosdiscsigntunny	PHAISTOS DISC SIGN TUNNY
101F1	phst-phaistosdiscsignbee	PHAISTOS DISC SIGN BEE
101F2	phst-phaistosdiscsignplanetree	PHAISTOS DISC SIGN PLANE TREE
101F3	phst-phaistosdiscsignvine	PHAISTOS DISC SIGN VINE
101F4	phst-phaistosdiscsignpapyrus	PHAISTOS DISC SIGN PAPYRUS
101F5	phst-phaistosdiscsignrosette	PHAISTOS DISC SIGN ROSETTE
101F6	phst-phaistosdiscsignlily	PHAISTOS DISC SIGN LILY
101F7	phst-phaistosdiscsignoxback	PHAISTOS DISC SIGN OX BACK
101F8	phst-phaistosdiscsignflute	PHAISTOS DISC SIGN FLUTE
101F9	phst-phaistosdiscsigngrater	PHAISTOS DISC SIGN GRATER
101FA	phst-phaistosdiscsignstrainer	PHAISTOS DISC SIGN STRAINER
101FB	phst-phaistosdiscsignsmallaxe	PHAISTOS DISC SIGN SMALL AXE
101FC	phst-phaistosdiscsignwavyband	PHAISTOS DISC SIGN WAVY BAND
101FD	phst-phaistosdiscsigncombiningobliquestroke	PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
