# Phoenician 10900 - 1091F
10900	phnc-phoenicianletteralf	PHOENICIAN LETTER ALF
10901	phnc-phoenicianletterbet	PHOENICIAN LETTER BET
10902	phnc-phoenicianlettergaml	PHOENICIAN LETTER GAML
10903	phnc-phoenicianletterdelt	PHOENICIAN LETTER DELT
10904	phnc-phoenicianletterhe	PHOENICIAN LETTER HE
10905	phnc-phoenicianletterwau	PHOENICIAN LETTER WAU
10906	phnc-phoenicianletterzai	PHOENICIAN LETTER ZAI
10907	phnc-phoenicianletterhet	PHOENICIAN LETTER HET
10908	phnc-phoenicianlettertet	PHOENICIAN LETTER TET
10909	phnc-phoenicianletteryod	PHOENICIAN LETTER YOD
1090A	phnc-phoenicianletterkaf	PHOENICIAN LETTER KAF
1090B	phnc-phoenicianletterlamd	PHOENICIAN LETTER LAMD
1090C	phnc-phoenicianlettermem	PHOENICIAN LETTER MEM
1090D	phnc-phoenicianletternun	PHOENICIAN LETTER NUN
1090E	phnc-phoenicianlettersemk	PHOENICIAN LETTER SEMK
1090F	phnc-phoenicianletterain	PHOENICIAN LETTER AIN
10910	phnc-phoenicianletterpe	PHOENICIAN LETTER PE
10911	phnc-phoenicianlettersade	PHOENICIAN LETTER SADE
10912	phnc-phoenicianletterqof	PHOENICIAN LETTER QOF
10913	phnc-phoenicianletterrosh	PHOENICIAN LETTER ROSH
10914	phnc-phoenicianlettershin	PHOENICIAN LETTER SHIN
10915	phnc-phoenicianlettertau	PHOENICIAN LETTER TAU
10916	phnc-phoeniciannumberone	PHOENICIAN NUMBER ONE
10917	phnc-phoeniciannumberten	PHOENICIAN NUMBER TEN
10918	phnc-phoeniciannumbertwenty	PHOENICIAN NUMBER TWENTY
10919	phnc-phoeniciannumberonehundred	PHOENICIAN NUMBER ONE HUNDRED
1091A	phnc-phoeniciannumbertwo	PHOENICIAN NUMBER TWO
1091B	phnc-phoeniciannumberthree	PHOENICIAN NUMBER THREE
1091F	phnc-phoenicianwordseparator	PHOENICIAN WORD SEPARATOR
