# Rejang A930 - A95F
A930	rjng-rejangletterka	REJANG LETTER KA
A931	rjng-rejangletterga	REJANG LETTER GA
A932	rjng-rejangletternga	REJANG LETTER NGA
A933	rjng-rejangletterta	REJANG LETTER TA
A934	rjng-rejangletterda	REJANG LETTER DA
A935	rjng-rejangletterna	REJANG LETTER NA
A936	rjng-rejangletterpa	REJANG LETTER PA
A937	rjng-rejangletterba	REJANG LETTER BA
A938	rjng-rejangletterma	REJANG LETTER MA
A939	rjng-rejangletterca	REJANG LETTER CA
A93A	rjng-rejangletterja	REJANG LETTER JA
A93B	rjng-rejangletternya	REJANG LETTER NYA
A93C	rjng-rejanglettersa	REJANG LETTER SA
A93D	rjng-rejangletterra	REJANG LETTER RA
A93E	rjng-rejangletterla	REJANG LETTER LA
A93F	rjng-rejangletterya	REJANG LETTER YA
A940	rjng-rejangletterwa	REJANG LETTER WA
A941	rjng-rejangletterha	REJANG LETTER HA
A942	rjng-rejanglettermba	REJANG LETTER MBA
A943	rjng-rejangletterngga	REJANG LETTER NGGA
A944	rjng-rejangletternda	REJANG LETTER NDA
A945	rjng-rejangletternyja	REJANG LETTER NYJA
A946	rjng-rejanglettera	REJANG LETTER A
A947	rjng-rejangvowelsigni	REJANG VOWEL SIGN I
A948	rjng-rejangvowelsignu	REJANG VOWEL SIGN U
A949	rjng-rejangvowelsigne	REJANG VOWEL SIGN E
A94A	rjng-rejangvowelsignai	REJANG VOWEL SIGN AI
A94B	rjng-rejangvowelsigno	REJANG VOWEL SIGN O
A94C	rjng-rejangvowelsignau	REJANG VOWEL SIGN AU
A94D	rjng-rejangvowelsigneu	REJANG VOWEL SIGN EU
A94E	rjng-rejangvowelsignea	REJANG VOWEL SIGN EA
A94F	rjng-rejangconsonantsignng	REJANG CONSONANT SIGN NG
A950	rjng-rejangconsonantsignn	REJANG CONSONANT SIGN N
A951	rjng-rejangconsonantsignr	REJANG CONSONANT SIGN R
A952	rjng-rejangconsonantsignh	REJANG CONSONANT SIGN H
A953	rjng-rejangvirama	REJANG VIRAMA
A95F	rjng-rejangsectionmark	REJANG SECTION MARK
