# Rumi Numeral Symbols 10E60 - 10E7F
10E60	rmnm-rumidigitone	RUMI DIGIT ONE
10E61	rmnm-rumidigittwo	RUMI DIGIT TWO
10E62	rmnm-rumidigitthree	RUMI DIGIT THREE
10E63	rmnm-rumidigitfour	RUMI DIGIT FOUR
10E64	rmnm-rumidigitfive	RUMI DIGIT FIVE
10E65	rmnm-rumidigitsix	RUMI DIGIT SIX
10E66	rmnm-rumidigitseven	RUMI DIGIT SEVEN
10E67	rmnm-rumidigiteight	RUMI DIGIT EIGHT
10E68	rmnm-rumidigitnine	RUMI DIGIT NINE
10E69	rmnm-ruminumberten	RUMI NUMBER TEN
10E6A	rmnm-ruminumbertwenty	RUMI NUMBER TWENTY
10E6B	rmnm-ruminumberthirty	RUMI NUMBER THIRTY
10E6C	rmnm-ruminumberforty	RUMI NUMBER FORTY
10E6D	rmnm-ruminumberfifty	RUMI NUMBER FIFTY
10E6E	rmnm-ruminumbersixty	RUMI NUMBER SIXTY
10E6F	rmnm-ruminumberseventy	RUMI NUMBER SEVENTY
10E70	rmnm-ruminumbereighty	RUMI NUMBER EIGHTY
10E71	rmnm-ruminumberninety	RUMI NUMBER NINETY
10E72	rmnm-ruminumberonehundred	RUMI NUMBER ONE HUNDRED
10E73	rmnm-ruminumbertwohundred	RUMI NUMBER TWO HUNDRED
10E74	rmnm-ruminumberthreehundred	RUMI NUMBER THREE HUNDRED
10E75	rmnm-ruminumberfourhundred	RUMI NUMBER FOUR HUNDRED
10E76	rmnm-ruminumberfivehundred	RUMI NUMBER FIVE HUNDRED
10E77	rmnm-ruminumbersixhundred	RUMI NUMBER SIX HUNDRED
10E78	rmnm-ruminumbersevenhundred	RUMI NUMBER SEVEN HUNDRED
10E79	rmnm-ruminumbereighthundred	RUMI NUMBER EIGHT HUNDRED
10E7A	rmnm-ruminumberninehundred	RUMI NUMBER NINE HUNDRED
10E7B	rmnm-rumifractiononehalf	RUMI FRACTION ONE HALF
10E7C	rmnm-rumifractiononequarter	RUMI FRACTION ONE QUARTER
10E7D	rmnm-rumifractiononethird	RUMI FRACTION ONE THIRD
10E7E	rmnm-rumifractiontwothirds	RUMI FRACTION TWO THIRDS
