# Samaritan 0800 - 083F
0800	smrt-samaritanletteralaf	SAMARITAN LETTER ALAF
0801	smrt-samaritanletterbit	SAMARITAN LETTER BIT
0802	smrt-samaritanlettergaman	SAMARITAN LETTER GAMAN
0803	smrt-samaritanletterdalat	SAMARITAN LETTER DALAT
0804	smrt-samaritanletteriy	SAMARITAN LETTER IY
0805	smrt-samaritanletterbaa	SAMARITAN LETTER BAA
0806	smrt-samaritanletterzen	SAMARITAN LETTER ZEN
0807	smrt-samaritanletterit	SAMARITAN LETTER IT
0808	smrt-samaritanlettertit	SAMARITAN LETTER TIT
0809	smrt-samaritanletteryut	SAMARITAN LETTER YUT
080A	smrt-samaritanletterkaaf	SAMARITAN LETTER KAAF
080B	smrt-samaritanletterlabat	SAMARITAN LETTER LABAT
080C	smrt-samaritanlettermim	SAMARITAN LETTER MIM
080D	smrt-samaritanletternun	SAMARITAN LETTER NUN
080E	smrt-samaritanlettersingaat	SAMARITAN LETTER SINGAAT
080F	smrt-samaritanletterin	SAMARITAN LETTER IN
0810	smrt-samaritanletterfi	SAMARITAN LETTER FI
0811	smrt-samaritanlettertsaadiy	SAMARITAN LETTER TSAADIY
0812	smrt-samaritanletterquf	SAMARITAN LETTER QUF
0813	smrt-samaritanletterrish	SAMARITAN LETTER RISH
0814	smrt-samaritanlettershan	SAMARITAN LETTER SHAN
0815	smrt-samaritanlettertaaf	SAMARITAN LETTER TAAF
0816	smrt-samaritanmarkin	SAMARITAN MARK IN
0817	smrt-samaritanmarkinalaf	SAMARITAN MARK IN-ALAF
0818	smrt-samaritanmarkocclusion	SAMARITAN MARK OCCLUSION
0819	smrt-samaritanmarkdagesh	SAMARITAN MARK DAGESH
081A	smrt-samaritanmodifierletterepentheticyut	SAMARITAN MODIFIER LETTER EPENTHETIC YUT
081B	smrt-samaritanmarkepentheticyut	SAMARITAN MARK EPENTHETIC YUT
081C	smrt-samaritanvowelsignlonge	SAMARITAN VOWEL SIGN LONG E
081D	smrt-samaritanvowelsigne	SAMARITAN VOWEL SIGN E
081E	smrt-samaritanvowelsignoverlongaa	SAMARITAN VOWEL SIGN OVERLONG AA
081F	smrt-samaritanvowelsignlongaa	SAMARITAN VOWEL SIGN LONG AA
0820	smrt-samaritanvowelsignaa	SAMARITAN VOWEL SIGN AA
0821	smrt-samaritanvowelsignoverlonga	SAMARITAN VOWEL SIGN OVERLONG A
0822	smrt-samaritanvowelsignlonga	SAMARITAN VOWEL SIGN LONG A
0823	smrt-samaritanvowelsigna	SAMARITAN VOWEL SIGN A
0824	smrt-samaritanmodifierlettershorta	SAMARITAN MODIFIER LETTER SHORT A
0825	smrt-samaritanvowelsignshorta	SAMARITAN VOWEL SIGN SHORT A
0826	smrt-samaritanvowelsignlongu	SAMARITAN VOWEL SIGN LONG U
0827	smrt-samaritanvowelsignu	SAMARITAN VOWEL SIGN U
0828	smrt-samaritanmodifierletteri	SAMARITAN MODIFIER LETTER I
0829	smrt-samaritanvowelsignlongi	SAMARITAN VOWEL SIGN LONG I
082A	smrt-samaritanvowelsigni	SAMARITAN VOWEL SIGN I
082B	smrt-samaritanvowelsigno	SAMARITAN VOWEL SIGN O
082C	smrt-samaritanvowelsignsukun	SAMARITAN VOWEL SIGN SUKUN
082D	smrt-samaritanmarknequdaa	SAMARITAN MARK NEQUDAA
0830	smrt-samaritanpunctuationnequdaa	SAMARITAN PUNCTUATION NEQUDAA
0831	smrt-samaritanpunctuationafsaaq	SAMARITAN PUNCTUATION AFSAAQ
0832	smrt-samaritanpunctuationanged	SAMARITAN PUNCTUATION ANGED
0833	smrt-samaritanpunctuationbau	SAMARITAN PUNCTUATION BAU
0834	smrt-samaritanpunctuationatmaau	SAMARITAN PUNCTUATION ATMAAU
0835	smrt-samaritanpunctuationshiyyaalaa	SAMARITAN PUNCTUATION SHIYYAALAA
0836	smrt-samaritanabbreviationmark	SAMARITAN ABBREVIATION MARK
0837	smrt-samaritanpunctuationmelodicqitsa	SAMARITAN PUNCTUATION MELODIC QITSA
0838	smrt-samaritanpunctuationziqaa	SAMARITAN PUNCTUATION ZIQAA
0839	smrt-samaritanpunctuationqitsa	SAMARITAN PUNCTUATION QITSA
083A	smrt-samaritanpunctuationzaef	SAMARITAN PUNCTUATION ZAEF
083B	smrt-samaritanpunctuationturu	SAMARITAN PUNCTUATION TURU
083C	smrt-samaritanpunctuationarkaanu	SAMARITAN PUNCTUATION ARKAANU
083D	smrt-samaritanpunctuationsofmashfaat	SAMARITAN PUNCTUATION SOF MASHFAAT
083E	smrt-samaritanpunctuationannaau	SAMARITAN PUNCTUATION ANNAAU
