# Saurashtra A880 - A8DF
A880	srsh-saurashtrasignanusvara	SAURASHTRA SIGN ANUSVARA
A881	srsh-saurashtrasignvisarga	SAURASHTRA SIGN VISARGA
A882	srsh-saurashtralettera	SAURASHTRA LETTER A
A883	srsh-saurashtraletteraa	SAURASHTRA LETTER AA
A884	srsh-saurashtraletteri	SAURASHTRA LETTER I
A885	srsh-saurashtraletterii	SAURASHTRA LETTER II
A886	srsh-saurashtraletteru	SAURASHTRA LETTER U
A887	srsh-saurashtraletteruu	SAURASHTRA LETTER UU
A888	srsh-saurashtralettervocalicr	SAURASHTRA LETTER VOCALIC R
A889	srsh-saurashtralettervocalicrr	SAURASHTRA LETTER VOCALIC RR
A88A	srsh-saurashtralettervocalicl	SAURASHTRA LETTER VOCALIC L
A88B	srsh-saurashtralettervocalicll	SAURASHTRA LETTER VOCALIC LL
A88C	srsh-saurashtralettere	SAURASHTRA LETTER E
A88D	srsh-saurashtraletteree	SAURASHTRA LETTER EE
A88E	srsh-saurashtraletterai	SAURASHTRA LETTER AI
A88F	srsh-saurashtralettero	SAURASHTRA LETTER O
A890	srsh-saurashtraletteroo	SAURASHTRA LETTER OO
A891	srsh-saurashtraletterau	SAURASHTRA LETTER AU
A892	srsh-saurashtraletterka	SAURASHTRA LETTER KA
A893	srsh-saurashtraletterkha	SAURASHTRA LETTER KHA
A894	srsh-saurashtraletterga	SAURASHTRA LETTER GA
A895	srsh-saurashtralettergha	SAURASHTRA LETTER GHA
A896	srsh-saurashtraletternga	SAURASHTRA LETTER NGA
A897	srsh-saurashtraletterca	SAURASHTRA LETTER CA
A898	srsh-saurashtralettercha	SAURASHTRA LETTER CHA
A899	srsh-saurashtraletterja	SAURASHTRA LETTER JA
A89A	srsh-saurashtraletterjha	SAURASHTRA LETTER JHA
A89B	srsh-saurashtraletternya	SAURASHTRA LETTER NYA
A89C	srsh-saurashtralettertta	SAURASHTRA LETTER TTA
A89D	srsh-saurashtraletterttha	SAURASHTRA LETTER TTHA
A89E	srsh-saurashtraletterdda	SAURASHTRA LETTER DDA
A89F	srsh-saurashtraletterddha	SAURASHTRA LETTER DDHA
A8A0	srsh-saurashtraletternna	SAURASHTRA LETTER NNA
A8A1	srsh-saurashtraletterta	SAURASHTRA LETTER TA
A8A2	srsh-saurashtralettertha	SAURASHTRA LETTER THA
A8A3	srsh-saurashtraletterda	SAURASHTRA LETTER DA
A8A4	srsh-saurashtraletterdha	SAURASHTRA LETTER DHA
A8A5	srsh-saurashtraletterna	SAURASHTRA LETTER NA
A8A6	srsh-saurashtraletterpa	SAURASHTRA LETTER PA
A8A7	srsh-saurashtraletterpha	SAURASHTRA LETTER PHA
A8A8	srsh-saurashtraletterba	SAURASHTRA LETTER BA
A8A9	srsh-saurashtraletterbha	SAURASHTRA LETTER BHA
A8AA	srsh-saurashtraletterma	SAURASHTRA LETTER MA
A8AB	srsh-saurashtraletterya	SAURASHTRA LETTER YA
A8AC	srsh-saurashtraletterra	SAURASHTRA LETTER RA
A8AD	srsh-saurashtraletterla	SAURASHTRA LETTER LA
A8AE	srsh-saurashtraletterva	SAURASHTRA LETTER VA
A8AF	srsh-saurashtralettersha	SAURASHTRA LETTER SHA
A8B0	srsh-saurashtraletterssa	SAURASHTRA LETTER SSA
A8B1	srsh-saurashtralettersa	SAURASHTRA LETTER SA
A8B2	srsh-saurashtraletterha	SAURASHTRA LETTER HA
A8B3	srsh-saurashtraletterlla	SAURASHTRA LETTER LLA
A8B4	srsh-saurashtraconsonantsignhaaru	SAURASHTRA CONSONANT SIGN HAARU
A8B5	srsh-saurashtravowelsignaa	SAURASHTRA VOWEL SIGN AA
A8B6	srsh-saurashtravowelsigni	SAURASHTRA VOWEL SIGN I
A8B7	srsh-saurashtravowelsignii	SAURASHTRA VOWEL SIGN II
A8B8	srsh-saurashtravowelsignu	SAURASHTRA VOWEL SIGN U
A8B9	srsh-saurashtravowelsignuu	SAURASHTRA VOWEL SIGN UU
A8BA	srsh-saurashtravowelsignvocalicr	SAURASHTRA VOWEL SIGN VOCALIC R
A8BB	srsh-saurashtravowelsignvocalicrr	SAURASHTRA VOWEL SIGN VOCALIC RR
A8BC	srsh-saurashtravowelsignvocalicl	SAURASHTRA VOWEL SIGN VOCALIC L
A8BD	srsh-saurashtravowelsignvocalicll	SAURASHTRA VOWEL SIGN VOCALIC LL
A8BE	srsh-saurashtravowelsigne	SAURASHTRA VOWEL SIGN E
