# Shavian 10450 - 1047F
10450	shvn-shavianletterpeep	SHAVIAN LETTER PEEP
10451	shvn-shavianlettertot	SHAVIAN LETTER TOT
10452	shvn-shavianletterkick	SHAVIAN LETTER KICK
10453	shvn-shavianletterfee	SHAVIAN LETTER FEE
10454	shvn-shavianletterthigh	SHAVIAN LETTER THIGH
10455	shvn-shavianletterso	SHAVIAN LETTER SO
10456	shvn-shavianlettersure	SHAVIAN LETTER SURE
10457	shvn-shavianletterchurch	SHAVIAN LETTER CHURCH
10458	shvn-shavianletteryea	SHAVIAN LETTER YEA
10459	shvn-shavianletterhung	SHAVIAN LETTER HUNG
1045A	shvn-shavianletterbib	SHAVIAN LETTER BIB
1045B	shvn-shavianletterdead	SHAVIAN LETTER DEAD
1045C	shvn-shavianlettergag	SHAVIAN LETTER GAG
1045D	shvn-shavianlettervow	SHAVIAN LETTER VOW
1045E	shvn-shavianletterthey	SHAVIAN LETTER THEY
1045F	shvn-shavianletterzoo	SHAVIAN LETTER ZOO
10460	shvn-shavianlettermeasure	SHAVIAN LETTER MEASURE
10461	shvn-shavianletterjudge	SHAVIAN LETTER JUDGE
10462	shvn-shavianletterwoe	SHAVIAN LETTER WOE
10463	shvn-shavianletterhaha	SHAVIAN LETTER HA-HA
10464	shvn-shavianletterloll	SHAVIAN LETTER LOLL
10465	shvn-shavianlettermime	SHAVIAN LETTER MIME
10466	shvn-shavianletterif	SHAVIAN LETTER IF
10467	shvn-shavianletteregg	SHAVIAN LETTER EGG
10468	shvn-shavianletterash	SHAVIAN LETTER ASH
10469	shvn-shavianletterado	SHAVIAN LETTER ADO
1046A	shvn-shavianletteron	SHAVIAN LETTER ON
1046B	shvn-shavianletterwool	SHAVIAN LETTER WOOL
1046C	shvn-shavianletterout	SHAVIAN LETTER OUT
1046D	shvn-shavianletterah	SHAVIAN LETTER AH
1046E	shvn-shavianletterroar	SHAVIAN LETTER ROAR
1046F	shvn-shavianletternun	SHAVIAN LETTER NUN
10470	shvn-shavianlettereat	SHAVIAN LETTER EAT
10471	shvn-shavianletterage	SHAVIAN LETTER AGE
10472	shvn-shavianletterice	SHAVIAN LETTER ICE
10473	shvn-shavianletterup	SHAVIAN LETTER UP
10474	shvn-shavianletteroak	SHAVIAN LETTER OAK
10475	shvn-shavianletterooze	SHAVIAN LETTER OOZE
10476	shvn-shavianletteroil	SHAVIAN LETTER OIL
10477	shvn-shavianletterawe	SHAVIAN LETTER AWE
10478	shvn-shavianletterare	SHAVIAN LETTER ARE
10479	shvn-shavianletteror	SHAVIAN LETTER OR
1047A	shvn-shavianletterair	SHAVIAN LETTER AIR
1047B	shvn-shavianlettererr	SHAVIAN LETTER ERR
1047C	shvn-shavianletterarray	SHAVIAN LETTER ARRAY
1047D	shvn-shavianletterear	SHAVIAN LETTER EAR
1047E	shvn-shavianletterian	SHAVIAN LETTER IAN
1047F	shvn-shavianletteryew	SHAVIAN LETTER YEW
