# Sinhala 0D80 - 0DFF
0D82	snhl-sinhalasignanusvaraya	SINHALA SIGN ANUSVARAYA
0D83	snhl-sinhalasignvisargaya	SINHALA SIGN VISARGAYA
0D85	snhl-sinhalaletterayanna	SINHALA LETTER AYANNA
0D86	snhl-sinhalaletteraayanna	SINHALA LETTER AAYANNA
0D87	snhl-sinhalaletteraeyanna	SINHALA LETTER AEYANNA
0D88	snhl-sinhalaletteraeeyanna	SINHALA LETTER AEEYANNA
0D89	snhl-sinhalaletteriyanna	SINHALA LETTER IYANNA
0D8A	snhl-sinhalaletteriiyanna	SINHALA LETTER IIYANNA
0D8B	snhl-sinhalaletteruyanna	SINHALA LETTER UYANNA
0D8C	snhl-sinhalaletteruuyanna	SINHALA LETTER UUYANNA
0D8D	snhl-sinhalaletteriruyanna	SINHALA LETTER IRUYANNA
0D8E	snhl-sinhalaletteriruuyanna	SINHALA LETTER IRUUYANNA
0D8F	snhl-sinhalaletteriluyanna	SINHALA LETTER ILUYANNA
0D90	snhl-sinhalaletteriluuyanna	SINHALA LETTER ILUUYANNA
0D91	snhl-sinhalalettereyanna	SINHALA LETTER EYANNA
0D92	snhl-sinhalalettereeyanna	SINHALA LETTER EEYANNA
0D93	snhl-sinhalaletteraiyanna	SINHALA LETTER AIYANNA
0D94	snhl-sinhalaletteroyanna	SINHALA LETTER OYANNA
0D95	snhl-sinhalaletterooyanna	SINHALA LETTER OOYANNA
0D96	snhl-sinhalaletterauyanna	SINHALA LETTER AUYANNA
0D9A	snhl-sinhalaletteralpapraanakayanna	SINHALA LETTER ALPAPRAANA KAYANNA
0D9B	snhl-sinhalalettermahaapraanakayanna	SINHALA LETTER MAHAAPRAANA KAYANNA
0D9C	snhl-sinhalaletteralpapraanagayanna	SINHALA LETTER ALPAPRAANA GAYANNA
0D9D	snhl-sinhalalettermahaapraanagayanna	SINHALA LETTER MAHAAPRAANA GAYANNA
0D9E	snhl-sinhalaletterkantajanaasikyaya	SINHALA LETTER KANTAJA NAASIKYAYA
0D9F	snhl-sinhalalettersanyakagayanna	SINHALA LETTER SANYAKA GAYANNA
0DA0	snhl-sinhalaletteralpapraanacayanna	SINHALA LETTER ALPAPRAANA CAYANNA
