# Small Form Variants FE50 - FE6F
FE50	smll-smallcomma	SMALL COMMA
FE51	smll-smallideographiccomma	SMALL IDEOGRAPHIC COMMA
FE52	smll-smallfullstop	SMALL FULL STOP
FE54	smll-smallsemicolon	SMALL SEMICOLON
FE55	smll-smallcolon	SMALL COLON
FE56	smll-smallquestionmark	SMALL QUESTION MARK
FE57	smll-smallexclamationmark	SMALL EXCLAMATION MARK
FE58	smll-smallemdash	SMALL EM DASH
FE59	smll-smallleftparenthesis	SMALL LEFT PARENTHESIS
FE5A	smll-smallrightparenthesis	SMALL RIGHT PARENTHESIS
FE5B	smll-smallleftcurlybracket	SMALL LEFT CURLY BRACKET
FE5C	smll-smallrightcurlybracket	SMALL RIGHT CURLY BRACKET
FE5D	smll-smalllefttortoiseshellbracket	SMALL LEFT TORTOISE SHELL BRACKET
FE5E	smll-smallrighttortoiseshellbracket	SMALL RIGHT TORTOISE SHELL BRACKET
FE5F	smll-smallnumbersign	SMALL NUMBER SIGN
FE60	smll-smallampersand	SMALL AMPERSAND
FE61	smll-smallasterisk	SMALL ASTERISK
FE62	smll-smallplussign	SMALL PLUS SIGN
FE63	smll-smallhyphenminus	SMALL HYPHEN-MINUS
FE64	smll-smalllessthansign	SMALL LESS-THAN SIGN
FE65	smll-smallgreaterthansign	SMALL GREATER-THAN SIGN
FE66	smll-smallequalssign	SMALL EQUALS SIGN
FE68	smll-smallreversesolidus	SMALL REVERSE SOLIDUS
FE69	smll-smalldollarsign	SMALL DOLLAR SIGN
FE6A	smll-smallpercentsign	SMALL PERCENT SIGN
FE6B	smll-smallcommercialat	SMALL COMMERCIAL AT
