# Spacing Modifier Letters 02B0 - 02FF
02B0	spcn-hsupmod	MODIFIER LETTER SMALL H
02B1	spcn-hhooksupmod	MODIFIER LETTER SMALL H WITH HOOK
02B2	spcn-jsupmod	MODIFIER LETTER SMALL J
02B3	spcn-rsupmod	MODIFIER LETTER SMALL R
02B4	spcn-rturnedsupmod	MODIFIER LETTER SMALL TURNED R
02B5	spcn-rhookturnedsupmod	MODIFIER LETTER SMALL TURNED R WITH HOOK
02B6	spcn-Rsupinvertedmod	MODIFIER LETTER SMALL CAPITAL INVERTED R
02B7	spcn-wsupmod	MODIFIER LETTER SMALL W
02B8	spcn-ysupmod	MODIFIER LETTER SMALL Y
02B9	spcn-primemod	MODIFIER LETTER PRIME
02BA	spcn-primedblmod	MODIFIER LETTER DOUBLE PRIME
02BB	spcn-commaturnedmod	MODIFIER LETTER TURNED COMMA
02BC	spcn-apostrophemod	MODIFIER LETTER APOSTROPHE
02BD	spcn-commareversedmod	MODIFIER LETTER REVERSED COMMA
02BE	spcn-ringhalfrightmod	MODIFIER LETTER RIGHT HALF RING
02BF	spcn-ringhalfleftmod	MODIFIER LETTER LEFT HALF RING
02C0	spcn-glottalstopmod	MODIFIER LETTER GLOTTAL STOP
02C1	spcn-glottalstopreversedmod	MODIFIER LETTER REVERSED GLOTTAL STOP
02C2	spcn-arrowheadleftmod	MODIFIER LETTER LEFT ARROWHEAD
02C3	spcn-arrowheadrightmod	MODIFIER LETTER RIGHT ARROWHEAD
02C4	spcn-arrowheadupmod	MODIFIER LETTER UP ARROWHEAD
02C5	spcn-arrowheaddownmod	MODIFIER LETTER DOWN ARROWHEAD
02C6	spcn-circumflexmod	MODIFIER LETTER CIRCUMFLEX ACCENT
02C7	spcn-caron	CARON
02C8	spcn-verticallinemod	MODIFIER LETTER VERTICAL LINE
02C9	spcn-macronmod	MODIFIER LETTER MACRON
02CA	spcn-acutemod	MODIFIER LETTER ACUTE ACCENT
02CB	spcn-gravemod	MODIFIER LETTER GRAVE ACCENT
02CC	spcn-verticallinelowmod	MODIFIER LETTER LOW VERTICAL LINE
02CD	spcn-macronlowmod	MODIFIER LETTER LOW MACRON
02CE	spcn-gravelowmod	MODIFIER LETTER LOW GRAVE ACCENT
02CF	spcn-acutelowmod	MODIFIER LETTER LOW ACUTE ACCENT
02D0	spcn-colontriangularmod	MODIFIER LETTER TRIANGULAR COLON
02D1	spcn-colontriangularhalfmod	MODIFIER LETTER HALF TRIANGULAR COLON
02D2	spcn-ringhalfrightcentredmod	MODIFIER LETTER CENTRED RIGHT HALF RING
02D3	spcn-ringhalfleftcentredmod	MODIFIER LETTER CENTRED LEFT HALF RING
02D4	spcn-tackupmod	MODIFIER LETTER UP TACK
02D5	spcn-tackdownmod	MODIFIER LETTER DOWN TACK
02D6	spcn-plussignmod	MODIFIER LETTER PLUS SIGN
02D7	spcn-minussignmod	MODIFIER LETTER MINUS SIGN
02D8	spcn-breve	BREVE
02D9	spcn-dotaccent	DOT ABOVE
02DA	spcn-ring	RING ABOVE
02DB	spcn-ogonek	OGONEK
02DC	spcn-tilde	SMALL TILDE
02DD	spcn-hungarumlaut	DOUBLE ACUTE ACCENT
02DE	spcn-rhotichookmod	MODIFIER LETTER RHOTIC HOOK
02DF	spcn-crossmod	MODIFIER LETTER CROSS ACCENT
02E0	spcn-gammasupmod	MODIFIER LETTER SMALL GAMMA
02E1	spcn-lsupmod	MODIFIER LETTER SMALL L
02E2	spcn-ssupmod	MODIFIER LETTER SMALL S
02E3	spcn-xsupmod	MODIFIER LETTER SMALL X
02E4	spcn-glottalstopsupreversedmod	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
02E5	spcn-tonebarextrahighmod	MODIFIER LETTER EXTRA-HIGH TONE BAR
02E6	spcn-tonebarhighmod	MODIFIER LETTER HIGH TONE BAR
02E7	spcn-tonebarmidmod	MODIFIER LETTER MID TONE BAR
02E8	spcn-tonebarlowmod	MODIFIER LETTER LOW TONE BAR
02E9	spcn-tonebarextralowmod	MODIFIER LETTER EXTRA-LOW TONE BAR
02EA	spcn-yintonemod	MODIFIER LETTER YIN DEPARTING TONE MARK
02EB	spcn-yangtonemod	MODIFIER LETTER YANG DEPARTING TONE MARK
02EC	spcn-voicingmod	MODIFIER LETTER VOICING
02ED	spcn-unaspiratedmod	MODIFIER LETTER UNASPIRATED
02EE	spcn-apostrophedblmod	MODIFIER LETTER DOUBLE APOSTROPHE
02EF	spcn-arrowheaddownlowmod	MODIFIER LETTER LOW DOWN ARROWHEAD
02F0	spcn-arrowheaduplowmod	MODIFIER LETTER LOW UP ARROWHEAD
02F1	spcn-arrowheadleftlowmod	MODIFIER LETTER LOW LEFT ARROWHEAD
02F2	spcn-arrowheadrightlowmod	MODIFIER LETTER LOW RIGHT ARROWHEAD
02F3	spcn-ringlowmod	MODIFIER LETTER LOW RING
02F4	spcn-gravemiddlemod	MODIFIER LETTER MIDDLE GRAVE ACCENT
02F5	spcn-gravedblmiddlemod	MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT
02F6	spcn-acutedblmiddlemod	MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT
02F7	spcn-tildelowmod	MODIFIER LETTER LOW TILDE
02F8	spcn-colonraisedmod	MODIFIER LETTER RAISED COLON
02F9	spcn-tonehighbeginmod	MODIFIER LETTER BEGIN HIGH TONE
02FA	spcn-tonehighendmod	MODIFIER LETTER END HIGH TONE
02FB	spcn-tonelowbeginmod	MODIFIER LETTER BEGIN LOW TONE
02FC	spcn-tonelowendmod	MODIFIER LETTER END LOW TONE
02FD	spcn-shelfmod	MODIFIER LETTER SHELF
02FE	spcn-shelfopenmod	MODIFIER LETTER OPEN SHELF
02FF	spcn-arrowleftlowmod	MODIFIER LETTER LOW LEFT ARROW
