# Sundanese 1B80 - 1BBF
1B80	sndn-sundanesesignpanyecek	SUNDANESE SIGN PANYECEK
1B81	sndn-sundanesesignpanglayar	SUNDANESE SIGN PANGLAYAR
1B82	sndn-sundanesesignpangwisad	SUNDANESE SIGN PANGWISAD
1B83	sndn-sundaneselettera	SUNDANESE LETTER A
1B84	sndn-sundaneseletteri	SUNDANESE LETTER I
1B85	sndn-sundaneseletteru	SUNDANESE LETTER U
1B86	sndn-sundaneseletterae	SUNDANESE LETTER AE
1B87	sndn-sundaneselettero	SUNDANESE LETTER O
1B88	sndn-sundaneselettere	SUNDANESE LETTER E
1B89	sndn-sundaneselettereu	SUNDANESE LETTER EU
1B8A	sndn-sundaneseletterka	SUNDANESE LETTER KA
1B8B	sndn-sundaneseletterqa	SUNDANESE LETTER QA
1B8C	sndn-sundaneseletterga	SUNDANESE LETTER GA
1B8D	sndn-sundaneseletternga	SUNDANESE LETTER NGA
1B8E	sndn-sundaneseletterca	SUNDANESE LETTER CA
1B8F	sndn-sundaneseletterja	SUNDANESE LETTER JA
1B90	sndn-sundaneseletterza	SUNDANESE LETTER ZA
1B91	sndn-sundaneseletternya	SUNDANESE LETTER NYA
1B92	sndn-sundaneseletterta	SUNDANESE LETTER TA
1B93	sndn-sundaneseletterda	SUNDANESE LETTER DA
1B94	sndn-sundaneseletterna	SUNDANESE LETTER NA
1B95	sndn-sundaneseletterpa	SUNDANESE LETTER PA
1B96	sndn-sundaneseletterfa	SUNDANESE LETTER FA
1B97	sndn-sundaneseletterva	SUNDANESE LETTER VA
1B98	sndn-sundaneseletterba	SUNDANESE LETTER BA
1B99	sndn-sundaneseletterma	SUNDANESE LETTER MA
1B9A	sndn-sundaneseletterya	SUNDANESE LETTER YA
1B9B	sndn-sundaneseletterra	SUNDANESE LETTER RA
1B9C	sndn-sundaneseletterla	SUNDANESE LETTER LA
1B9D	sndn-sundaneseletterwa	SUNDANESE LETTER WA
1B9E	sndn-sundaneselettersa	SUNDANESE LETTER SA
1B9F	sndn-sundaneseletterxa	SUNDANESE LETTER XA
1BA0	sndn-sundaneseletterha	SUNDANESE LETTER HA
1BA1	sndn-sundaneseconsonantsignpamingkal	SUNDANESE CONSONANT SIGN PAMINGKAL
1BA2	sndn-sundaneseconsonantsignpanyakra	SUNDANESE CONSONANT SIGN PANYAKRA
1BA3	sndn-sundaneseconsonantsignpanyiku	SUNDANESE CONSONANT SIGN PANYIKU
1BA4	sndn-sundanesevowelsignpanghulu	SUNDANESE VOWEL SIGN PANGHULU
1BA5	sndn-sundanesevowelsignpanyuku	SUNDANESE VOWEL SIGN PANYUKU
1BA6	sndn-sundanesevowelsignpanaelaeng	SUNDANESE VOWEL SIGN PANAELAENG
1BA7	sndn-sundanesevowelsignpanolong	SUNDANESE VOWEL SIGN PANOLONG
1BA8	sndn-sundanesevowelsignpamepet	SUNDANESE VOWEL SIGN PAMEPET
1BA9	sndn-sundanesevowelsignpaneuleung	SUNDANESE VOWEL SIGN PANEULEUNG
1BAA	sndn-sundanesesignpamaaeh	SUNDANESE SIGN PAMAAEH
1BAE	sndn-sundaneseletterkha	SUNDANESE LETTER KHA
1BAF	sndn-sundaneselettersya	SUNDANESE LETTER SYA
1BB0	sndn-sundanesedigitzero	SUNDANESE DIGIT ZERO
1BB1	sndn-sundanesedigitone	SUNDANESE DIGIT ONE
1BB2	sndn-sundanesedigittwo	SUNDANESE DIGIT TWO
1BB3	sndn-sundanesedigitthree	SUNDANESE DIGIT THREE
1BB4	sndn-sundanesedigitfour	SUNDANESE DIGIT FOUR
1BB5	sndn-sundanesedigitfive	SUNDANESE DIGIT FIVE
1BB6	sndn-sundanesedigitsix	SUNDANESE DIGIT SIX
1BB7	sndn-sundanesedigitseven	SUNDANESE DIGIT SEVEN
1BB8	sndn-sundanesedigiteight	SUNDANESE DIGIT EIGHT
1BB9	sndn-sundanesedigitnine	SUNDANESE DIGIT NINE
