# Superscripts and Subscripts 2070 - 209F
2070	sprs-zero.superior	SUPERSCRIPT ZERO
2071	sprs-i.superior	SUPERSCRIPT LATIN SMALL LETTER I
2074	sprs-four.superior	SUPERSCRIPT FOUR
2075	sprs-five.superior	SUPERSCRIPT FIVE
2076	sprs-six.superior	SUPERSCRIPT SIX
2077	sprs-seven.superior	SUPERSCRIPT SEVEN
2078	sprs-eight.superior	SUPERSCRIPT EIGHT
2079	sprs-nine.superior	SUPERSCRIPT NINE
207A	sprs-plus.superior	SUPERSCRIPT PLUS SIGN
207B	sprs-minus.superior	SUPERSCRIPT MINUS
207C	sprs-equal.superior	SUPERSCRIPT EQUALS SIGN
207D	sprs-parenleft.superior	SUPERSCRIPT LEFT PARENTHESIS
207E	sprs-parenright.superior	SUPERSCRIPT RIGHT PARENTHESIS
207F	sprs-n.superior	SUPERSCRIPT LATIN SMALL LETTER N
2080	sprs-zero.inferior	SUBSCRIPT ZERO
2081	sprs-one.inferior	SUBSCRIPT ONE
2082	sprs-two.inferior	SUBSCRIPT TWO
2083	sprs-three.inferior	SUBSCRIPT THREE
2084	sprs-four.inferior	SUBSCRIPT FOUR
2085	sprs-five.inferior	SUBSCRIPT FIVE
2086	sprs-six.inferior	SUBSCRIPT SIX
2087	sprs-seven.inferior	SUBSCRIPT SEVEN
2088	sprs-eight.inferior	SUBSCRIPT EIGHT
2089	sprs-nine.inferior	SUBSCRIPT NINE
208A	sprs-plus.inferior	SUBSCRIPT PLUS SIGN
208B	sprs-minus.inferior	SUBSCRIPT MINUS
208C	sprs-equal.inferior	SUBSCRIPT EQUALS SIGN
208D	sprs-parenleft.inferior	SUBSCRIPT LEFT PARENTHESIS
208E	sprs-parenright.inferior	SUBSCRIPT RIGHT PARENTHESIS
2090	sprs-a.inferior	LATIN SUBSCRIPT SMALL LETTER A
2091	sprs-e.inferior	LATIN SUBSCRIPT SMALL LETTER E
2092	sprs-o.inferior	LATIN SUBSCRIPT SMALL LETTER O
2093	sprs-x.inferior	LATIN SUBSCRIPT SMALL LETTER X
2094	sprs-schwa.inferior	LATIN SUBSCRIPT SMALL LETTER SCHWA
