# Supplemental Arrows-A 27F0 - 27FF
27F0	sppl-upwardsquadruplearrow	UPWARDS QUADRUPLE ARROW
27F1	sppl-downwardsquadruplearrow	DOWNWARDS QUADRUPLE ARROW
27F2	sppl-anticlockwisegappedcirclearrow	ANTICLOCKWISE GAPPED CIRCLE ARROW
27F3	sppl-clockwisegappedcirclearrow	CLOCKWISE GAPPED CIRCLE ARROW
27F4	sppl-rightarrowwithcircledplus	RIGHT ARROW WITH CIRCLED PLUS
27F5	sppl-longleftwardsarrow	LONG LEFTWARDS ARROW
27F6	sppl-longrightwardsarrow	LONG RIGHTWARDS ARROW
27F7	sppl-longleftrightarrow	LONG LEFT RIGHT ARROW
27F8	sppl-longleftwardsdoublearrow	LONG LEFTWARDS DOUBLE ARROW
27F9	sppl-longrightwardsdoublearrow	LONG RIGHTWARDS DOUBLE ARROW
27FA	sppl-longleftrightdoublearrow	LONG LEFT RIGHT DOUBLE ARROW
27FB	sppl-longleftwardsarrowfrombar	LONG LEFTWARDS ARROW FROM BAR
27FC	sppl-longrightwardsarrowfrombar	LONG RIGHTWARDS ARROW FROM BAR
27FD	sppl-longleftwardsdoublearrowfrombar	LONG LEFTWARDS DOUBLE ARROW FROM BAR
27FE	sppl-longrightwardsdoublearrowfrombar	LONG RIGHTWARDS DOUBLE ARROW FROM BAR
27FF	sppl-longrightwardssquigglearrow	LONG RIGHTWARDS SQUIGGLE ARROW
