# Supplemental Mathematical Operators 2A00 - 2AFF
2A00	sppl-narycircleddotoperator	N-ARY CIRCLED DOT OPERATOR
2A01	sppl-narycircledplusoperator	N-ARY CIRCLED PLUS OPERATOR
2A02	sppl-narycircledtimesoperator	N-ARY CIRCLED TIMES OPERATOR
2A03	sppl-naryunionoperatorwithdot	N-ARY UNION OPERATOR WITH DOT
2A04	sppl-naryunionoperatorwithplus	N-ARY UNION OPERATOR WITH PLUS
2A05	sppl-narysquareintersectionoperator	N-ARY SQUARE INTERSECTION OPERATOR
2A06	sppl-narysquareunionoperator	N-ARY SQUARE UNION OPERATOR
2A07	sppl-twologicalandoperator	TWO LOGICAL AND OPERATOR
2A08	sppl-twologicaloroperator	TWO LOGICAL OR OPERATOR
2A09	sppl-narytimesoperator	N-ARY TIMES OPERATOR
2A0A	sppl-modulotwosum	MODULO TWO SUM
2A0B	sppl-summationwithintegral	SUMMATION WITH INTEGRAL
2A0C	sppl-quadrupleintegraloperator	QUADRUPLE INTEGRAL OPERATOR
2A0D	sppl-finitepartintegral	FINITE PART INTEGRAL
2A0E	sppl-integralwithdoublestroke	INTEGRAL WITH DOUBLE STROKE
2A0F	sppl-integralaveragewithslash	INTEGRAL AVERAGE WITH SLASH
2A10	sppl-circulationfunction	CIRCULATION FUNCTION
2A11	sppl-anticlockwiseintegration	ANTICLOCKWISE INTEGRATION
2A12	sppl-lineintegrationwithrectangularpatharoundpole	LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE
2A13	sppl-lineintegrationwithsemicircularpatharoundpole	LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE
2A14	sppl-lineintegrationnotincludingthepole	LINE INTEGRATION NOT INCLUDING THE POLE
2A15	sppl-integralaroundapointoperator	INTEGRAL AROUND A POINT OPERATOR
2A16	sppl-quaternionintegraloperator	QUATERNION INTEGRAL OPERATOR
2A17	sppl-integralwithleftwardsarrowwithhook	INTEGRAL WITH LEFTWARDS ARROW WITH HOOK
2A18	sppl-integralwithtimessign	INTEGRAL WITH TIMES SIGN
2A19	sppl-integralwithintersection	INTEGRAL WITH INTERSECTION
2A1A	sppl-integralwithunion	INTEGRAL WITH UNION
2A1B	sppl-integralwithoverbar	INTEGRAL WITH OVERBAR
2A1C	sppl-integralwithunderbar	INTEGRAL WITH UNDERBAR
2A1D	sppl-join	JOIN
2A1E	sppl-largelefttriangleoperator	LARGE LEFT TRIANGLE OPERATOR
2A1F	sppl-znotationschemacomposition	Z NOTATION SCHEMA COMPOSITION
2A20	sppl-znotationschemapiping	Z NOTATION SCHEMA PIPING
2A21	sppl-znotationschemaprojection	Z NOTATION SCHEMA PROJECTION
2A22	sppl-plussignwithsmallcircleabove	PLUS SIGN WITH SMALL CIRCLE ABOVE
2A23	sppl-plussignwithcircumflexaccentabove	PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE
2A24	sppl-plussignwithtildeabove	PLUS SIGN WITH TILDE ABOVE
2A25	sppl-plussignwithdotbelow	PLUS SIGN WITH DOT BELOW
2A26	sppl-plussignwithtildebelow	PLUS SIGN WITH TILDE BELOW
2A27	sppl-plussignwithsubscripttwo	PLUS SIGN WITH SUBSCRIPT TWO
2A28	sppl-plussignwithblacktriangle	PLUS SIGN WITH BLACK TRIANGLE
2A29	sppl-minussignwithcommaabove	MINUS SIGN WITH COMMA ABOVE
2A2A	sppl-minussignwithdotbelow	MINUS SIGN WITH DOT BELOW
2A2B	sppl-minussignwithfallingdots	MINUS SIGN WITH FALLING DOTS
2A2C	sppl-minussignwithrisingdots	MINUS SIGN WITH RISING DOTS
2A2D	sppl-plussigninlefthalfcircle	PLUS SIGN IN LEFT HALF CIRCLE
2A2E	sppl-plussigninrighthalfcircle	PLUS SIGN IN RIGHT HALF CIRCLE
2A2F	sppl-vectororcrossproduct	VECTOR OR CROSS PRODUCT
2A30	sppl-multiplicationsignwithdotabove	MULTIPLICATION SIGN WITH DOT ABOVE
2A31	sppl-multiplicationsignwithunderbar	MULTIPLICATION SIGN WITH UNDERBAR
2A32	sppl-semidirectproductwithbottomclosed	SEMIDIRECT PRODUCT WITH BOTTOM CLOSED
2A33	sppl-smashproduct	SMASH PRODUCT
2A34	sppl-multiplicationsigninlefthalfcircle	MULTIPLICATION SIGN IN LEFT HALF CIRCLE
2A35	sppl-multiplicationsigninrighthalfcircle	MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
2A36	sppl-circledmultiplicationsignwithcircumflexaccent	CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT
2A37	sppl-multiplicationsignindoublecircle	MULTIPLICATION SIGN IN DOUBLE CIRCLE
2A38	sppl-circleddivisionsign	CIRCLED DIVISION SIGN
2A39	sppl-plussignintriangle	PLUS SIGN IN TRIANGLE
2A3A	sppl-minussignintriangle	MINUS SIGN IN TRIANGLE
2A3B	sppl-multiplicationsignintriangle	MULTIPLICATION SIGN IN TRIANGLE
2A3C	sppl-interiorproduct	INTERIOR PRODUCT
2A3D	sppl-righthandinteriorproduct	RIGHTHAND INTERIOR PRODUCT
2A3E	sppl-znotationrelationalcomposition	Z NOTATION RELATIONAL COMPOSITION
2A3F	sppl-amalgamationorcoproduct	AMALGAMATION OR COPRODUCT
2A40	sppl-intersectionwithdot	INTERSECTION WITH DOT
2A41	sppl-unionwithminussign	UNION WITH MINUS SIGN
2A42	sppl-unionwithoverbar	UNION WITH OVERBAR
2A43	sppl-intersectionwithoverbar	INTERSECTION WITH OVERBAR
2A44	sppl-intersectionwithlogicaland	INTERSECTION WITH LOGICAL AND
2A45	sppl-unionwithlogicalor	UNION WITH LOGICAL OR
2A46	sppl-unionaboveintersection	UNION ABOVE INTERSECTION
2A47	sppl-intersectionaboveunion	INTERSECTION ABOVE UNION
2A48	sppl-unionabovebaraboveintersection	UNION ABOVE BAR ABOVE INTERSECTION
2A49	sppl-intersectionabovebaraboveunion	INTERSECTION ABOVE BAR ABOVE UNION
2A4A	sppl-unionbesideandjoinedwithunion	UNION BESIDE AND JOINED WITH UNION
2A4B	sppl-intersectionbesideandjoinedwithintersection	INTERSECTION BESIDE AND JOINED WITH INTERSECTION
2A4C	sppl-closedunionwithserifs	CLOSED UNION WITH SERIFS
2A4D	sppl-closedintersectionwithserifs	CLOSED INTERSECTION WITH SERIFS
2A4E	sppl-doublesquareintersection	DOUBLE SQUARE INTERSECTION
2A4F	sppl-doublesquareunion	DOUBLE SQUARE UNION
2A50	sppl-closedunionwithserifsandsmashproduct	CLOSED UNION WITH SERIFS AND SMASH PRODUCT
2A51	sppl-logicalandwithdotabove	LOGICAL AND WITH DOT ABOVE
2A52	sppl-logicalorwithdotabove	LOGICAL OR WITH DOT ABOVE
2A53	sppl-doublelogicaland	DOUBLE LOGICAL AND
2A54	sppl-doublelogicalor	DOUBLE LOGICAL OR
2A55	sppl-twointersectinglogicaland	TWO INTERSECTING LOGICAL AND
2A56	sppl-twointersectinglogicalor	TWO INTERSECTING LOGICAL OR
2A57	sppl-slopinglargeor	SLOPING LARGE OR
2A58	sppl-slopinglargeand	SLOPING LARGE AND
2A59	sppl-logicaloroverlappinglogicaland	LOGICAL OR OVERLAPPING LOGICAL AND
2A5A	sppl-logicalandwithmiddlestem	LOGICAL AND WITH MIDDLE STEM
2A5B	sppl-logicalorwithmiddlestem	LOGICAL OR WITH MIDDLE STEM
2A5C	sppl-logicalandwithhorizontaldash	LOGICAL AND WITH HORIZONTAL DASH
2A5D	sppl-logicalorwithhorizontaldash	LOGICAL OR WITH HORIZONTAL DASH
2A5E	sppl-logicalandwithdoubleoverbar	LOGICAL AND WITH DOUBLE OVERBAR
2A5F	sppl-logicalandwithunderbar	LOGICAL AND WITH UNDERBAR
2A60	sppl-logicalandwithdoubleunderbar	LOGICAL AND WITH DOUBLE UNDERBAR
2A61	sppl-smallveewithunderbar	SMALL VEE WITH UNDERBAR
