# Syloti Nagri A800 - A82F
A800	sylt-sylotinagrilettera	SYLOTI NAGRI LETTER A
A801	sylt-sylotinagriletteri	SYLOTI NAGRI LETTER I
A802	sylt-sylotinagrisigndvisvara	SYLOTI NAGRI SIGN DVISVARA
A803	sylt-sylotinagriletteru	SYLOTI NAGRI LETTER U
A804	sylt-sylotinagrilettere	SYLOTI NAGRI LETTER E
A805	sylt-sylotinagrilettero	SYLOTI NAGRI LETTER O
A806	sylt-sylotinagrisignhasanta	SYLOTI NAGRI SIGN HASANTA
A807	sylt-sylotinagriletterko	SYLOTI NAGRI LETTER KO
A808	sylt-sylotinagriletterkho	SYLOTI NAGRI LETTER KHO
A809	sylt-sylotinagrilettergo	SYLOTI NAGRI LETTER GO
A80A	sylt-sylotinagrilettergho	SYLOTI NAGRI LETTER GHO
A80B	sylt-sylotinagrisignanusvara	SYLOTI NAGRI SIGN ANUSVARA
A80C	sylt-sylotinagriletterco	SYLOTI NAGRI LETTER CO
A80D	sylt-sylotinagrilettercho	SYLOTI NAGRI LETTER CHO
A80E	sylt-sylotinagriletterjo	SYLOTI NAGRI LETTER JO
A80F	sylt-sylotinagriletterjho	SYLOTI NAGRI LETTER JHO
A810	sylt-sylotinagrilettertto	SYLOTI NAGRI LETTER TTO
A811	sylt-sylotinagriletterttho	SYLOTI NAGRI LETTER TTHO
A812	sylt-sylotinagriletterddo	SYLOTI NAGRI LETTER DDO
A813	sylt-sylotinagriletterddho	SYLOTI NAGRI LETTER DDHO
A814	sylt-sylotinagriletterto	SYLOTI NAGRI LETTER TO
A815	sylt-sylotinagrilettertho	SYLOTI NAGRI LETTER THO
A816	sylt-sylotinagriletterdo	SYLOTI NAGRI LETTER DO
A817	sylt-sylotinagriletterdho	SYLOTI NAGRI LETTER DHO
A818	sylt-sylotinagriletterno	SYLOTI NAGRI LETTER NO
A819	sylt-sylotinagriletterpo	SYLOTI NAGRI LETTER PO
A81A	sylt-sylotinagriletterpho	SYLOTI NAGRI LETTER PHO
A81B	sylt-sylotinagriletterbo	SYLOTI NAGRI LETTER BO
A81C	sylt-sylotinagriletterbho	SYLOTI NAGRI LETTER BHO
A81D	sylt-sylotinagrilettermo	SYLOTI NAGRI LETTER MO
A81E	sylt-sylotinagriletterro	SYLOTI NAGRI LETTER RO
A81F	sylt-sylotinagriletterlo	SYLOTI NAGRI LETTER LO
A820	sylt-sylotinagriletterrro	SYLOTI NAGRI LETTER RRO
A821	sylt-sylotinagriletterso	SYLOTI NAGRI LETTER SO
A822	sylt-sylotinagriletterho	SYLOTI NAGRI LETTER HO
A823	sylt-sylotinagrivowelsigna	SYLOTI NAGRI VOWEL SIGN A
A824	sylt-sylotinagrivowelsigni	SYLOTI NAGRI VOWEL SIGN I
A825	sylt-sylotinagrivowelsignu	SYLOTI NAGRI VOWEL SIGN U
A826	sylt-sylotinagrivowelsigne	SYLOTI NAGRI VOWEL SIGN E
A827	sylt-sylotinagrivowelsignoo	SYLOTI NAGRI VOWEL SIGN OO
A828	sylt-sylotinagripoetrymark1	SYLOTI NAGRI POETRY MARK-1
A829	sylt-sylotinagripoetrymark2	SYLOTI NAGRI POETRY MARK-2
A82A	sylt-sylotinagripoetrymark3	SYLOTI NAGRI POETRY MARK-3
A82B	sylt-sylotinagripoetrymark4	SYLOTI NAGRI POETRY MARK-4
