# Syriac 0700 - 074F
0700	syrc-syriacendofparagraph	SYRIAC END OF PARAGRAPH
0701	syrc-syriacsupralinearfullstop	SYRIAC SUPRALINEAR FULL STOP
0702	syrc-syriacsublinearfullstop	SYRIAC SUBLINEAR FULL STOP
0703	syrc-syriacsupralinearcolon	SYRIAC SUPRALINEAR COLON
0704	syrc-syriacsublinearcolon	SYRIAC SUBLINEAR COLON
0705	syrc-syriachorizontalcolon	SYRIAC HORIZONTAL COLON
0706	syrc-syriaccolonskewedleft	SYRIAC COLON SKEWED LEFT
0707	syrc-syriaccolonskewedright	SYRIAC COLON SKEWED RIGHT
0708	syrc-syriacsupralinearcolonskewedleft	SYRIAC SUPRALINEAR COLON SKEWED LEFT
0709	syrc-syriacsublinearcolonskewedright	SYRIAC SUBLINEAR COLON SKEWED RIGHT
070A	syrc-syriaccontraction	SYRIAC CONTRACTION
070B	syrc-syriacharkleanobelus	SYRIAC HARKLEAN OBELUS
070C	syrc-syriacharkleanmetobelus	SYRIAC HARKLEAN METOBELUS
070D	syrc-syriacharkleanasteriscus	SYRIAC HARKLEAN ASTERISCUS
070F	syrc-syriacabbreviationmark	SYRIAC ABBREVIATION MARK
0710	syrc-syriacletteralaph	SYRIAC LETTER ALAPH
0711	syrc-syriaclettersuperscriptalaph	SYRIAC LETTER SUPERSCRIPT ALAPH
0712	syrc-syriacletterbeth	SYRIAC LETTER BETH
0713	syrc-syriaclettergamal	SYRIAC LETTER GAMAL
0714	syrc-syriaclettergamalgarshuni	SYRIAC LETTER GAMAL GARSHUNI
0715	syrc-syriacletterdalath	SYRIAC LETTER DALATH
0716	syrc-syriacletterdotlessdalathrish	SYRIAC LETTER DOTLESS DALATH RISH
0717	syrc-syriacletterhe	SYRIAC LETTER HE
0718	syrc-syriacletterwaw	SYRIAC LETTER WAW
0719	syrc-syriacletterzain	SYRIAC LETTER ZAIN
071A	syrc-syriacletterheth	SYRIAC LETTER HETH
071B	syrc-syriacletterteth	SYRIAC LETTER TETH
071C	syrc-syriaclettertethgarshuni	SYRIAC LETTER TETH GARSHUNI
071D	syrc-syriacletteryudh	SYRIAC LETTER YUDH
071E	syrc-syriacletteryudhhe	SYRIAC LETTER YUDH HE
071F	syrc-syriacletterkaph	SYRIAC LETTER KAPH
0720	syrc-syriacletterlamadh	SYRIAC LETTER LAMADH
0721	syrc-syriaclettermim	SYRIAC LETTER MIM
0722	syrc-syriacletternun	SYRIAC LETTER NUN
0723	syrc-syriaclettersemkath	SYRIAC LETTER SEMKATH
0724	syrc-syriacletterfinalsemkath	SYRIAC LETTER FINAL SEMKATH
0725	syrc-syriaclettere	SYRIAC LETTER E
0726	syrc-syriacletterpe	SYRIAC LETTER PE
0727	syrc-syriacletterreversedpe	SYRIAC LETTER REVERSED PE
0728	syrc-syriaclettersadhe	SYRIAC LETTER SADHE
0729	syrc-syriacletterqaph	SYRIAC LETTER QAPH
072A	syrc-syriacletterrish	SYRIAC LETTER RISH
072B	syrc-syriaclettershin	SYRIAC LETTER SHIN
072C	syrc-syriaclettertaw	SYRIAC LETTER TAW
072D	syrc-syriacletterpersianbheth	SYRIAC LETTER PERSIAN BHETH
072E	syrc-syriacletterpersianghamal	SYRIAC LETTER PERSIAN GHAMAL
072F	syrc-syriacletterpersiandhalath	SYRIAC LETTER PERSIAN DHALATH
0730	syrc-syriacpthahaabove	SYRIAC PTHAHA ABOVE
0731	syrc-syriacpthahabelow	SYRIAC PTHAHA BELOW
0732	syrc-syriacpthahadotted	SYRIAC PTHAHA DOTTED
0733	syrc-syriaczqaphaabove	SYRIAC ZQAPHA ABOVE
0734	syrc-syriaczqaphabelow	SYRIAC ZQAPHA BELOW
0735	syrc-syriaczqaphadotted	SYRIAC ZQAPHA DOTTED
0736	syrc-syriacrbasaabove	SYRIAC RBASA ABOVE
0737	syrc-syriacrbasabelow	SYRIAC RBASA BELOW
0738	syrc-syriacdottedzlamahorizontal	SYRIAC DOTTED ZLAMA HORIZONTAL
0739	syrc-syriacdottedzlamaangular	SYRIAC DOTTED ZLAMA ANGULAR
073A	syrc-syriachbasaabove	SYRIAC HBASA ABOVE
073B	syrc-syriachbasabelow	SYRIAC HBASA BELOW
073C	syrc-syriachbasaesasadotted	SYRIAC HBASA-ESASA DOTTED
073D	syrc-syriacesasaabove	SYRIAC ESASA ABOVE
073E	syrc-syriacesasabelow	SYRIAC ESASA BELOW
073F	syrc-syriacrwaha	SYRIAC RWAHA
0740	syrc-syriacfemininedot	SYRIAC FEMININE DOT
0741	syrc-syriacqushshaya	SYRIAC QUSHSHAYA
0742	syrc-syriacrukkakha	SYRIAC RUKKAKHA
0743	syrc-syriactwoverticaldotsabove	SYRIAC TWO VERTICAL DOTS ABOVE
0744	syrc-syriactwoverticaldotsbelow	SYRIAC TWO VERTICAL DOTS BELOW
0745	syrc-syriacthreedotsabove	SYRIAC THREE DOTS ABOVE
0746	syrc-syriacthreedotsbelow	SYRIAC THREE DOTS BELOW
0747	syrc-syriacobliquelineabove	SYRIAC OBLIQUE LINE ABOVE
0748	syrc-syriacobliquelinebelow	SYRIAC OBLIQUE LINE BELOW
0749	syrc-syriacmusic	SYRIAC MUSIC
074A	syrc-syriacbarrekh	SYRIAC BARREKH
074D	syrc-syriaclettersogdianzhain	SYRIAC LETTER SOGDIAN ZHAIN
074E	syrc-syriaclettersogdiankhaph	SYRIAC LETTER SOGDIAN KHAPH
074F	syrc-syriaclettersogdianfe	SYRIAC LETTER SOGDIAN FE
