# Tags E0000 - E007F
E0001	tgs-languagetag	LANGUAGE TAG
E0020	tgs-tagspace	TAG SPACE
E0021	tgs-tagexclamationmark	TAG EXCLAMATION MARK
E0022	tgs-tagquotationmark	TAG QUOTATION MARK
E0023	tgs-tagnumbersign	TAG NUMBER SIGN
E0024	tgs-tagdollarsign	TAG DOLLAR SIGN
E0025	tgs-tagpercentsign	TAG PERCENT SIGN
E0026	tgs-tagampersand	TAG AMPERSAND
E0027	tgs-tagapostrophe	TAG APOSTROPHE
E0028	tgs-tagleftparenthesis	TAG LEFT PARENTHESIS
E0029	tgs-tagrightparenthesis	TAG RIGHT PARENTHESIS
E002A	tgs-tagasterisk	TAG ASTERISK
E002B	tgs-tagplussign	TAG PLUS SIGN
E002C	tgs-tagcomma	TAG COMMA
E002D	tgs-taghyphenminus	TAG HYPHEN-MINUS
E002E	tgs-tagfullstop	TAG FULL STOP
E002F	tgs-tagsolidus	TAG SOLIDUS
E0030	tgs-tagdigitzero	TAG DIGIT ZERO
E0031	tgs-tagdigitone	TAG DIGIT ONE
E0032	tgs-tagdigittwo	TAG DIGIT TWO
E0033	tgs-tagdigitthree	TAG DIGIT THREE
E0034	tgs-tagdigitfour	TAG DIGIT FOUR
E0035	tgs-tagdigitfive	TAG DIGIT FIVE
E0036	tgs-tagdigitsix	TAG DIGIT SIX
E0037	tgs-tagdigitseven	TAG DIGIT SEVEN
E0038	tgs-tagdigiteight	TAG DIGIT EIGHT
E0039	tgs-tagdigitnine	TAG DIGIT NINE
E003A	tgs-tagcolon	TAG COLON
E003B	tgs-tagsemicolon	TAG SEMICOLON
E003C	tgs-taglessthansign	TAG LESS-THAN SIGN
E003D	tgs-tagequalssign	TAG EQUALS SIGN
E003E	tgs-taggreaterthansign	TAG GREATER-THAN SIGN
E003F	tgs-tagquestionmark	TAG QUESTION MARK
E0040	tgs-tagcommercialat	TAG COMMERCIAL AT
E0041	tgs-taglatincapitallettera	TAG LATIN CAPITAL LETTER A
E0042	tgs-taglatincapitalletterb	TAG LATIN CAPITAL LETTER B
E0043	tgs-taglatincapitalletterc	TAG LATIN CAPITAL LETTER C
E0044	tgs-taglatincapitalletterd	TAG LATIN CAPITAL LETTER D
E0045	tgs-taglatincapitallettere	TAG LATIN CAPITAL LETTER E
E0046	tgs-taglatincapitalletterf	TAG LATIN CAPITAL LETTER F
E0047	tgs-taglatincapitalletterg	TAG LATIN CAPITAL LETTER G
E0048	tgs-taglatincapitalletterh	TAG LATIN CAPITAL LETTER H
E0049	tgs-taglatincapitalletteri	TAG LATIN CAPITAL LETTER I
E004A	tgs-taglatincapitalletterj	TAG LATIN CAPITAL LETTER J
E004B	tgs-taglatincapitalletterk	TAG LATIN CAPITAL LETTER K
E004C	tgs-taglatincapitalletterl	TAG LATIN CAPITAL LETTER L
E004D	tgs-taglatincapitalletterm	TAG LATIN CAPITAL LETTER M
E004E	tgs-taglatincapitallettern	TAG LATIN CAPITAL LETTER N
E004F	tgs-taglatincapitallettero	TAG LATIN CAPITAL LETTER O
E0050	tgs-taglatincapitalletterp	TAG LATIN CAPITAL LETTER P
E0051	tgs-taglatincapitalletterq	TAG LATIN CAPITAL LETTER Q
E0052	tgs-taglatincapitalletterr	TAG LATIN CAPITAL LETTER R
E0053	tgs-taglatincapitalletters	TAG LATIN CAPITAL LETTER S
E0054	tgs-taglatincapitallettert	TAG LATIN CAPITAL LETTER T
E0055	tgs-taglatincapitalletteru	TAG LATIN CAPITAL LETTER U
E0056	tgs-taglatincapitalletterv	TAG LATIN CAPITAL LETTER V
E0057	tgs-taglatincapitalletterw	TAG LATIN CAPITAL LETTER W
E0058	tgs-taglatincapitalletterx	TAG LATIN CAPITAL LETTER X
E0059	tgs-taglatincapitallettery	TAG LATIN CAPITAL LETTER Y
E005A	tgs-taglatincapitalletterz	TAG LATIN CAPITAL LETTER Z
E005B	tgs-tagleftsquarebracket	TAG LEFT SQUARE BRACKET
E005C	tgs-tagreversesolidus	TAG REVERSE SOLIDUS
E005D	tgs-tagrightsquarebracket	TAG RIGHT SQUARE BRACKET
E005E	tgs-tagcircumflexaccent	TAG CIRCUMFLEX ACCENT
E005F	tgs-taglowline	TAG LOW LINE
E0060	tgs-taggraveaccent	TAG GRAVE ACCENT
E0061	tgs-taglatinsmalllettera	TAG LATIN SMALL LETTER A
E0062	tgs-taglatinsmallletterb	TAG LATIN SMALL LETTER B
E0063	tgs-taglatinsmallletterc	TAG LATIN SMALL LETTER C
E0064	tgs-taglatinsmallletterd	TAG LATIN SMALL LETTER D
E0065	tgs-taglatinsmalllettere	TAG LATIN SMALL LETTER E
E0066	tgs-taglatinsmallletterf	TAG LATIN SMALL LETTER F
E0067	tgs-taglatinsmallletterg	TAG LATIN SMALL LETTER G
E0068	tgs-taglatinsmallletterh	TAG LATIN SMALL LETTER H
E0069	tgs-taglatinsmallletteri	TAG LATIN SMALL LETTER I
E006A	tgs-taglatinsmallletterj	TAG LATIN SMALL LETTER J
