# Tai Le 1950 - 197F
1950	tl-taileletterka	TAI LE LETTER KA
1951	tl-taileletterxa	TAI LE LETTER XA
1952	tl-taileletternga	TAI LE LETTER NGA
1953	tl-tailelettertsa	TAI LE LETTER TSA
1954	tl-tailelettersa	TAI LE LETTER SA
1955	tl-taileletterya	TAI LE LETTER YA
1956	tl-taileletterta	TAI LE LETTER TA
1957	tl-tailelettertha	TAI LE LETTER THA
1958	tl-taileletterla	TAI LE LETTER LA
1959	tl-taileletterpa	TAI LE LETTER PA
195A	tl-taileletterpha	TAI LE LETTER PHA
195B	tl-taileletterma	TAI LE LETTER MA
195C	tl-taileletterfa	TAI LE LETTER FA
195D	tl-taileletterva	TAI LE LETTER VA
195E	tl-taileletterha	TAI LE LETTER HA
195F	tl-taileletterqa	TAI LE LETTER QA
1960	tl-taileletterkha	TAI LE LETTER KHA
1961	tl-tailelettertsha	TAI LE LETTER TSHA
1962	tl-taileletterna	TAI LE LETTER NA
1963	tl-tailelettera	TAI LE LETTER A
1964	tl-taileletteri	TAI LE LETTER I
1965	tl-taileletteree	TAI LE LETTER EE
1966	tl-tailelettereh	TAI LE LETTER EH
1967	tl-taileletteru	TAI LE LETTER U
1968	tl-taileletteroo	TAI LE LETTER OO
1969	tl-tailelettero	TAI LE LETTER O
196A	tl-taileletterue	TAI LE LETTER UE
196B	tl-tailelettere	TAI LE LETTER E
196C	tl-taileletteraue	TAI LE LETTER AUE
196D	tl-taileletterai	TAI LE LETTER AI
1970	tl-tailelettertone2	TAI LE LETTER TONE-2
1971	tl-tailelettertone3	TAI LE LETTER TONE-3
1972	tl-tailelettertone4	TAI LE LETTER TONE-4
1973	tl-tailelettertone5	TAI LE LETTER TONE-5
1974	tl-tailelettertone6	TAI LE LETTER TONE-6
