# Tai Xuan Jing Symbols 1D300 - 1D35F
1D300	txnj-monogramforearth	MONOGRAM FOR EARTH
1D301	txnj-digramforheavenlyearth	DIGRAM FOR HEAVENLY EARTH
1D302	txnj-digramforhumanearth	DIGRAM FOR HUMAN EARTH
1D303	txnj-digramforearthlyheaven	DIGRAM FOR EARTHLY HEAVEN
1D304	txnj-digramforearthlyhuman	DIGRAM FOR EARTHLY HUMAN
1D305	txnj-digramforearth	DIGRAM FOR EARTH
1D306	txnj-tetragramforcentre	TETRAGRAM FOR CENTRE
1D307	txnj-tetragramforfullcircle	TETRAGRAM FOR FULL CIRCLE
1D308	txnj-tetragramformired	TETRAGRAM FOR MIRED
1D309	txnj-tetragramforbarrier	TETRAGRAM FOR BARRIER
1D30A	txnj-tetragramforkeepingsmall	TETRAGRAM FOR KEEPING SMALL
1D30B	txnj-tetragramforcontrariety	TETRAGRAM FOR CONTRARIETY
1D30C	txnj-tetragramforascent	TETRAGRAM FOR ASCENT
1D30D	txnj-tetragramforopposition	TETRAGRAM FOR OPPOSITION
1D30E	txnj-tetragramforbranchingout	TETRAGRAM FOR BRANCHING OUT
1D30F	txnj-tetragramfordefectivenessordistortion	TETRAGRAM FOR DEFECTIVENESS OR DISTORTION
1D310	txnj-tetragramfordivergence	TETRAGRAM FOR DIVERGENCE
1D311	txnj-tetragramforyouthfulness	TETRAGRAM FOR YOUTHFULNESS
1D312	txnj-tetragramforincrease	TETRAGRAM FOR INCREASE
1D313	txnj-tetragramforpenetration	TETRAGRAM FOR PENETRATION
1D314	txnj-tetragramforreach	TETRAGRAM FOR REACH
1D315	txnj-tetragramforcontact	TETRAGRAM FOR CONTACT
1D316	txnj-tetragramforholdingback	TETRAGRAM FOR HOLDING BACK
1D317	txnj-tetragramforwaiting	TETRAGRAM FOR WAITING
1D318	txnj-tetragramforfollowing	TETRAGRAM FOR FOLLOWING
1D319	txnj-tetragramforadvance	TETRAGRAM FOR ADVANCE
1D31A	txnj-tetragramforrelease	TETRAGRAM FOR RELEASE
1D31B	txnj-tetragramforresistance	TETRAGRAM FOR RESISTANCE
1D31C	txnj-tetragramforease	TETRAGRAM FOR EASE
1D31D	txnj-tetragramforjoy	TETRAGRAM FOR JOY
1D31E	txnj-tetragramforcontention	TETRAGRAM FOR CONTENTION
1D31F	txnj-tetragramforendeavour	TETRAGRAM FOR ENDEAVOUR
1D320	txnj-tetragramforduties	TETRAGRAM FOR DUTIES
1D321	txnj-tetragramforchange	TETRAGRAM FOR CHANGE
1D322	txnj-tetragramfordecisiveness	TETRAGRAM FOR DECISIVENESS
1D323	txnj-tetragramforboldresolution	TETRAGRAM FOR BOLD RESOLUTION
1D324	txnj-tetragramforpacking	TETRAGRAM FOR PACKING
1D325	txnj-tetragramforlegion	TETRAGRAM FOR LEGION
1D326	txnj-tetragramforcloseness	TETRAGRAM FOR CLOSENESS
1D327	txnj-tetragramforkinship	TETRAGRAM FOR KINSHIP
1D328	txnj-tetragramforgathering	TETRAGRAM FOR GATHERING
1D329	txnj-tetragramforstrength	TETRAGRAM FOR STRENGTH
1D32A	txnj-tetragramforpurity	TETRAGRAM FOR PURITY
1D32B	txnj-tetragramforfullness	TETRAGRAM FOR FULLNESS
1D32C	txnj-tetragramforresidence	TETRAGRAM FOR RESIDENCE
1D32D	txnj-tetragramforlawormodel	TETRAGRAM FOR LAW OR MODEL
1D32E	txnj-tetragramforresponse	TETRAGRAM FOR RESPONSE
1D32F	txnj-tetragramforgoingtomeet	TETRAGRAM FOR GOING TO MEET
1D330	txnj-tetragramforencounters	TETRAGRAM FOR ENCOUNTERS
1D331	txnj-tetragramforstove	TETRAGRAM FOR STOVE
1D332	txnj-tetragramforgreatness	TETRAGRAM FOR GREATNESS
1D333	txnj-tetragramforenlargement	TETRAGRAM FOR ENLARGEMENT
1D334	txnj-tetragramforpattern	TETRAGRAM FOR PATTERN
1D335	txnj-tetragramforritual	TETRAGRAM FOR RITUAL
1D336	txnj-tetragramforflight	TETRAGRAM FOR FLIGHT
1D337	txnj-tetragramforvastnessorwasting	TETRAGRAM FOR VASTNESS OR WASTING
1D338	txnj-tetragramforconstancy	TETRAGRAM FOR CONSTANCY
1D339	txnj-tetragramformeasure	TETRAGRAM FOR MEASURE
1D33A	txnj-tetragramforeternity	TETRAGRAM FOR ETERNITY
1D33B	txnj-tetragramforunity	TETRAGRAM FOR UNITY
1D33C	txnj-tetragramfordiminishment	TETRAGRAM FOR DIMINISHMENT
1D33D	txnj-tetragramforclosedmouth	TETRAGRAM FOR CLOSED MOUTH
1D33E	txnj-tetragramforguardedness	TETRAGRAM FOR GUARDEDNESS
1D33F	txnj-tetragramforgatheringin	TETRAGRAM FOR GATHERING IN
1D340	txnj-tetragramformassing	TETRAGRAM FOR MASSING
1D341	txnj-tetragramforaccumulation	TETRAGRAM FOR ACCUMULATION
1D342	txnj-tetragramforembellishment	TETRAGRAM FOR EMBELLISHMENT
1D343	txnj-tetragramfordoubt	TETRAGRAM FOR DOUBT
1D344	txnj-tetragramforwatch	TETRAGRAM FOR WATCH
1D345	txnj-tetragramforsinking	TETRAGRAM FOR SINKING
1D346	txnj-tetragramforinner	TETRAGRAM FOR INNER
1D347	txnj-tetragramfordeparture	TETRAGRAM FOR DEPARTURE
1D348	txnj-tetragramfordarkening	TETRAGRAM FOR DARKENING
1D349	txnj-tetragramfordimming	TETRAGRAM FOR DIMMING
1D34A	txnj-tetragramforexhaustion	TETRAGRAM FOR EXHAUSTION
1D34B	txnj-tetragramforseverance	TETRAGRAM FOR SEVERANCE
1D34C	txnj-tetragramforstoppage	TETRAGRAM FOR STOPPAGE
1D34D	txnj-tetragramforhardness	TETRAGRAM FOR HARDNESS
1D34E	txnj-tetragramforcompletion	TETRAGRAM FOR COMPLETION
1D34F	txnj-tetragramforclosure	TETRAGRAM FOR CLOSURE
1D350	txnj-tetragramforfailure	TETRAGRAM FOR FAILURE
1D351	txnj-tetragramforaggravation	TETRAGRAM FOR AGGRAVATION
1D352	txnj-tetragramforcompliance	TETRAGRAM FOR COMPLIANCE
1D353	txnj-tetragramforontheverge	TETRAGRAM FOR ON THE VERGE
1D354	txnj-tetragramfordifficulties	TETRAGRAM FOR DIFFICULTIES
1D355	txnj-tetragramforlabouring	TETRAGRAM FOR LABOURING
1D356	txnj-tetragramforfostering	TETRAGRAM FOR FOSTERING
