# Telugu 0C00 - 0C7F
0C01	tlg-telugusigncandrabindu	TELUGU SIGN CANDRABINDU
0C02	tlg-telugusignanusvara	TELUGU SIGN ANUSVARA
0C03	tlg-telugusignvisarga	TELUGU SIGN VISARGA
0C05	tlg-telugulettera	TELUGU LETTER A
0C06	tlg-teluguletteraa	TELUGU LETTER AA
0C07	tlg-teluguletteri	TELUGU LETTER I
0C08	tlg-teluguletterii	TELUGU LETTER II
0C09	tlg-teluguletteru	TELUGU LETTER U
0C0A	tlg-teluguletteruu	TELUGU LETTER UU
0C0B	tlg-telugulettervocalicr	TELUGU LETTER VOCALIC R
0C0C	tlg-telugulettervocalicl	TELUGU LETTER VOCALIC L
0C0E	tlg-telugulettere	TELUGU LETTER E
0C0F	tlg-teluguletteree	TELUGU LETTER EE
0C10	tlg-teluguletterai	TELUGU LETTER AI
0C12	tlg-telugulettero	TELUGU LETTER O
0C13	tlg-teluguletteroo	TELUGU LETTER OO
0C14	tlg-teluguletterau	TELUGU LETTER AU
0C15	tlg-teluguletterka	TELUGU LETTER KA
0C16	tlg-teluguletterkha	TELUGU LETTER KHA
0C17	tlg-teluguletterga	TELUGU LETTER GA
0C18	tlg-telugulettergha	TELUGU LETTER GHA
0C19	tlg-teluguletternga	TELUGU LETTER NGA
0C1A	tlg-teluguletterca	TELUGU LETTER CA
0C1B	tlg-telugulettercha	TELUGU LETTER CHA
0C1C	tlg-teluguletterja	TELUGU LETTER JA
0C1D	tlg-teluguletterjha	TELUGU LETTER JHA
0C1E	tlg-teluguletternya	TELUGU LETTER NYA
0C1F	tlg-telugulettertta	TELUGU LETTER TTA
0C20	tlg-teluguletterttha	TELUGU LETTER TTHA
0C21	tlg-teluguletterdda	TELUGU LETTER DDA
0C22	tlg-teluguletterddha	TELUGU LETTER DDHA
0C23	tlg-teluguletternna	TELUGU LETTER NNA
0C24	tlg-teluguletterta	TELUGU LETTER TA
0C25	tlg-telugulettertha	TELUGU LETTER THA
0C26	tlg-teluguletterda	TELUGU LETTER DA
0C27	tlg-teluguletterdha	TELUGU LETTER DHA
0C28	tlg-teluguletterna	TELUGU LETTER NA
0C2A	tlg-teluguletterpa	TELUGU LETTER PA
0C2B	tlg-teluguletterpha	TELUGU LETTER PHA
0C2C	tlg-teluguletterba	TELUGU LETTER BA
0C2D	tlg-teluguletterbha	TELUGU LETTER BHA
0C2E	tlg-teluguletterma	TELUGU LETTER MA
0C2F	tlg-teluguletterya	TELUGU LETTER YA
0C30	tlg-teluguletterra	TELUGU LETTER RA
0C31	tlg-teluguletterrra	TELUGU LETTER RRA
0C32	tlg-teluguletterla	TELUGU LETTER LA
0C33	tlg-teluguletterlla	TELUGU LETTER LLA
0C35	tlg-teluguletterva	TELUGU LETTER VA
0C36	tlg-telugulettersha	TELUGU LETTER SHA
0C37	tlg-teluguletterssa	TELUGU LETTER SSA
0C38	tlg-telugulettersa	TELUGU LETTER SA
0C39	tlg-teluguletterha	TELUGU LETTER HA
0C3D	tlg-telugusignavagraha	TELUGU SIGN AVAGRAHA
0C3E	tlg-teluguvowelsignaa	TELUGU VOWEL SIGN AA
0C3F	tlg-teluguvowelsigni	TELUGU VOWEL SIGN I
0C40	tlg-teluguvowelsignii	TELUGU VOWEL SIGN II
0C41	tlg-teluguvowelsignu	TELUGU VOWEL SIGN U
0C42	tlg-teluguvowelsignuu	TELUGU VOWEL SIGN UU
0C43	tlg-teluguvowelsignvocalicr	TELUGU VOWEL SIGN VOCALIC R
0C44	tlg-teluguvowelsignvocalicrr	TELUGU VOWEL SIGN VOCALIC RR
0C46	tlg-teluguvowelsigne	TELUGU VOWEL SIGN E
0C47	tlg-teluguvowelsignee	TELUGU VOWEL SIGN EE
0C48	tlg-teluguvowelsignai	TELUGU VOWEL SIGN AI
0C4A	tlg-teluguvowelsigno	TELUGU VOWEL SIGN O
0C4B	tlg-teluguvowelsignoo	TELUGU VOWEL SIGN OO
0C4C	tlg-teluguvowelsignau	TELUGU VOWEL SIGN AU
0C4D	tlg-telugusignvirama	TELUGU SIGN VIRAMA
0C55	tlg-telugulengthmark	TELUGU LENGTH MARK
0C56	tlg-teluguailengthmark	TELUGU AI LENGTH MARK
0C58	tlg-telugulettertsa	TELUGU LETTER TSA
0C59	tlg-teluguletterdza	TELUGU LETTER DZA
0C60	tlg-telugulettervocalicrr	TELUGU LETTER VOCALIC RR
0C61	tlg-telugulettervocalicll	TELUGU LETTER VOCALIC LL
0C62	tlg-teluguvowelsignvocalicl	TELUGU VOWEL SIGN VOCALIC L
0C63	tlg-teluguvowelsignvocalicll	TELUGU VOWEL SIGN VOCALIC LL
0C66	tlg-telugudigitzero	TELUGU DIGIT ZERO
0C67	tlg-telugudigitone	TELUGU DIGIT ONE
0C68	tlg-telugudigittwo	TELUGU DIGIT TWO
0C69	tlg-telugudigitthree	TELUGU DIGIT THREE
0C6A	tlg-telugudigitfour	TELUGU DIGIT FOUR
0C6B	tlg-telugudigitfive	TELUGU DIGIT FIVE
0C6C	tlg-telugudigitsix	TELUGU DIGIT SIX
0C6D	tlg-telugudigitseven	TELUGU DIGIT SEVEN
0C6E	tlg-telugudigiteight	TELUGU DIGIT EIGHT
