# Thaana 0780 - 07BF
0780	thn-thaanaletterhaa	THAANA LETTER HAA
0781	thn-thaanalettershaviyani	THAANA LETTER SHAVIYANI
0782	thn-thaanaletternoonu	THAANA LETTER NOONU
0783	thn-thaanaletterraa	THAANA LETTER RAA
0784	thn-thaanaletterbaa	THAANA LETTER BAA
0785	thn-thaanaletterlhaviyani	THAANA LETTER LHAVIYANI
0786	thn-thaanaletterkaafu	THAANA LETTER KAAFU
0787	thn-thaanaletteralifu	THAANA LETTER ALIFU
0788	thn-thaanalettervaavu	THAANA LETTER VAAVU
0789	thn-thaanalettermeemu	THAANA LETTER MEEMU
078A	thn-thaanaletterfaafu	THAANA LETTER FAAFU
078B	thn-thaanaletterdhaalu	THAANA LETTER DHAALU
078C	thn-thaanaletterthaa	THAANA LETTER THAA
078D	thn-thaanaletterlaamu	THAANA LETTER LAAMU
078E	thn-thaanalettergaafu	THAANA LETTER GAAFU
078F	thn-thaanalettergnaviyani	THAANA LETTER GNAVIYANI
0790	thn-thaanaletterseenu	THAANA LETTER SEENU
0791	thn-thaanaletterdaviyani	THAANA LETTER DAVIYANI
0792	thn-thaanaletterzaviyani	THAANA LETTER ZAVIYANI
0793	thn-thaanalettertaviyani	THAANA LETTER TAVIYANI
0794	thn-thaanaletteryaa	THAANA LETTER YAA
0795	thn-thaanaletterpaviyani	THAANA LETTER PAVIYANI
0796	thn-thaanaletterjaviyani	THAANA LETTER JAVIYANI
0797	thn-thaanaletterchaviyani	THAANA LETTER CHAVIYANI
0798	thn-thaanaletterttaa	THAANA LETTER TTAA
0799	thn-thaanaletterhhaa	THAANA LETTER HHAA
079A	thn-thaanaletterkhaa	THAANA LETTER KHAA
079B	thn-thaanaletterthaalu	THAANA LETTER THAALU
079C	thn-thaanaletterzaa	THAANA LETTER ZAA
079D	thn-thaanalettersheenu	THAANA LETTER SHEENU
079E	thn-thaanalettersaadhu	THAANA LETTER SAADHU
079F	thn-thaanaletterdaadhu	THAANA LETTER DAADHU
07A0	thn-thaanaletterto	THAANA LETTER TO
07A1	thn-thaanaletterzo	THAANA LETTER ZO
07A2	thn-thaanaletterainu	THAANA LETTER AINU
07A3	thn-thaanaletterghainu	THAANA LETTER GHAINU
07A4	thn-thaanaletterqaafu	THAANA LETTER QAAFU
07A5	thn-thaanaletterwaavu	THAANA LETTER WAAVU
07A6	thn-thaanaabafili	THAANA ABAFILI
07A7	thn-thaanaaabaafili	THAANA AABAAFILI
07A8	thn-thaanaibifili	THAANA IBIFILI
07A9	thn-thaanaeebeefili	THAANA EEBEEFILI
07AA	thn-thaanaubufili	THAANA UBUFILI
07AB	thn-thaanaooboofili	THAANA OOBOOFILI
07AC	thn-thaanaebefili	THAANA EBEFILI
07AD	thn-thaanaeybeyfili	THAANA EYBEYFILI
07AE	thn-thaanaobofili	THAANA OBOFILI
07AF	thn-thaanaoaboafili	THAANA OABOAFILI
07B0	thn-thaanasukun	THAANA SUKUN
07B1	thn-thaanaletternaa	THAANA LETTER NAA
