# Tibetan 0F00 - 0FFF
0F00	SYLLABLEOM	TIBETAN SYLLABLE OM
0F01	MARKGTERYIGMGOTRUNCATEDA	TIBETAN MARK GTER YIG MGO TRUNCATED A
0F02	MARKGTERYIGMGO-UMRNAMBCADMA	TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA
0F03	MARKGTERYIGMGO-UMGTERTSHEGMA	TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA
0F04	MARKINITIALYIGMGOMDUNMA	TIBETAN MARK INITIAL YIG MGO MDUN MA
0F05	MARKCLOSINGYIGMGOSGABMA	TIBETAN MARK CLOSING YIG MGO SGAB MA
0F06	MARKCARETYIGMGOPHURSHADMA	TIBETAN MARK CARET YIG MGO PHUR SHAD MA
0F07	MARKYIGMGOTSHEGSHADMA	TIBETAN MARK YIG MGO TSHEG SHAD MA
0F08	MARKSBRULSHAD	TIBETAN MARK SBRUL SHAD
0F09	MARKBSKURYIGMGO	TIBETAN MARK BSKUR YIG MGO
0F0A	MARKBKA-SHOGYIGMGO	TIBETAN MARK BKA- SHOG YIG MGO
0F0B	MARKINTERSYLLABICTSHEG	TIBETAN MARK INTERSYLLABIC TSHEG
0F0C	MARKDELIMITERTSHEGBSTAR	TIBETAN MARK DELIMITER TSHEG BSTAR
0F0D	MARKSHAD	TIBETAN MARK SHAD
0F0E	MARKNYISSHAD	TIBETAN MARK NYIS SHAD
0F0F	MARKTSHEGSHAD	TIBETAN MARK TSHEG SHAD
0F10	MARKNYISTSHEGSHAD	TIBETAN MARK NYIS TSHEG SHAD
0F11	MARKRINCHENSPUNGSSHAD	TIBETAN MARK RIN CHEN SPUNGS SHAD
0F12	MARKRGYAGRAMSHAD	TIBETAN MARK RGYA GRAM SHAD
0F13	MARKCARET-DZUDRTAGSMELONGCAN	TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN
0F14	MARKGTERTSHEG	TIBETAN MARK GTER TSHEG
0F15	LOGOTYPESIGNCHADRTAGS	TIBETAN LOGOTYPE SIGN CHAD RTAGS
0F16	LOGOTYPESIGNLHAGRTAGS	TIBETAN LOGOTYPE SIGN LHAG RTAGS
0F17	ASTROLOGICALSIGNSGRAGCAN-CHARRTAGS	TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F18	ASTROLOGICALSIGN-KHYUDPA	TIBETAN ASTROLOGICAL SIGN -KHYUD PA
0F19	ASTROLOGICALSIGNSDONGTSHUGS	TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
0F1A	SIGNRDELDKARGCIG	TIBETAN SIGN RDEL DKAR GCIG
0F1B	SIGNRDELDKARGNYIS	TIBETAN SIGN RDEL DKAR GNYIS
0F1C	SIGNRDELDKARGSUM	TIBETAN SIGN RDEL DKAR GSUM
0F1D	SIGNRDELNAGGCIG	TIBETAN SIGN RDEL NAG GCIG
0F1E	SIGNRDELNAGGNYIS	TIBETAN SIGN RDEL NAG GNYIS
0F1F	SIGNRDELDKARRDELNAG	TIBETAN SIGN RDEL DKAR RDEL NAG
0F20	zero	TIBETAN DIGIT ZERO
0F21	one	TIBETAN DIGIT ONE
0F22	two	TIBETAN DIGIT TWO
0F23	three	TIBETAN DIGIT THREE
0F24	four	TIBETAN DIGIT FOUR
0F25	five	TIBETAN DIGIT FIVE
0F26	six	TIBETAN DIGIT SIX
0F27	seven	TIBETAN DIGIT SEVEN
0F28	eight	TIBETAN DIGIT EIGHT
0F29	nine	TIBETAN DIGIT NINE
0F2A	halfone	TIBETAN DIGIT HALF ONE
0F2B	halftwo	TIBETAN DIGIT HALF TWO
0F2C	halfthree	TIBETAN DIGIT HALF THREE
0F2D	halffour	TIBETAN DIGIT HALF FOUR
0F2E	halffive	TIBETAN DIGIT HALF FIVE
0F2F	halfsix	TIBETAN DIGIT HALF SIX
0F30	halfseven	TIBETAN DIGIT HALF SEVEN
0F31	halfeight	TIBETAN DIGIT HALF EIGHT
0F32	halfnine	TIBETAN DIGIT HALF NINE
0F33	halfzero	TIBETAN DIGIT HALF ZERO
0F34	MARKBSDUSRTAGS	TIBETAN MARK BSDUS RTAGS
0F35	MARKNGASBZUNGNYIZLA	TIBETAN MARK NGAS BZUNG NYI ZLA
0F36	MARKCARET-DZUDRTAGSBZHIMIGCAN	TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37	MARKNGASBZUNGSGORRTAGS	TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38	MARKCHEMGO	TIBETAN MARK CHE MGO
0F39	MARKTSA-PHRU	TIBETAN MARK TSA -PHRU
0F3A	MARKGUGRTAGSGYON	TIBETAN MARK GUG RTAGS GYON
0F3B	MARKGUGRTAGSGYAS	TIBETAN MARK GUG RTAGS GYAS
0F3C	MARKANGKHANGGYON	TIBETAN MARK ANG KHANG GYON
0F3D	MARKANGKHANGGYAS	TIBETAN MARK ANG KHANG GYAS
0F3E	SIGNYARTSHES	TIBETAN SIGN YAR TSHES
0F3F	SIGNMARTSHES	TIBETAN SIGN MAR TSHES
0F40	KA	TIBETAN LETTER KA
0F41	KHA	TIBETAN LETTER KHA
0F42	GA	TIBETAN LETTER GA
0F43	GHA	TIBETAN LETTER GHA
0F44	NGA	TIBETAN LETTER NGA
0F45	CA	TIBETAN LETTER CA
0F46	CHA	TIBETAN LETTER CHA
0F47	JA	TIBETAN LETTER JA
0F49	NYA	TIBETAN LETTER NYA
0F4A	TTA	TIBETAN LETTER TTA
0F4B	TTHA	TIBETAN LETTER TTHA
0F4C	DDA	TIBETAN LETTER DDA
0F4D	DDHA	TIBETAN LETTER DDHA
0F4E	NNA	TIBETAN LETTER NNA
0F4F	TA	TIBETAN LETTER TA
0F50	THA	TIBETAN LETTER THA
0F51	DA	TIBETAN LETTER DA
0F52	DHA	TIBETAN LETTER DHA
0F53	NA	TIBETAN LETTER NA
0F54	PA	TIBETAN LETTER PA
0F55	PHA	TIBETAN LETTER PHA
0F56	BA	TIBETAN LETTER BA
0F57	BHA	TIBETAN LETTER BHA
0F58	MA	TIBETAN LETTER MA
0F59	TSA	TIBETAN LETTER TSA
0F5A	TSHA	TIBETAN LETTER TSHA
0F5B	DZA	TIBETAN LETTER DZA
0F5C	DZHA	TIBETAN LETTER DZHA
0F5D	WA	TIBETAN LETTER WA
0F5E	ZHA	TIBETAN LETTER ZHA
0F5F	ZA	TIBETAN LETTER ZA
0F60	AA	TIBETAN LETTER -A
0F61	YA	TIBETAN LETTER YA
0F62	RA	TIBETAN LETTER RA
0F63	LA	TIBETAN LETTER LA
0F64	SHA	TIBETAN LETTER SHA
0F65	SSA	TIBETAN LETTER SSA
0F66	SA	TIBETAN LETTER SA
0F67	HA	TIBETAN LETTER HA
0F68	A	TIBETAN LETTER A
0F69	KSSA	TIBETAN LETTER KSSA
0F6A	FIXED-FORMRA	TIBETAN LETTER FIXED-FORM RA
0F6B	KKA	TIBETAN LETTER KKA
0F6C	RRA	TIBETAN LETTER RRA
0F71	VOWELSIGNAA	TIBETAN VOWEL SIGN AA
0F72	VOWELSIGNI	TIBETAN VOWEL SIGN I
0F73	VOWELSIGNII	TIBETAN VOWEL SIGN II
0F74	VOWELSIGNU	TIBETAN VOWEL SIGN U
0F75	VOWELSIGNUU	TIBETAN VOWEL SIGN UU
0F76	VOWELSIGNVOCALICR	TIBETAN VOWEL SIGN VOCALIC R
0F77	VOWELSIGNVOCALICRR	TIBETAN VOWEL SIGN VOCALIC RR
0F78	VOWELSIGNVOCALICL	TIBETAN VOWEL SIGN VOCALIC L
0F79	VOWELSIGNVOCALICLL	TIBETAN VOWEL SIGN VOCALIC LL
0F7A	VOWELSIGNE	TIBETAN VOWEL SIGN E
0F7B	VOWELSIGNEE	TIBETAN VOWEL SIGN EE
0F7C	VOWELSIGNO	TIBETAN VOWEL SIGN O
0F7D	VOWELSIGNOO	TIBETAN VOWEL SIGN OO
0F7E	SIGNRJESSUNGARO	TIBETAN SIGN RJES SU NGA RO
0F7F	SIGNRNAMBCAD	TIBETAN SIGN RNAM BCAD
0F80	VOWELSIGNREVERSEDI	TIBETAN VOWEL SIGN REVERSED I
0F81	VOWELSIGNREVERSEDII	TIBETAN VOWEL SIGN REVERSED II
0F82	SIGNNYIZLANAADA	TIBETAN SIGN NYI ZLA NAA DA
0F83	SIGNSNALDAN	TIBETAN SIGN SNA LDAN
0F84	MARKHALANTA	TIBETAN MARK HALANTA
0F85	MARKPALUTA	TIBETAN MARK PALUTA
0F86	SIGNLCIRTAGS	TIBETAN SIGN LCI RTAGS
0F87	SIGNYANGRTAGS	TIBETAN SIGN YANG RTAGS
0F88	SIGNLCETSACAN	TIBETAN SIGN LCE TSA CAN
0F89	SIGNMCHUCAN	TIBETAN SIGN MCHU CAN
0F8A	SIGNGRUCANRGYINGS	TIBETAN SIGN GRU CAN RGYINGS
0F8B	SIGNGRUMEDRGYINGS	TIBETAN SIGN GRU MED RGYINGS
0F90	SUBJOINEDKA	TIBETAN SUBJOINED LETTER KA
0F91	SUBJOINEDKHA	TIBETAN SUBJOINED LETTER KHA
0F92	SUBJOINEDGA	TIBETAN SUBJOINED LETTER GA
0F93	SUBJOINEDGHA	TIBETAN SUBJOINED LETTER GHA
0F94	SUBJOINEDNGA	TIBETAN SUBJOINED LETTER NGA
0F95	SUBJOINEDCA	TIBETAN SUBJOINED LETTER CA
0F96	SUBJOINEDCHA	TIBETAN SUBJOINED LETTER CHA
0F97	SUBJOINEDJA	TIBETAN SUBJOINED LETTER JA
0F99	SUBJOINEDNYA	TIBETAN SUBJOINED LETTER NYA
0F9A	SUBJOINEDTTA	TIBETAN SUBJOINED LETTER TTA
0F9B	SUBJOINEDTTHA	TIBETAN SUBJOINED LETTER TTHA
0F9C	SUBJOINEDDDA	TIBETAN SUBJOINED LETTER DDA
0F9D	SUBJOINEDDDHA	TIBETAN SUBJOINED LETTER DDHA
0F9E	SUBJOINEDNNA	TIBETAN SUBJOINED LETTER NNA
0F9F	SUBJOINEDTA	TIBETAN SUBJOINED LETTER TA
0FA0	SUBJOINEDTHA	TIBETAN SUBJOINED LETTER THA
0FA1	SUBJOINEDDA	TIBETAN SUBJOINED LETTER DA
0FA2	SUBJOINEDDHA	TIBETAN SUBJOINED LETTER DHA
0FA3	SUBJOINEDNA	TIBETAN SUBJOINED LETTER NA
0FA4	SUBJOINEDPA	TIBETAN SUBJOINED LETTER PA
