# Ugaritic 10380 - 1039F
10380	grtc-ugariticletteralpa	UGARITIC LETTER ALPA
10381	grtc-ugariticletterbeta	UGARITIC LETTER BETA
10382	grtc-ugariticlettergamla	UGARITIC LETTER GAMLA
10383	grtc-ugariticletterkha	UGARITIC LETTER KHA
10384	grtc-ugariticletterdelta	UGARITIC LETTER DELTA
10385	grtc-ugariticletterho	UGARITIC LETTER HO
10386	grtc-ugariticletterwo	UGARITIC LETTER WO
10387	grtc-ugariticletterzeta	UGARITIC LETTER ZETA
10388	grtc-ugariticletterhota	UGARITIC LETTER HOTA
10389	grtc-ugariticlettertet	UGARITIC LETTER TET
1038A	grtc-ugariticletteryod	UGARITIC LETTER YOD
1038B	grtc-ugariticletterkaf	UGARITIC LETTER KAF
1038C	grtc-ugariticlettershin	UGARITIC LETTER SHIN
1038D	grtc-ugariticletterlamda	UGARITIC LETTER LAMDA
1038E	grtc-ugariticlettermem	UGARITIC LETTER MEM
1038F	grtc-ugariticletterdhal	UGARITIC LETTER DHAL
10390	grtc-ugariticletternun	UGARITIC LETTER NUN
10391	grtc-ugariticletterzu	UGARITIC LETTER ZU
10392	grtc-ugariticlettersamka	UGARITIC LETTER SAMKA
10393	grtc-ugariticletterain	UGARITIC LETTER AIN
10394	grtc-ugariticletterpu	UGARITIC LETTER PU
10395	grtc-ugariticlettersade	UGARITIC LETTER SADE
10396	grtc-ugariticletterqopa	UGARITIC LETTER QOPA
10397	grtc-ugariticletterrasha	UGARITIC LETTER RASHA
10398	grtc-ugariticletterthanna	UGARITIC LETTER THANNA
10399	grtc-ugariticletterghain	UGARITIC LETTER GHAIN
1039A	grtc-ugariticletterto	UGARITIC LETTER TO
1039B	grtc-ugariticletteri	UGARITIC LETTER I
1039C	grtc-ugariticletteru	UGARITIC LETTER U
1039D	grtc-ugariticletterssu	UGARITIC LETTER SSU
1039F	grtc-ugariticworddivider	UGARITIC WORD DIVIDER
