# Unified Canadian Aboriginal Syllabics 1400 - 167F
1400	nfdc-canadiansyllabicshyphen	CANADIAN SYLLABICS HYPHEN
1401	nfdc-canadiansyllabicse	CANADIAN SYLLABICS E
1402	nfdc-canadiansyllabicsaai	CANADIAN SYLLABICS AAI
1403	nfdc-canadiansyllabicsi	CANADIAN SYLLABICS I
1404	nfdc-canadiansyllabicsii	CANADIAN SYLLABICS II
1405	nfdc-canadiansyllabicso	CANADIAN SYLLABICS O
1406	nfdc-canadiansyllabicsoo	CANADIAN SYLLABICS OO
1407	nfdc-canadiansyllabicsycreeoo	CANADIAN SYLLABICS Y-CREE OO
1408	nfdc-canadiansyllabicscarrieree	CANADIAN SYLLABICS CARRIER EE
1409	nfdc-canadiansyllabicscarrieri	CANADIAN SYLLABICS CARRIER I
140A	nfdc-canadiansyllabicsa	CANADIAN SYLLABICS A
140B	nfdc-canadiansyllabicsaa	CANADIAN SYLLABICS AA
140C	nfdc-canadiansyllabicswe	CANADIAN SYLLABICS WE
140D	nfdc-canadiansyllabicswestcreewe	CANADIAN SYLLABICS WEST-CREE WE
140E	nfdc-canadiansyllabicswi	CANADIAN SYLLABICS WI
140F	nfdc-canadiansyllabicswestcreewi	CANADIAN SYLLABICS WEST-CREE WI
1410	nfdc-canadiansyllabicswii	CANADIAN SYLLABICS WII
1411	nfdc-canadiansyllabicswestcreewii	CANADIAN SYLLABICS WEST-CREE WII
1412	nfdc-canadiansyllabicswo	CANADIAN SYLLABICS WO
1413	nfdc-canadiansyllabicswestcreewo	CANADIAN SYLLABICS WEST-CREE WO
1414	nfdc-canadiansyllabicswoo	CANADIAN SYLLABICS WOO
1415	nfdc-canadiansyllabicswestcreewoo	CANADIAN SYLLABICS WEST-CREE WOO
1416	nfdc-canadiansyllabicsnaskapiwoo	CANADIAN SYLLABICS NASKAPI WOO
1417	nfdc-canadiansyllabicswa	CANADIAN SYLLABICS WA
1418	nfdc-canadiansyllabicswestcreewa	CANADIAN SYLLABICS WEST-CREE WA
1419	nfdc-canadiansyllabicswaa	CANADIAN SYLLABICS WAA
141A	nfdc-canadiansyllabicswestcreewaa	CANADIAN SYLLABICS WEST-CREE WAA
141B	nfdc-canadiansyllabicsnaskapiwaa	CANADIAN SYLLABICS NASKAPI WAA
141C	nfdc-canadiansyllabicsai	CANADIAN SYLLABICS AI
141D	nfdc-canadiansyllabicsycreew	CANADIAN SYLLABICS Y-CREE W
141E	nfdc-canadiansyllabicsglottalstop	CANADIAN SYLLABICS GLOTTAL STOP
141F	nfdc-canadiansyllabicsfinalacute	CANADIAN SYLLABICS FINAL ACUTE
1420	nfdc-canadiansyllabicsfinalgrave	CANADIAN SYLLABICS FINAL GRAVE
1421	nfdc-canadiansyllabicsfinalbottomhalfring	CANADIAN SYLLABICS FINAL BOTTOM HALF RING
1422	nfdc-canadiansyllabicsfinaltophalfring	CANADIAN SYLLABICS FINAL TOP HALF RING
1423	nfdc-canadiansyllabicsfinalrighthalfring	CANADIAN SYLLABICS FINAL RIGHT HALF RING
1424	nfdc-canadiansyllabicsfinalring	CANADIAN SYLLABICS FINAL RING
1425	nfdc-canadiansyllabicsfinaldoubleacute	CANADIAN SYLLABICS FINAL DOUBLE ACUTE
1426	nfdc-canadiansyllabicsfinaldoubleshortverticalstrokes	CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
1427	nfdc-canadiansyllabicsfinalmiddledot	CANADIAN SYLLABICS FINAL MIDDLE DOT
1428	nfdc-canadiansyllabicsfinalshorthorizontalstroke	CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE
1429	nfdc-canadiansyllabicsfinalplus	CANADIAN SYLLABICS FINAL PLUS
142A	nfdc-canadiansyllabicsfinaldowntack	CANADIAN SYLLABICS FINAL DOWN TACK
142B	nfdc-canadiansyllabicsen	CANADIAN SYLLABICS EN
142C	nfdc-canadiansyllabicsin	CANADIAN SYLLABICS IN
142D	nfdc-canadiansyllabicson	CANADIAN SYLLABICS ON
142E	nfdc-canadiansyllabicsan	CANADIAN SYLLABICS AN
142F	nfdc-canadiansyllabicspe	CANADIAN SYLLABICS PE
1430	nfdc-canadiansyllabicspaai	CANADIAN SYLLABICS PAAI
1431	nfdc-canadiansyllabicspi	CANADIAN SYLLABICS PI
1432	nfdc-canadiansyllabicspii	CANADIAN SYLLABICS PII
1433	nfdc-canadiansyllabicspo	CANADIAN SYLLABICS PO
1434	nfdc-canadiansyllabicspoo	CANADIAN SYLLABICS POO
1435	nfdc-canadiansyllabicsycreepoo	CANADIAN SYLLABICS Y-CREE POO
1436	nfdc-canadiansyllabicscarrierhee	CANADIAN SYLLABICS CARRIER HEE
1437	nfdc-canadiansyllabicscarrierhi	CANADIAN SYLLABICS CARRIER HI
1438	nfdc-canadiansyllabicspa	CANADIAN SYLLABICS PA
1439	nfdc-canadiansyllabicspaa	CANADIAN SYLLABICS PAA
143A	nfdc-canadiansyllabicspwe	CANADIAN SYLLABICS PWE
143B	nfdc-canadiansyllabicswestcreepwe	CANADIAN SYLLABICS WEST-CREE PWE
143C	nfdc-canadiansyllabicspwi	CANADIAN SYLLABICS PWI
143D	nfdc-canadiansyllabicswestcreepwi	CANADIAN SYLLABICS WEST-CREE PWI
143E	nfdc-canadiansyllabicspwii	CANADIAN SYLLABICS PWII
143F	nfdc-canadiansyllabicswestcreepwii	CANADIAN SYLLABICS WEST-CREE PWII
1440	nfdc-canadiansyllabicspwo	CANADIAN SYLLABICS PWO
1441	nfdc-canadiansyllabicswestcreepwo	CANADIAN SYLLABICS WEST-CREE PWO
1442	nfdc-canadiansyllabicspwoo	CANADIAN SYLLABICS PWOO
1443	nfdc-canadiansyllabicswestcreepwoo	CANADIAN SYLLABICS WEST-CREE PWOO
1444	nfdc-canadiansyllabicspwa	CANADIAN SYLLABICS PWA
1445	nfdc-canadiansyllabicswestcreepwa	CANADIAN SYLLABICS WEST-CREE PWA
1446	nfdc-canadiansyllabicspwaa	CANADIAN SYLLABICS PWAA
1447	nfdc-canadiansyllabicswestcreepwaa	CANADIAN SYLLABICS WEST-CREE PWAA
1448	nfdc-canadiansyllabicsycreepwaa	CANADIAN SYLLABICS Y-CREE PWAA
1449	nfdc-canadiansyllabicsp	CANADIAN SYLLABICS P
144A	nfdc-canadiansyllabicswestcreep	CANADIAN SYLLABICS WEST-CREE P
144B	nfdc-canadiansyllabicscarrierh	CANADIAN SYLLABICS CARRIER H
144C	nfdc-canadiansyllabicste	CANADIAN SYLLABICS TE
144D	nfdc-canadiansyllabicstaai	CANADIAN SYLLABICS TAAI
144E	nfdc-canadiansyllabicsti	CANADIAN SYLLABICS TI
144F	nfdc-canadiansyllabicstii	CANADIAN SYLLABICS TII
1450	nfdc-canadiansyllabicsto	CANADIAN SYLLABICS TO
1451	nfdc-canadiansyllabicstoo	CANADIAN SYLLABICS TOO
1452	nfdc-canadiansyllabicsycreetoo	CANADIAN SYLLABICS Y-CREE TOO
1453	nfdc-canadiansyllabicscarrierdee	CANADIAN SYLLABICS CARRIER DEE
1454	nfdc-canadiansyllabicscarrierdi	CANADIAN SYLLABICS CARRIER DI
1455	nfdc-canadiansyllabicsta	CANADIAN SYLLABICS TA
1456	nfdc-canadiansyllabicstaa	CANADIAN SYLLABICS TAA
1457	nfdc-canadiansyllabicstwe	CANADIAN SYLLABICS TWE
1458	nfdc-canadiansyllabicswestcreetwe	CANADIAN SYLLABICS WEST-CREE TWE
1459	nfdc-canadiansyllabicstwi	CANADIAN SYLLABICS TWI
145A	nfdc-canadiansyllabicswestcreetwi	CANADIAN SYLLABICS WEST-CREE TWI
145B	nfdc-canadiansyllabicstwii	CANADIAN SYLLABICS TWII
145C	nfdc-canadiansyllabicswestcreetwii	CANADIAN SYLLABICS WEST-CREE TWII
145D	nfdc-canadiansyllabicstwo	CANADIAN SYLLABICS TWO
145E	nfdc-canadiansyllabicswestcreetwo	CANADIAN SYLLABICS WEST-CREE TWO
145F	nfdc-canadiansyllabicstwoo	CANADIAN SYLLABICS TWOO
1460	nfdc-canadiansyllabicswestcreetwoo	CANADIAN SYLLABICS WEST-CREE TWOO
1461	nfdc-canadiansyllabicstwa	CANADIAN SYLLABICS TWA
1462	nfdc-canadiansyllabicswestcreetwa	CANADIAN SYLLABICS WEST-CREE TWA
1463	nfdc-canadiansyllabicstwaa	CANADIAN SYLLABICS TWAA
1464	nfdc-canadiansyllabicswestcreetwaa	CANADIAN SYLLABICS WEST-CREE TWAA
1465	nfdc-canadiansyllabicsnaskapitwaa	CANADIAN SYLLABICS NASKAPI TWAA
1466	nfdc-canadiansyllabicst	CANADIAN SYLLABICS T
1467	nfdc-canadiansyllabicstte	CANADIAN SYLLABICS TTE
1468	nfdc-canadiansyllabicstti	CANADIAN SYLLABICS TTI
1469	nfdc-canadiansyllabicstto	CANADIAN SYLLABICS TTO
146A	nfdc-canadiansyllabicstta	CANADIAN SYLLABICS TTA
146B	nfdc-canadiansyllabicske	CANADIAN SYLLABICS KE
146C	nfdc-canadiansyllabicskaai	CANADIAN SYLLABICS KAAI
146D	nfdc-canadiansyllabicski	CANADIAN SYLLABICS KI
146E	nfdc-canadiansyllabicskii	CANADIAN SYLLABICS KII
146F	nfdc-canadiansyllabicsko	CANADIAN SYLLABICS KO
1470	nfdc-canadiansyllabicskoo	CANADIAN SYLLABICS KOO
1471	nfdc-canadiansyllabicsycreekoo	CANADIAN SYLLABICS Y-CREE KOO
1472	nfdc-canadiansyllabicska	CANADIAN SYLLABICS KA
1473	nfdc-canadiansyllabicskaa	CANADIAN SYLLABICS KAA
1474	nfdc-canadiansyllabicskwe	CANADIAN SYLLABICS KWE
1475	nfdc-canadiansyllabicswestcreekwe	CANADIAN SYLLABICS WEST-CREE KWE
1476	nfdc-canadiansyllabicskwi	CANADIAN SYLLABICS KWI
1477	nfdc-canadiansyllabicswestcreekwi	CANADIAN SYLLABICS WEST-CREE KWI
1478	nfdc-canadiansyllabicskwii	CANADIAN SYLLABICS KWII
1479	nfdc-canadiansyllabicswestcreekwii	CANADIAN SYLLABICS WEST-CREE KWII
147A	nfdc-canadiansyllabicskwo	CANADIAN SYLLABICS KWO
147B	nfdc-canadiansyllabicswestcreekwo	CANADIAN SYLLABICS WEST-CREE KWO
147C	nfdc-canadiansyllabicskwoo	CANADIAN SYLLABICS KWOO
147D	nfdc-canadiansyllabicswestcreekwoo	CANADIAN SYLLABICS WEST-CREE KWOO
147E	nfdc-canadiansyllabicskwa	CANADIAN SYLLABICS KWA
