# Unified Canadian Aboriginal Syllabics Extended 18B0 - 18FF
18B0	nfdc-canadiansyllabicsoy	CANADIAN SYLLABICS OY
18B1	nfdc-canadiansyllabicsay	CANADIAN SYLLABICS AY
18B2	nfdc-canadiansyllabicsaay	CANADIAN SYLLABICS AAY
18B3	nfdc-canadiansyllabicsway	CANADIAN SYLLABICS WAY
18B4	nfdc-canadiansyllabicspoy	CANADIAN SYLLABICS POY
18B5	nfdc-canadiansyllabicspay	CANADIAN SYLLABICS PAY
18B6	nfdc-canadiansyllabicspwoy	CANADIAN SYLLABICS PWOY
18B7	nfdc-canadiansyllabicstay	CANADIAN SYLLABICS TAY
18B8	nfdc-canadiansyllabicskay	CANADIAN SYLLABICS KAY
18B9	nfdc-canadiansyllabicskway	CANADIAN SYLLABICS KWAY
18BA	nfdc-canadiansyllabicsmay	CANADIAN SYLLABICS MAY
18BB	nfdc-canadiansyllabicsnoy	CANADIAN SYLLABICS NOY
18BC	nfdc-canadiansyllabicsnay	CANADIAN SYLLABICS NAY
18BD	nfdc-canadiansyllabicslay	CANADIAN SYLLABICS LAY
18BE	nfdc-canadiansyllabicssoy	CANADIAN SYLLABICS SOY
18BF	nfdc-canadiansyllabicssay	CANADIAN SYLLABICS SAY
18C0	nfdc-canadiansyllabicsshoy	CANADIAN SYLLABICS SHOY
18C1	nfdc-canadiansyllabicsshay	CANADIAN SYLLABICS SHAY
18C2	nfdc-canadiansyllabicsshwoy	CANADIAN SYLLABICS SHWOY
18C3	nfdc-canadiansyllabicsyoy	CANADIAN SYLLABICS YOY
18C4	nfdc-canadiansyllabicsyay	CANADIAN SYLLABICS YAY
18C5	nfdc-canadiansyllabicsray	CANADIAN SYLLABICS RAY
18C6	nfdc-canadiansyllabicsnwi	CANADIAN SYLLABICS NWI
18C7	nfdc-canadiansyllabicsojibwaynwi	CANADIAN SYLLABICS OJIBWAY NWI
18C8	nfdc-canadiansyllabicsnwii	CANADIAN SYLLABICS NWII
18C9	nfdc-canadiansyllabicsojibwaynwii	CANADIAN SYLLABICS OJIBWAY NWII
18CA	nfdc-canadiansyllabicsnwo	CANADIAN SYLLABICS NWO
18CB	nfdc-canadiansyllabicsojibwaynwo	CANADIAN SYLLABICS OJIBWAY NWO
18CC	nfdc-canadiansyllabicsnwoo	CANADIAN SYLLABICS NWOO
18CD	nfdc-canadiansyllabicsojibwaynwoo	CANADIAN SYLLABICS OJIBWAY NWOO
18CE	nfdc-canadiansyllabicsrwee	CANADIAN SYLLABICS RWEE
18CF	nfdc-canadiansyllabicsrwi	CANADIAN SYLLABICS RWI
18D0	nfdc-canadiansyllabicsrwii	CANADIAN SYLLABICS RWII
