# Vai A500 - A63F
A500	v-vaisyllableee	VAI SYLLABLE EE
A501	v-vaisyllableeen	VAI SYLLABLE EEN
A502	v-vaisyllablehee	VAI SYLLABLE HEE
A503	v-vaisyllablewee	VAI SYLLABLE WEE
A504	v-vaisyllableween	VAI SYLLABLE WEEN
A505	v-vaisyllablepee	VAI SYLLABLE PEE
A506	v-vaisyllablebhee	VAI SYLLABLE BHEE
A507	v-vaisyllablebee	VAI SYLLABLE BEE
A508	v-vaisyllablembee	VAI SYLLABLE MBEE
A509	v-vaisyllablekpee	VAI SYLLABLE KPEE
A50A	v-vaisyllablemgbee	VAI SYLLABLE MGBEE
A50B	v-vaisyllablegbee	VAI SYLLABLE GBEE
A50C	v-vaisyllablefee	VAI SYLLABLE FEE
A50D	v-vaisyllablevee	VAI SYLLABLE VEE
A50E	v-vaisyllabletee	VAI SYLLABLE TEE
A50F	v-vaisyllablethee	VAI SYLLABLE THEE
A510	v-vaisyllabledhee	VAI SYLLABLE DHEE
A511	v-vaisyllabledhhee	VAI SYLLABLE DHHEE
A512	v-vaisyllablelee	VAI SYLLABLE LEE
A513	v-vaisyllableree	VAI SYLLABLE REE
A514	v-vaisyllabledee	VAI SYLLABLE DEE
A515	v-vaisyllablendee	VAI SYLLABLE NDEE
A516	v-vaisyllablesee	VAI SYLLABLE SEE
A517	v-vaisyllableshee	VAI SYLLABLE SHEE
A518	v-vaisyllablezee	VAI SYLLABLE ZEE
A519	v-vaisyllablezhee	VAI SYLLABLE ZHEE
A51A	v-vaisyllablecee	VAI SYLLABLE CEE
A51B	v-vaisyllablejee	VAI SYLLABLE JEE
A51C	v-vaisyllablenjee	VAI SYLLABLE NJEE
A51D	v-vaisyllableyee	VAI SYLLABLE YEE
A51E	v-vaisyllablekee	VAI SYLLABLE KEE
A51F	v-vaisyllablenggee	VAI SYLLABLE NGGEE
A520	v-vaisyllablegee	VAI SYLLABLE GEE
A521	v-vaisyllablemee	VAI SYLLABLE MEE
A522	v-vaisyllablenee	VAI SYLLABLE NEE
A523	v-vaisyllablenyee	VAI SYLLABLE NYEE
A524	v-vaisyllablei	VAI SYLLABLE I
A525	v-vaisyllablein	VAI SYLLABLE IN
A526	v-vaisyllablehi	VAI SYLLABLE HI
A527	v-vaisyllablehin	VAI SYLLABLE HIN
A528	v-vaisyllablewi	VAI SYLLABLE WI
A529	v-vaisyllablewin	VAI SYLLABLE WIN
A52A	v-vaisyllablepi	VAI SYLLABLE PI
A52B	v-vaisyllablebhi	VAI SYLLABLE BHI
A52C	v-vaisyllablebi	VAI SYLLABLE BI
