# Variation Selectors FE00 - FE0F
FE00	vrtn-variationselector1	VARIATION SELECTOR-1
FE01	vrtn-variationselector2	VARIATION SELECTOR-2
FE02	vrtn-variationselector3	VARIATION SELECTOR-3
FE03	vrtn-variationselector4	VARIATION SELECTOR-4
FE04	vrtn-variationselector5	VARIATION SELECTOR-5
FE05	vrtn-variationselector6	VARIATION SELECTOR-6
FE06	vrtn-variationselector7	VARIATION SELECTOR-7
FE07	vrtn-variationselector8	VARIATION SELECTOR-8
FE08	vrtn-variationselector9	VARIATION SELECTOR-9
FE09	vrtn-variationselector10	VARIATION SELECTOR-10
FE0A	vrtn-variationselector11	VARIATION SELECTOR-11
FE0B	vrtn-variationselector12	VARIATION SELECTOR-12
FE0C	vrtn-variationselector13	VARIATION SELECTOR-13
FE0D	vrtn-variationselector14	VARIATION SELECTOR-14
FE0E	vrtn-variationselector15	VARIATION SELECTOR-15
FE0F	vrtn-variationselector16	VARIATION SELECTOR-16
