# Variation Selectors Supplement E0100 - E01EF
E0100	vrtn-variationselector17	VARIATION SELECTOR-17
E0101	vrtn-variationselector18	VARIATION SELECTOR-18
E0102	vrtn-variationselector19	VARIATION SELECTOR-19
E0103	vrtn-variationselector20	VARIATION SELECTOR-20
E0104	vrtn-variationselector21	VARIATION SELECTOR-21
E0105	vrtn-variationselector22	VARIATION SELECTOR-22
E0106	vrtn-variationselector23	VARIATION SELECTOR-23
E0107	vrtn-variationselector24	VARIATION SELECTOR-24
E0108	vrtn-variationselector25	VARIATION SELECTOR-25
E0109	vrtn-variationselector26	VARIATION SELECTOR-26
E010A	vrtn-variationselector27	VARIATION SELECTOR-27
E010B	vrtn-variationselector28	VARIATION SELECTOR-28
E010C	vrtn-variationselector29	VARIATION SELECTOR-29
E010D	vrtn-variationselector30	VARIATION SELECTOR-30
E010E	vrtn-variationselector31	VARIATION SELECTOR-31
E010F	vrtn-variationselector32	VARIATION SELECTOR-32
E0110	vrtn-variationselector33	VARIATION SELECTOR-33
E0111	vrtn-variationselector34	VARIATION SELECTOR-34
E0112	vrtn-variationselector35	VARIATION SELECTOR-35
E0113	vrtn-variationselector36	VARIATION SELECTOR-36
E0114	vrtn-variationselector37	VARIATION SELECTOR-37
E0115	vrtn-variationselector38	VARIATION SELECTOR-38
E0116	vrtn-variationselector39	VARIATION SELECTOR-39
E0117	vrtn-variationselector40	VARIATION SELECTOR-40
E0118	vrtn-variationselector41	VARIATION SELECTOR-41
E0119	vrtn-variationselector42	VARIATION SELECTOR-42
E011A	vrtn-variationselector43	VARIATION SELECTOR-43
E011B	vrtn-variationselector44	VARIATION SELECTOR-44
E011C	vrtn-variationselector45	VARIATION SELECTOR-45
E011D	vrtn-variationselector46	VARIATION SELECTOR-46
E011E	vrtn-variationselector47	VARIATION SELECTOR-47
E011F	vrtn-variationselector48	VARIATION SELECTOR-48
E0120	vrtn-variationselector49	VARIATION SELECTOR-49
E0121	vrtn-variationselector50	VARIATION SELECTOR-50
E0122	vrtn-variationselector51	VARIATION SELECTOR-51
E0123	vrtn-variationselector52	VARIATION SELECTOR-52
E0124	vrtn-variationselector53	VARIATION SELECTOR-53
E0125	vrtn-variationselector54	VARIATION SELECTOR-54
E0126	vrtn-variationselector55	VARIATION SELECTOR-55
E0127	vrtn-variationselector56	VARIATION SELECTOR-56
E0128	vrtn-variationselector57	VARIATION SELECTOR-57
E0129	vrtn-variationselector58	VARIATION SELECTOR-58
E012A	vrtn-variationselector59	VARIATION SELECTOR-59
E012B	vrtn-variationselector60	VARIATION SELECTOR-60
E012C	vrtn-variationselector61	VARIATION SELECTOR-61
E012D	vrtn-variationselector62	VARIATION SELECTOR-62
E012E	vrtn-variationselector63	VARIATION SELECTOR-63
E012F	vrtn-variationselector64	VARIATION SELECTOR-64
E0130	vrtn-variationselector65	VARIATION SELECTOR-65
E0131	vrtn-variationselector66	VARIATION SELECTOR-66
E0132	vrtn-variationselector67	VARIATION SELECTOR-67
E0133	vrtn-variationselector68	VARIATION SELECTOR-68
E0134	vrtn-variationselector69	VARIATION SELECTOR-69
E0135	vrtn-variationselector70	VARIATION SELECTOR-70
E0136	vrtn-variationselector71	VARIATION SELECTOR-71
E0137	vrtn-variationselector72	VARIATION SELECTOR-72
E0138	vrtn-variationselector73	VARIATION SELECTOR-73
E0139	vrtn-variationselector74	VARIATION SELECTOR-74
E013A	vrtn-variationselector75	VARIATION SELECTOR-75
E013B	vrtn-variationselector76	VARIATION SELECTOR-76
E013C	vrtn-variationselector77	VARIATION SELECTOR-77
E013D	vrtn-variationselector78	VARIATION SELECTOR-78
E013E	vrtn-variationselector79	VARIATION SELECTOR-79
E013F	vrtn-variationselector80	VARIATION SELECTOR-80
E0140	vrtn-variationselector81	VARIATION SELECTOR-81
E0141	vrtn-variationselector82	VARIATION SELECTOR-82
E0142	vrtn-variationselector83	VARIATION SELECTOR-83
E0143	vrtn-variationselector84	VARIATION SELECTOR-84
E0144	vrtn-variationselector85	VARIATION SELECTOR-85
E0145	vrtn-variationselector86	VARIATION SELECTOR-86
E0146	vrtn-variationselector87	VARIATION SELECTOR-87
E0147	vrtn-variationselector88	VARIATION SELECTOR-88
E0148	vrtn-variationselector89	VARIATION SELECTOR-89
E0149	vrtn-variationselector90	VARIATION SELECTOR-90
E014A	vrtn-variationselector91	VARIATION SELECTOR-91
E014B	vrtn-variationselector92	VARIATION SELECTOR-92
E014C	vrtn-variationselector93	VARIATION SELECTOR-93
E014D	vrtn-variationselector94	VARIATION SELECTOR-94
E014E	vrtn-variationselector95	VARIATION SELECTOR-95
E014F	vrtn-variationselector96	VARIATION SELECTOR-96
E0150	vrtn-variationselector97	VARIATION SELECTOR-97
E0151	vrtn-variationselector98	VARIATION SELECTOR-98
E0152	vrtn-variationselector99	VARIATION SELECTOR-99
E0153	vrtn-variationselector100	VARIATION SELECTOR-100
E0154	vrtn-variationselector101	VARIATION SELECTOR-101
E0155	vrtn-variationselector102	VARIATION SELECTOR-102
E0156	vrtn-variationselector103	VARIATION SELECTOR-103
E0157	vrtn-variationselector104	VARIATION SELECTOR-104
E0158	vrtn-variationselector105	VARIATION SELECTOR-105
E0159	vrtn-variationselector106	VARIATION SELECTOR-106
E015A	vrtn-variationselector107	VARIATION SELECTOR-107
E015B	vrtn-variationselector108	VARIATION SELECTOR-108
E015C	vrtn-variationselector109	VARIATION SELECTOR-109
E015D	vrtn-variationselector110	VARIATION SELECTOR-110
E015E	vrtn-variationselector111	VARIATION SELECTOR-111
E015F	vrtn-variationselector112	VARIATION SELECTOR-112
E0160	vrtn-variationselector113	VARIATION SELECTOR-113
E0161	vrtn-variationselector114	VARIATION SELECTOR-114
E0162	vrtn-variationselector115	VARIATION SELECTOR-115
E0163	vrtn-variationselector116	VARIATION SELECTOR-116
E0164	vrtn-variationselector117	VARIATION SELECTOR-117
E0165	vrtn-variationselector118	VARIATION SELECTOR-118
E0166	vrtn-variationselector119	VARIATION SELECTOR-119
E0167	vrtn-variationselector120	VARIATION SELECTOR-120
E0168	vrtn-variationselector121	VARIATION SELECTOR-121
